frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID

odom,3.509675,-3.517337,0.909894,0.414840,1
odom,3.512471,-3.520239,0.914865,0.403761,1
odom,3.515484,-3.523119,0.925563,0.378593,1
odom,3.520360,-3.528399,0.934888,0.354943,1
odom,3.520631,-3.528423,0.948109,0.317945,1
odom,3.478075,-3.497124,0.952423,0.304780,1
odom,2.469792,-2.445709,0.879252,0.476356,1
odom,2.437515,-2.399995,0.895538,0.444985,1
odom,2.399005,-2.355239,0.919069,0.394097,1
odom,2.376544,-2.335352,0.942731,0.333554,1
odom,2.396630,-2.351610,0.951973,0.306181,1
odom,2.373113,-2.336739,0.960999,0.276554,1
odom,2.343285,-2.319721,0.965564,0.260166,1
odom,2.305478,-2.299009,0.967139,0.254249,1
odom,2.298366,-2.295850,0.964419,0.264380,1
odom,2.302460,-2.299464,0.951488,0.307685,1
odom,2.302574,-2.300639,0.936569,0.350482,1
odom,2.303056,-2.302178,0.923522,0.383545,1

odom,3.509675,-3.517337,0.909894,0.414840,2
odom,3.512471,-3.520239,0.914865,0.403761,2
odom,3.515484,-3.523119,0.925563,0.378593,2
odom,3.520360,-3.528399,0.934888,0.354943,2
odom,3.520631,-3.528423,0.948109,0.317945,2
odom,3.478075,-3.497124,0.952423,0.304780,2
odom,2.469792,-2.445709,0.879252,0.476356,2
odom,2.437515,-2.399995,0.895538,0.444985,2
odom,2.399005,-2.355239,0.919069,0.394097,2
odom,2.376544,-2.335352,0.942731,0.333554,2
odom,2.396630,-2.351610,0.951973,0.306181,2
odom,2.373113,-2.336739,0.960999,0.276554,2
odom,2.343285,-2.319721,0.965564,0.260166,2
odom,2.305478,-2.299009,0.967139,0.254249,2
odom,2.298366,-2.295850,0.964419,0.264380,2
odom,2.302460,-2.299464,0.951488,0.307685,2
odom,2.302574,-2.300639,0.936569,0.350482,2
odom,2.303056,-2.302178,0.923522,0.383545,2

odom,3.509675,-3.517337,0.909894,0.414840,3
odom,3.512471,-3.520239,0.914865,0.403761,3
odom,3.515484,-3.523119,0.925563,0.378593,3
odom,3.520360,-3.528399,0.934888,0.354943,3
odom,3.520631,-3.528423,0.948109,0.317945,3
odom,3.478075,-3.497124,0.952423,0.304780,3
odom,2.469792,-2.445709,0.879252,0.476356,3
odom,2.437515,-2.399995,0.895538,0.444985,3
odom,2.399005,-2.355239,0.919069,0.394097,3
odom,2.376544,-2.335352,0.942731,0.333554,3
odom,2.396630,-2.351610,0.951973,0.306181,3
odom,2.373113,-2.336739,0.960999,0.276554,3
odom,2.343285,-2.319721,0.965564,0.260166,3
odom,2.305478,-2.299009,0.967139,0.254249,3
odom,2.298366,-2.295850,0.964419,0.264380,3
odom,2.302460,-2.299464,0.951488,0.307685,3
odom,2.302574,-2.300639,0.936569,0.350482,3
odom,2.303056,-2.302178,0.923522,0.383545,3

odom,3.513066,-3.521042,0.920540,0.390649,4
odom,3.531905,-3.535956,0.927081,0.374862,4
odom,3.550868,-3.552150,0.910332,0.413879,4
odom,3.564004,-3.564923,0.874880,0.484339,4
odom,3.570981,-3.571903,0.793108,0.609081,4
odom,3.573717,-3.566730,0.829142,0.559038,4
odom,3.564598,-3.526105,0.859125,0.511766,4
odom,2.488941,-2.445118,0.966761,0.255681,4
odom,2.384878,-2.378298,0.951063,0.308997,4
odom,2.359982,-2.359816,0.945887,0.324497,4
odom,2.322109,-2.328995,0.937861,0.347011,4
odom,2.312783,-2.320396,0.934603,0.355693,4
odom,2.302745,-2.311354,0.926310,0.376763,4
odom,2.303510,-2.312381,0.926141,0.377177,4
odom,2.298003,-2.307221,0.923784,0.382915,4

odom,3.514564,-3.522583,0.921495,0.388390,5
odom,3.529730,-3.540139,0.889196,0.457527,5
odom,3.543701,-3.558541,0.885529,0.464584,5
odom,3.557673,-3.578763,0.865568,0.500792,5
odom,3.570796,-3.600466,0.847058,0.531500,5
odom,3.589582,-3.636490,0.807080,0.590442,5
odom,3.592612,-3.658335,0.742599,0.669736,5
odom,3.585844,-3.606401,0.735586,0.677431,5
odom,3.584753,-3.587116,0.791120,0.611661,5
