extroversion,visual_time,visual_publish_time,visual_N,textual_time,textual_publish_time,textual_N,N_objects,N_words,N_deviations
2,0.2827906608581543,0.5101685523986816,1,0.0006058216094970703,6.127357482910156e-05,1,7,23,0
2,0.18301796913146973,0.6860170364379883,2,0.0005469322204589844,6.437301635742188e-05,1,9,0,0
2,1.1837122440338135,0.501347541809082,3,0.0003027915954589844,3.6716461181640625e-05,1,12,0,1
2,0.18292689323425293,0.44223928451538086,4,7.081031799316406e-05,3.4809112548828125e-05,1,11,0,2
