extroversion,visual_time,visual_publish_time,visual_N,textual_time,textual_publish_time,textual_N,N_objects,N_words,N_deviations
0,0.25031495094299316,0.46303725242614746,1,0.0005090236663818359,3.695487976074219e-05,1,9,27,0
0,0.1616973876953125,0.9264175891876221,2,0.0004329681396484375,6.818771362304688e-05,1,9,0,0
0,0.14925670623779297,0.6100854873657227,3,6.29425048828125e-05,9.799003601074219e-05,1,12,0,1
0,0.22214126586914062,0.49691033363342285,4,6.580352783203125e-05,3.62396240234375e-05,1,20,0,2
