extroversion,visual_time,visual_publish_time,visual_N,textual_time,textual_publish_time,textual_N,N_objects,N_words,N_deviations
9,0.196194887161255,0.406898260116577,1,0.000218391418457,5.69820404052734E-05,1,1,4,0
9,0.125352144241333,0.580358743667603,2,0.000234365463257,5.05447387695313E-05,2,1,4,0
9,0.139552116394043,0.417970180511475,3,0.000201940536499,3.45706939697266E-05,3,1,4,0
9,0.373251438140869,0.382855892181396,4,0.000232458114624,2.86102294921875E-05,4,1,4,0
9,0.176572561264038,0.418909311294556,5,0.000271320343018,4.64916229248047E-05,5,1,4,0
9,0.144010782241821,0.457956075668335,6,0.000250816345215,3.79085540771484E-05,6,2,6,0
9,0.385376691818237,0.492581367492676,7,0.00028395652771,4.81605529785156E-05,7,2,6,0
9,0.159531831741333,0.569022178649902,8,0.00020956993103,4.60147857666016E-05,8,1,4,0
9,0.146932363510132,0.468855142593384,9,0.000216245651245,4.86373901367188E-05,9,1,4,0
9,0.14570426940918,0.415872097015381,10,0.00018048286438,3.93390655517578E-05,10,1,4,0
9,0.140177249908447,0.574889183044434,11,0.000485420227051,4.93526458740234E-05,11,1,4,0
9,0.136941432952881,0.460628271102905,12,0.000354766845703,3.09944152832031E-05,12,1,4,0
9,0.128968238830566,0.463252067565918,13,0.000191926956177,7.67707824707031E-05,13,1,4,0
9,0.146046161651611,0.55842137336731,14,0.000211000442505,4.67300415039063E-05,14,1,4,0
9,1.58452486991882,0.601206541061401,15,0.000185489654541,2.88486480712891E-05,15,1,4,0
9,0.189509630203247,0.628304481506348,16,3.26633453369141E-05,4.29153442382813E-05,16,6,4,1
9,0.15733814239502,0.484301090240479,17,1.71661376953125E-05,4.07695770263672E-05,17,6,4,1
9,0.247483253479004,0.490554571151733,18,1.64508819580078E-05,4.67300415039063E-05,18,5,4,1
9,0.1446852684021,0.479623794555664,19,5.07831573486328E-05,3.79085540771484E-05,19,5,4,1
9,0.126986503601074,0.4367995262146,20,2.14576721191406E-05,5.03063201904297E-05,20,7,4,1
9,0.238665342330933,0.55409574508667,21,1.31130218505859E-05,3.62396240234375E-05,21,6,4,1
9,0.14305305480957,0.452791929244995,22,0.0005202293396,2.6702880859375E-05,22,5,9,1
9,0.146421194076538,0.669395685195923,23,0.000485181808472,3.38554382324219E-05,23,5,9,1
9,0.163794279098511,1.47792768478394,24,0.0002601146698,4.00543212890625E-05,24,3,7,1
9,1.92475318908691,0.495606184005737,25,1.09672546386719E-05,4.62532043457031E-05,25,4,4,2
9,0.189023733139038,0.493855953216553,26,3.79085540771484E-05,6.17504119873047E-05,26,4,4,2
9,0.675448417663574,0.458676099777222,27,1.47819519042969E-05,5.22136688232422E-05,27,4,4,2
9,0.160292625427246,0.625619173049927,28,1.23977661132813E-05,4.64916229248047E-05,28,4,4,2
9,0.185133218765259,0.459442615509033,29,1.47819519042969E-05,5.14984130859375E-05,29,4,4,2
9,0.183158397674561,0.487445831298828,30,1.95503234863281E-05,5.48362731933594E-05,30,4,4,2
9,0.280097484588623,0.477977275848389,31,0.000269412994385,3.74317169189453E-05,31,4,8,2
9,0.155290842056274,0.590207576751709,32,0.000338315963745,3.60012054443359E-05,32,6,10,2
9,0.151303291320801,0.626099824905396,33,0.000275135040283,5.03063201904297E-05,33,4,8,2
9,0.161066293716431,0.414151668548584,34,0.000301837921143,6.58035278320312E-05,34,4,8,2
9,0.156331777572632,0.412045955657959,35,0.000303268432617,3.52859497070312E-05,35,2,6,2
9,0.205613136291504,0.4537034034729,36,0.000350713729858,4.79221343994141E-05,36,2,6,2
9,0.13329815864563,0.544922351837158,37,0.00024676322937,7.31945037841797E-05,37,3,7,2
9,0.14504337310791,0.484412431716919,38,0.000247955322266,3.95774841308594E-05,38,3,7,2
9,0.152504205703735,0.471353054046631,39,0.000555515289307,4.12464141845703E-05,39,3,7,2
9,0.194434642791748,0.494029998779297,40,0.000343322753906,4.10079956054688E-05,40,3,7,2
9,0.132261037826538,0.467638969421387,41,0.000247955322266,2.76565551757812E-05,41,4,8,2
9,0.588254690170288,0.435904026031494,42,0.000863313674927,5.24520874023438E-05,41,5,0,2
9,0.132257223129272,0.464465141296387,43,0.000442981719971,8.29696655273438E-05,41,5,0,2
9,0.120698928833008,0.492215871810913,44,0.000317811965942,3.74317169189453E-05,41,5,0,2
9,0.114598512649536,0.5043044090271,45,0.000352621078491,4.72068786621094E-05,41,5,0,2
9,0.118792772293091,0.47929859161377,46,0.000283479690552,3.00407409667969E-05,41,2,0,2
9,0.129721879959106,0.430164337158203,47,0.000282526016235,4.07695770263672E-05,41,2,0,2
9,0.122290372848511,0.451092958450317,48,0.000236511230469,3.45706939697266E-05,41,2,0,2
