frame,amcl_position_x,amcl_position_y,amcl_orientation_z,amcl_orientation_w
map,3.883332,-4.076614,0.062729,0.998031
map,3.883332,-4.076614,0.062729,0.998031
map,3.883332,-4.076614,0.062729,0.998031
map,3.883332,-4.076614,0.062729,0.998031
map,3.883332,-4.076614,0.062729,0.998031
map,3.883332,-4.076614,0.062729,0.998031
map,3.885779,-4.074268,-0.026207,0.999657
map,3.885779,-4.074268,-0.026207,0.999657
map,3.885779,-4.074268,-0.026207,0.999657
map,3.885779,-4.074268,-0.026207,0.999657
map,3.886572,-4.082319,-0.126326,0.991989
map,3.886572,-4.082319,-0.126326,0.991989
map,3.886572,-4.082319,-0.126326,0.991989
map,3.886572,-4.082319,-0.126326,0.991989
map,3.873864,-4.080472,-0.232973,0.972483
map,3.873864,-4.080472,-0.232973,0.972483
map,3.873864,-4.080472,-0.232973,0.972483
map,3.873864,-4.080472,-0.232973,0.972483
map,3.897950,-4.100835,-0.330836,0.943688
map,3.897950,-4.100835,-0.330836,0.943688
map,3.897950,-4.100835,-0.330836,0.943688
map,3.897950,-4.100835,-0.330836,0.943688
map,3.946110,-4.156761,-0.424747,0.905312
map,3.946110,-4.156761,-0.424747,0.905312
map,3.946110,-4.156761,-0.424747,0.905312
map,3.946110,-4.156761,-0.424747,0.905312
map,4.019923,-4.272848,-0.517223,0.855851
map,4.019923,-4.272848,-0.517223,0.855851
map,4.019923,-4.272848,-0.517223,0.855851
map,4.019923,-4.272848,-0.517223,0.855851
map,4.075831,-4.407646,-0.603146,0.797631
map,4.075831,-4.407646,-0.603146,0.797631
map,4.075831,-4.407646,-0.603146,0.797631
map,4.075831,-4.407646,-0.603146,0.797631
map,4.092744,-4.506217,-0.681018,0.732267
map,4.092744,-4.506217,-0.681018,0.732267
map,4.092744,-4.506217,-0.681018,0.732267
map,4.092744,-4.506217,-0.681018,0.732267
map,4.090138,-4.644438,-0.752618,0.658458
map,4.090138,-4.644438,-0.752618,0.658458
map,4.090138,-4.644438,-0.752618,0.658458
map,4.090138,-4.644438,-0.752618,0.658458
map,4.064579,-4.734067,-0.817196,0.576360
map,4.064579,-4.734067,-0.817196,0.576360
map,4.064579,-4.734067,-0.817196,0.576360
map,4.064579,-4.734067,-0.817196,0.576360
map,4.021850,-4.829956,-0.869257,0.494360
map,4.021850,-4.829956,-0.869257,0.494360
map,4.021850,-4.829956,-0.869257,0.494360
map,4.021850,-4.829956,-0.869257,0.494360
map,4.021850,-4.829956,-0.869257,0.494360
map,3.883823,-5.008950,-0.914258,0.405132
map,3.883823,-5.008950,-0.914258,0.405132
map,3.883823,-5.008950,-0.914258,0.405132
map,3.883823,-5.008950,-0.914258,0.405132
map,3.742456,-5.141100,-0.950866,0.309603
map,3.742456,-5.141100,-0.950866,0.309603
map,3.742456,-5.141100,-0.950866,0.309603
map,3.742456,-5.141100,-0.950866,0.309603
map,3.600081,-5.216160,-0.978130,0.207994
map,3.600081,-5.216160,-0.978130,0.207994
map,3.600081,-5.216160,-0.978130,0.207994
map,3.600081,-5.216160,-0.978130,0.207994
map,3.457536,-5.261701,-0.993136,0.116968
map,3.457536,-5.261701,-0.993136,0.116968
map,3.457536,-5.261701,-0.993136,0.116968
map,3.457536,-5.261701,-0.993136,0.116968
map,3.376390,-5.276961,-0.999850,0.017307
map,3.376390,-5.276961,-0.999850,0.017307
map,3.376390,-5.276961,-0.999850,0.017307
map,3.376390,-5.276961,-0.999850,0.017307
map,3.367552,-5.272682,0.996521,0.083339
map,3.367552,-5.272682,0.996521,0.083339
map,3.367552,-5.272682,0.996521,0.083339
map,3.367552,-5.272682,0.996521,0.083339
map,3.346790,-5.266750,0.982643,0.185509
map,3.346790,-5.266750,0.982643,0.185509
map,3.346790,-5.266750,0.982643,0.185509
map,3.346790,-5.266750,0.982643,0.185509
map,3.346545,-5.267408,0.958448,0.285268
map,3.346545,-5.267408,0.958448,0.285268
map,3.346545,-5.267408,0.958448,0.285268
map,3.346545,-5.267408,0.958448,0.285268
map,3.359347,-5.283188,0.923200,0.384319
map,3.359347,-5.283188,0.923200,0.384319
map,3.359347,-5.283188,0.923200,0.384319
map,3.359347,-5.283188,0.923200,0.384319
map,3.375919,-5.297389,0.880907,0.473289
map,3.375919,-5.297389,0.880907,0.473289
map,3.375919,-5.297389,0.880907,0.473289
map,3.375919,-5.297389,0.880907,0.473289
map,3.382164,-5.314682,0.825294,0.564703
map,3.382164,-5.314682,0.825294,0.564703
map,3.382164,-5.314682,0.825294,0.564703
map,3.382164,-5.314682,0.825294,0.564703
map,3.385777,-5.313128,0.768676,0.639638
map,3.385777,-5.313128,0.768676,0.639638
map,3.385777,-5.313128,0.768676,0.639638
map,3.385777,-5.313128,0.768676,0.639638
map,3.381750,-5.233564,0.702727,0.711460
map,3.381750,-5.233564,0.702727,0.711460
map,3.381750,-5.233564,0.702727,0.711460
map,3.381750,-5.233564,0.702727,0.711460
map,3.381750,-5.233564,0.702727,0.711460
map,3.382321,-5.198709,0.620092,0.784529
map,3.382321,-5.198709,0.620092,0.784529
map,3.382321,-5.198709,0.620092,0.784529
map,3.382321,-5.198709,0.620092,0.784529
map,3.374739,-5.219428,0.534184,0.845368
map,3.374739,-5.219428,0.534184,0.845368
map,3.374739,-5.219428,0.534184,0.845368
map,3.374739,-5.219428,0.534184,0.845368
map,3.360627,-5.244245,0.443787,0.896132
map,3.360627,-5.244245,0.443787,0.896132
map,3.360627,-5.244245,0.443787,0.896132
map,3.360627,-5.244245,0.443787,0.896132
map,3.344702,-5.257996,0.350562,0.936539
map,3.344702,-5.257996,0.350562,0.936539
map,3.344702,-5.257996,0.350562,0.936539
map,3.344702,-5.257996,0.350562,0.936539
map,3.349496,-5.254436,0.251132,0.967953
map,3.349496,-5.254436,0.251132,0.967953
map,3.349496,-5.254436,0.251132,0.967953
map,3.349496,-5.254436,0.251132,0.967953
map,3.354353,-5.254558,0.149464,0.988767
map,3.354353,-5.254558,0.149464,0.988767
map,3.354353,-5.254558,0.149464,0.988767
map,3.354353,-5.254558,0.149464,0.988767
map,3.360780,-5.254774,0.047584,0.998867
map,3.360780,-5.254774,0.047584,0.998867
map,3.360780,-5.254774,0.047584,0.998867
map,3.360780,-5.254774,0.047584,0.998867
map,3.370915,-5.254028,-0.054800,0.998497
map,3.370915,-5.254028,-0.054800,0.998497
map,3.370915,-5.254028,-0.054800,0.998497
map,3.370915,-5.254028,-0.054800,0.998497
map,3.379890,-5.247976,-0.156353,0.987701
map,3.379890,-5.247976,-0.156353,0.987701
map,3.379890,-5.247976,-0.156353,0.987701
map,3.379890,-5.247976,-0.156353,0.987701
map,3.388423,-5.245495,-0.255176,0.966895
map,3.388423,-5.245495,-0.255176,0.966895
map,3.388423,-5.245495,-0.255176,0.966895
map,3.388423,-5.245495,-0.255176,0.966895
map,3.390194,-5.246820,-0.351943,0.936022
map,3.390194,-5.246820,-0.351943,0.936022
map,3.390194,-5.246820,-0.351943,0.936022
map,3.390194,-5.246820,-0.351943,0.936022
map,3.396527,-5.248058,-0.448330,0.893868
map,3.396527,-5.248058,-0.448330,0.893868
map,3.396527,-5.248058,-0.448330,0.893868
map,3.396527,-5.248058,-0.448330,0.893868
map,3.419350,-5.283281,-0.530603,0.847621
map,3.419350,-5.283281,-0.530603,0.847621
map,3.419350,-5.283281,-0.530603,0.847621
map,3.419350,-5.283281,-0.530603,0.847621
map,3.410423,-5.271848,-0.616108,0.787661
map,3.410423,-5.271848,-0.616108,0.787661
map,3.410423,-5.271848,-0.616108,0.787661
map,3.410423,-5.271848,-0.616108,0.787661
