frame,child_frame,odom_position_x,odom_position_y,odom_orientation_z,odom_orientation_w,odom_linear_x,odom_angular_z
/odom,/base_footprint,3.875805,-4.149454,-0.062924,-0.998018,0.000121,-0.000273
/odom,/base_footprint,3.875812,-4.149453,-0.062929,-0.998018,0.000021,0.000372
/odom,/base_footprint,3.876387,-4.149381,-0.061356,-0.998116,0.010638,-0.100604
/odom,/base_footprint,3.876835,-4.149327,-0.053579,-0.998564,-0.001773,-0.267156
/odom,/base_footprint,3.876552,-4.149349,-0.027950,-0.999609,-0.003480,-0.473920
/odom,/base_footprint,3.876444,-4.149354,-0.002360,-0.999997,0.000390,-0.515398
/odom,/base_footprint,3.876418,-4.149353,0.018249,-0.999833,-0.001272,-0.515071
/odom,/base_footprint,3.876290,-4.149345,0.049083,-0.998795,-0.000328,-0.512719
/odom,/base_footprint,3.876200,-4.149333,0.074798,-0.997199,-0.001497,-0.516926
/odom,/base_footprint,3.875488,-4.149206,0.095297,-0.995449,-0.015190,-0.512535
/odom,/base_footprint,3.871022,-4.148150,0.125722,-0.992065,-0.081406,-0.508244
/odom,/base_footprint,3.864391,-4.146288,0.151213,-0.988501,-0.038260,-0.519377
/odom,/base_footprint,3.863543,-4.146014,0.172862,-0.984946,0.002490,-0.591493
/odom,/base_footprint,3.864351,-4.146331,0.206106,-0.978530,0.000201,-0.514602
/odom,/base_footprint,3.863917,-4.146127,0.226218,-0.974077,-0.007415,-0.515784
/odom,/base_footprint,3.866517,-4.147594,0.261145,-0.965299,0.047852,-0.515394
/odom,/base_footprint,3.871951,-4.150943,0.280936,-0.959727,0.113913,-0.513675
/odom,/base_footprint,3.879851,-4.156227,0.300649,-0.953735,0.111554,-0.513814
/odom,/base_footprint,3.890713,-4.164337,0.329940,-0.944002,0.108649,-0.515047
/odom,/base_footprint,3.900719,-4.172773,0.354143,-0.935191,0.159901,-0.514103
/odom,/base_footprint,3.910872,-4.182142,0.373429,-0.927659,0.183002,-0.519957
/odom,/base_footprint,3.924841,-4.196310,0.397217,-0.917725,0.230352,-0.513643
/odom,/base_footprint,3.944148,-4.218204,0.425375,-0.905017,0.249887,-0.511651
/odom,/base_footprint,3.957410,-4.234910,0.443768,-0.896142,0.291370,-0.509233
/odom,/base_footprint,3.975973,-4.260657,0.466769,-0.884379,0.353549,-0.521577
/odom,/base_footprint,4.000872,-4.299739,0.494102,-0.869404,0.423080,-0.520314
/odom,/base_footprint,4.025291,-4.343814,0.520984,-0.853567,0.423202,-0.518611
/odom,/base_footprint,4.036385,-4.366240,0.534149,-0.845390,0.412078,-0.515637
/odom,/base_footprint,4.055269,-4.409272,0.560241,-0.828330,0.359541,-0.521014
/odom,/base_footprint,4.067093,-4.441038,0.581591,-0.813481,0.301105,-0.519963
/odom,/base_footprint,4.074101,-4.462995,0.598347,-0.801237,0.279128,-0.517354
/odom,/base_footprint,4.082652,-4.495548,0.622836,-0.782352,0.282322,-0.513461
/odom,/base_footprint,4.087074,-4.516706,0.638824,-0.769353,0.247079,-0.515909
/odom,/base_footprint,4.092250,-4.551337,0.666348,-0.745641,0.252170,-0.523046
/odom,/base_footprint,4.094340,-4.574207,0.681095,-0.732195,0.321447,-0.490774
/odom,/base_footprint,4.095827,-4.602875,0.695594,-0.718436,0.390581,-0.506486
/odom,/base_footprint,4.095694,-4.657248,0.721027,-0.692907,0.345079,-0.517639
/odom,/base_footprint,4.094026,-4.684734,0.735319,-0.677721,0.340908,-0.526322
/odom,/base_footprint,4.090618,-4.716341,0.753334,-0.657638,0.288671,-0.544674
/odom,/base_footprint,4.085268,-4.748106,0.773814,-0.633413,0.255323,-0.526311
/odom,/base_footprint,4.083239,-4.757663,0.780429,-0.625244,0.233112,-0.524227
/odom,/base_footprint,4.075273,-4.787814,0.805298,-0.592871,0.158399,-0.504259
/odom,/base_footprint,4.072033,-4.797672,0.814309,-0.580432,0.192601,-0.515246
/odom,/base_footprint,4.059424,-4.830147,0.834834,-0.550502,0.271849,-0.516225
/odom,/base_footprint,4.051257,-4.848235,0.845663,-0.533717,0.215929,-0.491180
/odom,/base_footprint,4.043295,-4.864122,0.855408,-0.517955,0.244888,-0.411257
/odom,/base_footprint,4.029443,-4.889392,0.864749,-0.502204,0.335635,-0.352596
/odom,/base_footprint,4.005807,-4.928885,0.874945,-0.484223,0.417311,-0.373607
/odom,/base_footprint,3.986911,-4.958019,0.882264,-0.470754,0.463550,-0.391267
/odom,/base_footprint,3.959305,-4.997486,0.891825,-0.452381,0.469010,-0.472044
/odom,/base_footprint,3.923741,-5.043148,0.904477,-0.426522,0.492742,-0.448974
/odom,/base_footprint,3.898007,-5.073216,0.912308,-0.409504,0.500374,-0.496892
/odom,/base_footprint,3.863608,-5.110006,0.922178,-0.386765,0.500955,-0.492655
