frame,footprint_x,footprint_y,footprint_z,ID
odom,0.283175,-0.001295,0.000000,0
odom,0.262768,0.114037,0.000000,0
odom,0.203564,0.203525,0.000000,0
odom,0.114620,0.263544,0.000000,0
odom,0.009479,0.284957,0.000000,0
odom,-0.115853,0.264596,0.000000,0
odom,-0.205341,0.205392,0.000000,0
odom,-0.265360,0.116448,0.000000,0
odom,-0.286774,0.011307,0.000000,0
odom,-0.266413,-0.114025,0.000000,0
odom,-0.207208,-0.203513,0.000000,0
odom,-0.118265,-0.263532,0.000000,0
odom,-0.013123,-0.284945,0.000000,0
odom,0.112209,-0.264584,0.000000,0
odom,0.201696,-0.205380,0.000000,0
odom,0.261716,-0.116437,0.000000,0

odom,0.283170,-0.001296,0.000000,1
odom,0.262764,0.114036,0.000000,1
odom,0.203560,0.203524,0.000000,1
odom,0.114617,0.263543,0.000000,1
odom,0.009476,0.284957,0.000000,1
odom,-0.115857,0.264597,0.000000,1
odom,-0.205344,0.205392,0.000000,1
odom,-0.265364,0.116449,0.000000,1
odom,-0.286778,0.011308,0.000000,1
odom,-0.266417,-0.114024,0.000000,1
odom,-0.207213,-0.203512,0.000000,1
odom,-0.118270,-0.263532,0.000000,1
odom,-0.013129,-0.284945,0.000000,1
odom,0.112203,-0.264585,0.000000,1
odom,0.201691,-0.205381,0.000000,1
odom,0.261711,-0.116438,0.000000,1

odom,0.282991,-0.002453,0.000000,2
odom,0.263054,0.112962,0.000000,2
odom,0.204213,0.202689,0.000000,2
odom,0.115515,0.263069,0.000000,2
odom,0.010461,0.284910,0.000000,2
odom,-0.114953,0.265059,0.000000,2
odom,-0.204680,0.206218,0.000000,2
odom,-0.265061,0.117520,0.000000,2
odom,-0.286901,0.012466,0.000000,2
odom,-0.267050,-0.112948,0.000000,2
odom,-0.208209,-0.202675,0.000000,2
odom,-0.119511,-0.263056,0.000000,2
odom,-0.014457,-0.284896,0.000000,2
odom,0.110956,-0.265045,0.000000,2
odom,0.200684,-0.206204,0.000000,2
odom,0.261064,-0.117506,0.000000,2

odom,0.282606,-0.009029,0.000000,3
odom,0.265339,0.106815,0.000000,3
odom,0.208587,0.197878,0.000000,3
odom,0.121306,0.260290,0.000000,3
odom,0.016785,0.284551,0.000000,3
odom,-0.109054,0.267601,0.000000,3
odom,-0.200116,0.210849,0.000000,3
odom,-0.262529,0.123568,0.000000,3
odom,-0.286790,0.019047,0.000000,3
odom,-0.269840,-0.106792,0.000000,3
