frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID


odom,-0.002047,0.000007,-0.005794,0.999983,2
odom,-0.003014,-0.000011,-0.079509,0.996834,2
odom,-0.003852,0.000060,-0.146467,0.989216,2
odom,-0.004553,0.000183,-0.212135,0.977240,2
odom,-0.004955,0.000238,-0.277519,0.960720,2
odom,0.011751,-0.012231,-0.345102,0.938565,2
odom,0.040064,-0.040410,-0.413706,0.910411,2
odom,0.075026,-0.087202,-0.479154,0.877731,2
odom,0.110075,-0.151425,-0.539024,0.842290,2
odom,0.139087,-0.226862,-0.591082,0.806611,2
odom,0.159833,-0.309305,-0.636650,0.771153,2
odom,0.171690,-0.396200,-0.676886,0.736088,2
odom,0.175926,-0.490391,-0.704047,0.710154,2
odom,0.174280,-0.598886,-0.720096,0.693875,2
odom,0.169219,-0.721136,-0.722542,0.691327,2
odom,0.165863,-0.850508,-0.709349,0.704857,2
odom,0.168856,-0.965302,-0.685565,0.728011,2
odom,0.176654,-1.070819,-0.674932,0.737880,2
odom,0.185609,-1.170335,-0.673822,0.738893,2
odom,0.194471,-1.263983,-0.671501,0.741004,2
odom,0.203377,-1.352634,-0.669527,0.742788,2
odom,0.212246,-1.436020,-0.667134,0.744937,2
odom,0.221009,-1.513646,-0.664672,0.747135,2
odom,0.229633,-1.583093,-0.658708,0.752398,2
odom,0.237393,-1.637035,-0.649844,0.760068,2
odom,0.245421,-1.683732,-0.637697,0.770287,2

odom,-0.002047,0.000007,-0.005794,0.999983,3
odom,-0.003014,-0.000011,-0.079509,0.996834,3
odom,-0.003852,0.000060,-0.146467,0.989216,3
odom,-0.004553,0.000183,-0.212135,0.977240,3
odom,-0.004955,0.000238,-0.277519,0.960720,3
odom,0.011751,-0.012231,-0.345102,0.938565,3
odom,0.040064,-0.040410,-0.413706,0.910411,3
odom,0.075026,-0.087202,-0.479154,0.877731,3
odom,0.110075,-0.151425,-0.539024,0.842290,3
odom,0.139087,-0.226862,-0.591082,0.806611,3
odom,0.159833,-0.309305,-0.636650,0.771153,3
odom,0.171690,-0.396200,-0.676886,0.736088,3
odom,0.175926,-0.490391,-0.704047,0.710154,3
odom,0.174280,-0.598886,-0.720096,0.693875,3
odom,0.169219,-0.721136,-0.722542,0.691327,3
odom,0.165863,-0.850508,-0.709349,0.704857,3
odom,0.168856,-0.965302,-0.685565,0.728011,3
odom,0.176654,-1.070819,-0.674932,0.737880,3
odom,0.185609,-1.170335,-0.673822,0.738893,3
odom,0.194471,-1.263983,-0.671501,0.741004,3
odom,0.203377,-1.352634,-0.669527,0.742788,3
odom,0.212246,-1.436020,-0.667134,0.744937,3
odom,0.221009,-1.513646,-0.664672,0.747135,3
odom,0.229633,-1.583093,-0.658708,0.752398,3
odom,0.237393,-1.637035,-0.649844,0.760068,3
odom,0.245421,-1.683732,-0.637697,0.770287,3

odom,-0.002594,0.000030,-0.037562,0.999294,4
odom,-0.003203,0.000007,-0.111444,0.993771,4
odom,-0.003539,-0.000021,-0.176163,0.984361,4
odom,0.014618,-0.008386,-0.245392,0.969424,4
odom,0.045943,-0.028551,-0.314831,0.949148,4
