extroversion,visual_time,visual_N,textual_time,textual_N,N_objects,N_words,N_deviations
10,0.346272945404053,2,0.000292301177979,2,1,4,0
10,0.346272945404053,2,0.000292301177979,2,1,4,0
10,0.239555597305298,3,0.000302076339722,3,1,4,0
10,0.225528001785278,4,0.000257730484009,4,1,4,0
10,0.205100059509277,5,0.000314712524414,5,1,4,0
10,0.226986408233643,6,0.001083850860596,6,1,4,0
10,0.579280376434326,7,0.000269412994385,7,1,4,0
10,0.20963191986084,8,0.000302076339722,8,1,4,0
10,0.246361970901489,9,0.000312328338623,9,1,4,0
10,0.370390892028809,10,0.000324249267578,10,1,4,0
10,0.214919328689575,11,9.77516174316406E-06,11,0,7,0
10,0.33027720451355,12,8.58306884765625E-06,12,0,7,0
10,0.371771097183228,13,0.000253438949585,13,1,4,0
10,0.211411952972412,14,0.000329256057739,14,1,4,0
10,0.228494644165039,15,0.000306129455566,15,1,4,0
10,0.369402647018433,16,0.000267744064331,16,1,4,0
10,0.227227687835693,17,0.000348806381226,17,1,4,0
10,0.241821527481079,18,0.000268936157227,18,1,4,0
10,0.198779344558716,19,0.000331401824951,19,1,4,0
10,0.21126389503479,20,0.00032901763916,20,1,4,0
10,0.215298175811768,21,0.00031304359436,21,1,4,0
10,0.222941160202026,22,0.000292539596558,22,1,4,0
10,0.207937240600586,23,0.000346183776855,23,1,4,0
10,0.215009927749634,24,0.000306606292725,24,1,4,0
10,0.213716983795166,25,0.000286340713501,25,1,4,0
10,0.390495777130127,26,0.000338554382324,26,1,4,0
10,1.56654167175293,27,0.000345945358276,27,1,4,0
10,1.81870985031128,28,4.43458557128906E-05,28,3,4,1
10,0.197104692459106,29,2.86102294921875E-05,29,1,4,1
10,0.225354433059692,30,2.19345092773437E-05,30,1,4,1
10,0.255675554275513,31,2.00271606445312E-05,31,1,4,1
10,0.247876644134521,32,2.62260437011719E-05,32,1,4,1
10,0.234034776687622,33,2.38418579101562E-05,33,1,4,1
10,0.719955921173096,34,3.02791595458984E-05,34,1,4,1
10,0.249816179275513,35,3.02791595458984E-05,35,1,4,1
10,0.22581934928894,36,2.50339508056641E-05,36,1,4,1
10,0.232906341552734,37,3.26633453369141E-05,37,1,4,1
10,0.214769124984741,38,2.64644622802734E-05,38,1,4,1
10,0.214314699172974,39,0.000404596328735,39,4,8,1
10,0.494561195373535,40,0.000455141067505,40,4,8,1
10,0.339119672775269,41,0.000327348709106,41,4,8,1
10,0.236221790313721,42,0.00139045715332,42,4,8,1
10,0.359536647796631,43,0.000592947006226,43,4,8,1
10,0.242230176925659,44,0.000514030456543,44,5,9,1
10,0.19520902633667,45,0.000425338745117,45,5,9,1
10,0.245445728302002,46,0.000547409057617,46,5,9,1
10,0.212819337844849,47,0.000289440155029,47,5,9,1
10,0.214254140853882,48,0.000444889068604,48,5,9,1
10,0.208350896835327,49,0.000452280044556,49,5,9,1
10,0.20546555519104,50,0.001451015472412,50,3,7,1
