frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID


odom,-0.786913,0.325547,0.851442,0.524449,2
odom,-0.786668,0.324819,0.833378,0.552704,2
odom,-0.786461,0.324021,0.802831,0.596206,2
odom,-0.786349,0.323117,0.741569,0.670877,2
odom,-0.786370,0.322146,0.688375,0.725355,2
odom,-0.786522,0.321150,0.632869,0.774259,2
odom,-0.786795,0.320166,0.581204,0.813758,2
odom,-0.787176,0.319222,0.528218,0.849109,2
odom,-0.787645,0.318340,0.477084,0.878858,2
odom,-0.788184,0.317534,0.424800,0.905287,2
odom,-0.788770,0.316818,0.372974,0.927842,2
odom,-0.789380,0.316199,0.319676,0.947527,2
odom,-0.789987,0.315711,0.237554,0.971374,2
odom,-0.790535,0.315364,0.159165,0.987252,2
odom,-0.790986,0.315126,0.085829,0.996310,2
odom,-0.791190,0.314977,0.011466,0.999934,2
odom,-0.762179,0.313149,-0.069431,0.997587,2
odom,-0.709880,0.301354,-0.149056,0.988829,2
odom,-0.644750,0.275794,-0.220483,0.975391,2
odom,-0.575349,0.236785,-0.284077,0.958802,2
odom,-0.510393,0.188971,-0.338135,0.941098,2
odom,-0.416182,0.098524,-0.407095,0.913386,2
odom,-0.354411,0.025684,-0.432483,0.901642,2
odom,-0.295108,-0.050185,-0.443321,0.896363,2
odom,-0.234478,-0.129377,-0.441600,0.897212,2
odom,-0.171856,-0.209568,-0.434763,0.900545,2
odom,-0.108061,-0.288823,-0.428345,0.903615,2
odom,-0.042365,-0.368598,-0.424688,0.905340,2
odom,0.025061,-0.449110,-0.420972,0.907073,2
odom,0.092567,-0.528871,-0.419986,0.907530,2
odom,0.158134,-0.605673,-0.417081,0.908870,2
odom,0.222114,-0.680066,-0.416674,0.909056,2
odom,0.282932,-0.750606,-0.415940,0.909392,2
odom,0.337485,-0.813757,-0.415737,0.909485,2
odom,0.376760,-0.857769,-0.401028,0.916066,2
odom,0.405368,-0.887803,-0.385531,0.922695,2

odom,-0.786842,0.325405,0.850272,0.526344,3
odom,-0.786552,0.324490,0.825347,0.564626,3
odom,-0.786333,0.323475,0.785750,0.618544,3
odom,-0.786225,0.322369,0.740915,0.671598,3
odom,-0.786250,0.321206,0.693737,0.720229,3
odom,-0.786417,0.320021,0.643950,0.765068,3
odom,-0.786727,0.318845,0.592515,0.805560,3
odom,-0.787174,0.317703,0.539351,0.842081,3
odom,-0.787750,0.316615,0.484943,0.874546,3
odom,-0.788448,0.315595,0.429184,0.903217,3
odom,-0.789260,0.314652,0.372282,0.928120,3
odom,-0.790183,0.313793,0.314133,0.949379,3
odom,-0.791214,0.313029,0.252874,0.967499,3
odom,-0.792343,0.312371,0.192086,0.981378,3
odom,-0.793556,0.311826,0.132993,0.991117,3
odom,-0.779000,0.314522,0.060723,0.998155,3
odom,-0.743672,0.315618,-0.024326,0.999704,3
odom,-0.686300,0.307934,-0.105061,0.994466,3
odom,-0.613743,0.286448,-0.179011,0.983847,3
odom,-0.534355,0.249965,-0.246121,0.969239,3
odom,-0.454700,0.199743,-0.307088,0.951681,3
odom,-0.377191,0.136251,-0.364234,0.931308,3
