ID,label,cx_map,cy_map,tl_map_x,tl_map_y,tr_map_x,tr_map_y,bl_map_x,bl_map_y,br_map_x,br_map_y,dx_map,dy_map
1,wall_1,-0.019,3.152,-3.019,3.227,2.981,3.227,-3.019,3.077,2.981,3.077,6,0.15
2,wall_2,4.977,3.152,2.977,3.227,6.977,3.227,2.977,3.077,6.977,3.077,4,0.15
3,wall_3,6.887,-0.423,6.812,3.077,6.962,3.077,6.812,-3.923,6.962,-3.923,0.15,7
4,wall_4,4.954,-3.999,2.954,-3.924,6.954,-3.924,2.954,-4.074,6.954,-4.074,4,0.15
5,wall_5,0.041,-3.999,-2.959,-3.924,3.041,-3.924,-2.959,-4.074,3.041,-4.074,6,0.15
6,wall_6,-2.909,-0.423,-2.984,3.077,-2.834,3.077,-2.984,-3.923,-2.834,-3.923,0.15,7
7,wall_7,3.035,1.572,2.96,3.072,3.11,3.072,2.96,0.072,3.11,0.072,0.15,3
8,wall_8,3.035,-2.438,2.96,-0.938,3.11,-0.938,2.96,-3.938,3.11,-3.938,0.15,3
