frame,child_frame,odom_position_x,odom_position_y,odom_orientation_z,odom_orientation_w,odom_linear_x,odom_angular_z
/odom,/base_footprint,0.788892,-12.204845,-0.773247,0.634105,0.000084,-0.000161
/odom,/base_footprint,0.788891,-12.204852,-0.773260,0.634089,0.000058,-0.000510
/odom,/base_footprint,0.788734,-12.205637,-0.773735,0.633510,0.032907,-0.064151
/odom,/base_footprint,0.787505,-12.211483,-0.779322,0.626624,0.093182,-0.269909
/odom,/base_footprint,0.784591,-12.223504,-0.793675,0.608342,0.105747,-0.488461
/odom,/base_footprint,0.782359,-12.231188,-0.805888,0.592067,0.095423,-0.511540
/odom,/base_footprint,0.778151,-12.243132,-0.826588,0.562808,0.088014,-0.511955
/odom,/base_footprint,0.775668,-12.249082,-0.837944,0.545756,0.078329,-0.512410
/odom,/base_footprint,0.773316,-12.254136,-0.848971,0.528440,0.061509,-0.513516
/odom,/base_footprint,0.770139,-12.260139,-0.864832,0.502061,0.051531,-0.513167
/odom,/base_footprint,0.767672,-12.264194,-0.879853,0.475245,0.033317,-0.512085
/odom,/base_footprint,0.767158,-12.264964,-0.887043,0.461687,-0.002385,-0.510342
/odom,/base_footprint,0.767377,-12.264671,-0.900858,0.434114,-0.003921,-0.517256
/odom,/base_footprint,0.767671,-12.264322,-0.913858,0.406034,-0.002702,-0.513798
/odom,/base_footprint,0.767745,-12.264243,-0.917979,0.396629,-0.002996,-0.512664
/odom,/base_footprint,0.768305,-12.263694,-0.931621,0.363431,-0.006322,-0.511648
/odom,/base_footprint,0.768574,-12.263454,-0.938886,0.344228,-0.003507,-0.514483
/odom,/base_footprint,0.769027,-12.263096,-0.949057,0.315105,-0.004897,-0.512353
/odom,/base_footprint,0.769343,-12.262873,-0.958312,0.285725,-0.002996,-0.513358
/odom,/base_footprint,0.769602,-12.262710,-0.962605,0.270910,-0.005369,-0.514529
/odom,/base_footprint,0.770056,-12.262452,-0.971721,0.236130,-0.003301,-0.514055
/odom,/base_footprint,0.770457,-12.262256,-0.976404,0.215953,-0.005464,-0.519708
/odom,/base_footprint,0.770958,-12.262036,-0.980672,0.195657,-0.008096,-0.518495
/odom,/base_footprint,0.771643,-12.261769,-0.984513,0.175311,-0.010359,-0.516831
/odom,/base_footprint,0.772862,-12.261368,-0.990196,0.139687,-0.008748,-0.514603
/odom,/base_footprint,0.773748,-12.261134,-0.992857,0.119313,-0.013152,-0.513310
/odom,/base_footprint,0.775189,-12.260829,-0.996061,0.088669,-0.012084,-0.515248
/odom,/base_footprint,0.776650,-12.260612,-0.998330,0.057771,-0.012030,-0.517634
/odom,/base_footprint,0.777498,-12.260529,-0.999103,0.042341,-0.015030,-0.513632
/odom,/base_footprint,0.778657,-12.260456,-0.999934,0.011467,-0.004556,-0.515076
/odom,/base_footprint,0.779068,-12.260457,-0.999898,-0.014293,-0.003665,-0.515349
/odom,/base_footprint,0.779631,-12.260491,-0.998984,-0.045069,-0.005265,-0.512879
/odom,/base_footprint,0.780353,-12.260572,-0.997845,-0.065611,-0.009673,-0.515152
/odom,/base_footprint,0.781970,-12.260836,-0.995830,-0.091224,-0.020802,-0.512842
/odom,/base_footprint,0.783225,-12.261090,-0.993743,-0.111692,-0.012363,-0.515333
/odom,/base_footprint,0.784347,-12.261378,-0.989814,-0.142366,-0.007248,-0.515525
/odom,/base_footprint,0.784928,-12.261562,-0.986679,-0.162678,-0.008133,-0.512616
/odom,/base_footprint,0.785616,-12.261817,-0.980214,-0.197941,-0.002979,-0.511241
/odom,/base_footprint,0.786238,-12.262096,-0.975916,-0.218147,-0.010008,-0.517663
/odom,/base_footprint,0.786799,-12.262373,-0.971200,-0.238264,-0.006546,-0.515195
/odom,/base_footprint,0.787245,-12.262618,-0.964726,-0.263258,-0.002824,-0.517959
/odom,/base_footprint,0.788200,-12.263236,-0.956123,-0.292966,-0.016101,-0.513990
/odom,/base_footprint,0.789375,-12.264068,-0.949918,-0.312499,-0.019350,-0.511865
/odom,/base_footprint,0.790509,-12.264938,-0.943316,-0.331895,-0.014838,-0.514714
/odom,/base_footprint,0.791795,-12.266042,-0.930772,-0.365601,-0.009719,-0.512555
/odom,/base_footprint,0.792611,-12.266836,-0.923086,-0.384594,-0.017774,-0.511478
/odom,/base_footprint,0.793541,-12.267815,-0.912943,-0.408086,-0.007785,-0.512791
/odom,/base_footprint,0.794234,-12.268639,-0.899877,-0.436144,-0.008424,-0.518323
/odom,/base_footprint,0.794505,-12.268993,-0.890677,-0.454636,-0.003688,-0.514753
/odom,/base_footprint,0.794814,-12.269452,-0.873802,-0.486282,-0.002764,-0.508201
/odom,/base_footprint,0.795368,-12.270393,-0.863663,-0.504069,-0.016571,-0.512053
/odom,/base_footprint,0.795795,-12.271175,-0.853182,-0.521613,-0.004656,-0.510299
/odom,/base_footprint,0.796481,-12.272677,-0.834046,-0.551695,-0.016825,-0.509241
/odom,/base_footprint,0.796796,-12.273458,-0.822405,-0.568902,-0.010374,-0.523357
/odom,/base_footprint,0.797000,-12.274029,-0.810506,-0.585731,-0.004518,-0.508121
/odom,/base_footprint,0.797098,-12.274364,-0.788933,-0.614479,-0.003044,-0.518709
/odom,/base_footprint,0.797124,-12.274471,-0.776087,-0.630626,0.000038,-0.514797
/odom,/base_footprint,0.797221,-12.275035,-0.759681,-0.650295,-0.009808,-0.510743
/odom,/base_footprint,0.797336,-12.275937,-0.739177,-0.673511,-0.006202,-0.518223
/odom,/base_footprint,0.797235,-12.274296,-0.725201,-0.688537,0.050658,-0.512304
/odom,/base_footprint,0.797065,-12.268026,-0.707280,-0.706934,0.059726,-0.511501
/odom,/base_footprint,0.797171,-12.262788,-0.692693,-0.721233,0.064804,-0.512026
/odom,/base_footprint,0.797879,-12.253410,-0.670195,-0.742185,0.115754,-0.511518
/odom,/base_footprint,0.799554,-12.240439,-0.650948,-0.759123,0.140150,-0.513102
/odom,/base_footprint,0.801703,-12.228242,-0.635649,-0.771978,0.179922,-0.487690
/odom,/base_footprint,0.807053,-12.204609,-0.611945,-0.790900,0.191599,-0.521101
/odom,/base_footprint,0.813248,-12.183424,-0.586569,-0.809899,0.171671,-0.535542
/odom,/base_footprint,0.816974,-12.172665,-0.574125,-0.818768,0.212640,-0.489708
/odom,/base_footprint,0.824403,-12.153413,-0.557854,-0.829939,0.288448,-0.512529
/odom,/base_footprint,0.842379,-12.113685,-0.527116,-0.849793,0.351128,-0.533499
/odom,/base_footprint,0.855965,-12.087699,-0.509724,-0.860338,0.389072,-0.471418
/odom,/base_footprint,0.871879,-12.059892,-0.494024,-0.869448,0.421181,-0.419540
/odom,/base_footprint,0.904089,-12.008887,-0.471869,-0.881669,0.440982,-0.353503
/odom,/base_footprint,0.924735,-11.978826,-0.460395,-0.887714,0.471415,-0.268519
/odom,/base_footprint,0.958142,-11.932664,-0.449924,-0.893067,0.479913,-0.175827
/odom,/base_footprint,0.993616,-11.885671,-0.442633,-0.896703,0.494546,-0.104199
/odom,/base_footprint,1.011851,-11.861986,-0.440951,-0.897531,0.499610,-0.013660
/odom,/base_footprint,1.048426,-11.814331,-0.444688,-0.895686,0.499613,0.117463
/odom,/base_footprint,1.084237,-11.766260,-0.453737,-0.891136,0.500297,0.213044
/odom,/base_footprint,1.101725,-11.741858,-0.460455,-0.887683,0.500190,0.297595
/odom,/base_footprint,1.135299,-11.692161,-0.476763,-0.879032,0.500119,0.225189
/odom,/base_footprint,1.162190,-11.649972,-0.485646,-0.874156,0.499983,0.267515
/odom,/base_footprint,1.187270,-11.608072,-0.502280,-0.864705,0.481288,0.476252
