frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID


odom,0.788891,-12.204852,-0.773260,0.634089,2
odom,0.784810,-12.223827,-0.804241,0.594304,2
odom,0.785736,-12.223389,-0.849765,0.527162,2
odom,0.787135,-12.222383,-0.888476,0.458923,2
odom,0.789139,-12.221000,-0.920932,0.389724,2
odom,0.791884,-12.219421,-0.950070,0.312036,2
odom,0.795415,-12.217888,-0.972108,0.234535,2
odom,0.799578,-12.216613,-0.985570,0.169268,2
odom,0.804227,-12.215726,-0.994445,0.105257,2
odom,0.809243,-12.215321,-0.999057,0.043420,2
odom,0.814508,-12.215465,0.999821,0.018934,2
odom,0.819908,-12.216256,0.995977,0.089609,2
odom,0.825271,-12.217752,0.986819,0.161826,2
odom,0.830379,-12.220006,0.968918,0.247381,2
odom,0.834954,-12.222920,0.943796,0.330529,2
odom,0.838809,-12.226284,0.911491,0.411320,2
odom,0.841842,-12.229836,0.872197,0.489155,2
odom,0.844037,-12.233298,0.825611,0.564240,2
odom,0.845481,-12.236405,0.772827,0.634617,2
odom,0.846353,-12.239010,0.712879,0.701287,2
odom,0.848627,-12.221052,0.639091,0.769131,2
odom,0.863133,-12.173489,0.562981,0.826470,2
odom,0.895199,-12.109404,0.494041,0.869439,2
odom,0.955390,-12.022013,0.442037,0.896997,2
odom,1.042543,-11.913227,0.429657,0.902992,2
odom,1.136260,-11.791339,0.460502,0.887658,2
odom,1.207905,-11.674831,0.513908,0.857845,2
odom,1.261291,-11.554252,0.576199,0.817309,2
odom,1.297040,-11.420691,0.640906,0.767619,2
odom,1.309873,-11.298235,0.696058,0.717986,2
odom,1.304569,-11.175015,0.745850,0.666114,2
odom,1.280543,-11.044127,0.788900,0.614522,2
odom,1.238289,-10.905321,0.813502,0.581562,2
odom,1.203249,-10.803816,0.813483,0.581589,2
odom,1.176559,-10.719216,0.797165,0.603762,2
odom,1.159849,-10.646669,0.762362,0.647151,2
odom,1.154418,-10.585239,0.701962,0.712214,2
odom,1.156424,-10.555007,0.646759,0.762695,2
odom,1.158271,-10.543285,0.607534,0.794293,2

odom,0.788559,-12.206499,-0.774335,0.632776,3
odom,0.779139,-12.242126,-0.813921,0.580975,3
odom,0.772102,-12.259121,-0.855908,0.517128,3
odom,0.772409,-12.259148,-0.892768,0.450516,3
odom,0.772955,-12.258931,-0.924139,0.382057,3
odom,0.773767,-12.258577,-0.950243,0.311509,3
odom,0.774869,-12.258177,-0.970930,0.239365,3
odom,0.776253,-12.257817,-0.986114,0.166070,3
odom,0.777886,-12.257585,-0.995762,0.091965,3
odom,0.779710,-12.257545,-0.999850,0.017346,3
odom,0.781651,-12.257749,0.998343,0.057542,3
odom,0.783622,-12.258217,0.991186,0.132477,3
odom,0.785535,-12.258949,0.978298,0.207201,3
odom,0.787307,-12.259914,0.959577,0.281448,3
odom,0.788866,-12.261058,0.934926,0.354844,3
odom,0.790162,-12.262309,0.904265,0.426972,3
odom,0.791168,-12.263579,0.867558,0.497336,3
odom,0.791891,-12.264783,0.824852,0.565349,3
odom,0.792361,-12.265834,0.776331,0.630326,3
odom,0.792639,-12.266669,0.722316,0.691563,3
