frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID
map,0.428952,0.914627,-0.667579,0.744539,0
map,0.433918,0.869203,-0.686916,0.726737,0
map,0.432922,0.844223,-0.720491,0.693464,0
map,0.432007,0.819240,-0.719023,0.694986,0
map,0.431222,0.794252,-0.717954,0.696091,0
map,0.430462,0.769264,-0.717467,0.696592,0
map,0.429746,0.744275,-0.717199,0.696869,0
map,0.429024,0.719286,-0.717220,0.696847,0
map,0.428306,0.694295,-0.717377,0.696685,0
map,0.427561,0.669307,-0.717701,0.696351,0
map,0.426796,0.644318,-0.718121,0.695919,0
map,0.425992,0.619332,-0.718649,0.695373,0
map,0.425151,0.594345,-0.719248,0.694753,0
map,0.424260,0.569361,-0.688819,0.724934,0
map,0.427694,0.544599,-0.656578,0.754258,0
map,0.431150,0.519838,-0.656299,0.754501,0
map,0.434621,0.495081,-0.655982,0.754776,0
map,0.438119,0.470326,-0.655634,0.755079,0
map,0.441636,0.445575,-0.655263,0.755401,0
map,0.445182,0.420828,-0.654869,0.755743,0
map,0.448750,0.396083,-0.654464,0.756093,0
map,0.452350,0.371344,-0.654048,0.756453,0
map,0.455972,0.346608,-0.653632,0.756813,0
map,0.459626,0.321877,-0.653215,0.757173,0
map,0.463303,0.297148,-0.652806,0.757525,0
map,0.467011,0.272425,-0.652399,0.757876,0
map,0.470741,0.247705,-0.652004,0.758216,0
map,0.474500,0.222989,-0.650816,0.759235,0
map,0.478385,0.198293,-0.649800,0.760105,0
map,0.482275,0.173598,-0.649760,0.760139,0
map,0.486166,0.148902,-0.649698,0.760192,0
map,0.490065,0.124208,-0.649613,0.760265,0
map,0.493966,0.099513,-0.649514,0.760349,0
map,0.497878,0.074822,-0.649399,0.760448,0
map,0.501795,0.050130,-0.649278,0.760551,0
map,0.505722,0.025441,-0.649142,0.760667,0
map,0.509656,0.000752,-0.649002,0.760787,0
map,0.513601,-0.023934,-0.648858,0.760910,0
map,0.517554,-0.048620,-0.648715,0.761032,0
map,0.521518,-0.073304,-0.648126,0.761533,0
map,0.525548,-0.097976,-0.647616,0.761967,0
map,0.529578,-0.122650,-0.647623,0.761961,0
map,0.533606,-0.147323,-0.647622,0.761962,0
map,0.537636,-0.171996,-0.647604,0.761977,0
map,0.541667,-0.196669,-0.647575,0.762002,0
map,0.545701,-0.221342,-0.647543,0.762029,0
map,0.549736,-0.246013,-0.647502,0.762064,0
map,0.553775,-0.270685,-0.647452,0.762106,0
map,0.557816,-0.295357,-0.647398,0.762152,0
map,0.561863,-0.320027,-0.647342,0.762200,0
map,0.565911,-0.344697,-0.647286,0.762247,0
map,0.569965,-0.369366,-0.647221,0.762302,0
map,0.574022,-0.394034,-0.646938,0.762542,0
map,0.578112,-0.418698,-0.646700,0.762744,0
map,0.582200,-0.443361,-0.646717,0.762730,0
map,0.586287,-0.468025,-0.646723,0.762725,0
map,0.590374,-0.492689,-0.646726,0.762722,0
map,0.594462,-0.517352,-0.646720,0.762727,0
map,0.598550,-0.542016,-0.646712,0.762735,0
map,0.602638,-0.566679,-0.646699,0.762745,0
map,0.606728,-0.591342,-0.646685,0.762757,0
map,0.610818,-0.616006,-0.646665,0.762774,0
map,0.614910,-0.640668,-0.646644,0.762792,0
map,0.619003,-0.665331,-0.646620,0.762812,0
map,0.623098,-0.689993,-0.646446,0.762960,0
map,0.627214,-0.714652,-0.646298,0.763085,0
map,0.631328,-0.739311,-0.646322,0.763065,0
map,0.635441,-0.763971,-0.646343,0.763047,0
map,0.639552,-0.788630,-0.646358,0.763035,0
map,0.643663,-0.813290,-0.646369,0.763025,0
map,0.647773,-0.837950,-0.646378,0.763018,0
map,0.651883,-0.862610,-0.646381,0.763015,0
map,0.655992,-0.887269,-0.646381,0.763015,0
map,0.660102,-0.911929,-0.646384,0.763012,0
map,0.664211,-0.936590,-0.646384,0.763012,0
map,0.668321,-0.961249,-0.646378,0.763018,0
map,0.672431,-0.985909,-0.646263,0.763115,0
map,0.676555,-1.010567,-0.646169,0.763194,0
map,0.680677,-1.035225,-0.646198,0.763170,0
map,0.684798,-1.059882,-0.646222,0.763150,0
map,0.688917,-1.084541,-0.646246,0.763129,0
map,0.693034,-1.109199,-0.646266,0.763112,0
map,0.697151,-1.133858,-0.646281,0.763099,0
map,0.701267,-1.158517,-0.646293,0.763090,0
map,0.705381,-1.183176,-0.646307,0.763078,0
map,0.709495,-1.207835,-0.646317,0.763069,0
map,0.713609,-1.232495,-0.646325,0.763062,0
map,0.717722,-1.257154,-0.646334,0.763055,0
map,0.721834,-1.281814,-0.646260,0.763117,0
map,0.725956,-1.306471,-0.646201,0.763168,0
map,0.730077,-1.331129,-0.646230,0.763142,0
map,0.734195,-1.355788,-0.646254,0.763122,0
map,0.738312,-1.380446,-0.646278,0.763102,0
map,0.742428,-1.405105,-0.646304,0.763080,0
map,0.746541,-1.429764,-0.646325,0.763062,0
map,0.750654,-1.454424,-0.646343,0.763047,0
map,0.754765,-1.479084,-0.646363,0.763030,0
map,0.758875,-1.503744,-0.646381,0.763015,0
map,0.762985,-1.528403,-0.646396,0.763002,0
map,0.767093,-1.553064,-0.646407,0.762992,0
map,0.771200,-1.577724,-0.646358,0.763035,0
map,0.775315,-1.602383,-0.646317,0.763069,0
map,0.779428,-1.627042,-0.646348,0.763043,0
map,0.783538,-1.651702,-0.646378,0.763018,0
map,0.787647,-1.676362,-0.646405,0.762995,0
map,0.791754,-1.701022,-0.646431,0.762972,0
map,0.795860,-1.725683,-0.646455,0.762952,0
map,0.799964,-1.750344,-0.646479,0.762932,0
map,0.804067,-1.775005,-0.646499,0.762915,0
map,0.808168,-1.799666,-0.646519,0.762898,0
map,0.812268,-1.824328,-0.646538,0.762882,0
map,0.816367,-1.848990,-0.646555,0.762868,0
map,0.820464,-1.873651,-0.646575,0.762851,0
map,0.824561,-1.898313,-0.646547,0.762874,0
map,0.828662,-1.922975,-0.646526,0.762892,0
map,0.832761,-1.947636,-0.646555,0.762868,0
map,0.836859,-1.972298,-0.646582,0.762845,0
map,0.840954,-1.996960,-0.646611,0.762820,0
map,0.845048,-2.021623,-0.646635,0.762799,0
map,0.849141,-2.046286,-0.646658,0.762780,0
map,0.853231,-2.070949,-0.646685,0.762757,0
map,0.857320,-2.095612,-0.646706,0.762739,0
map,0.861409,-2.120276,-0.646726,0.762722,0
map,0.865495,-2.144939,-0.646750,0.762702,0
map,0.869580,-2.169604,-0.646771,0.762684,0
map,0.873664,-2.194268,-0.646753,0.762700,0
map,0.877751,-2.218931,-0.646738,0.762713,0
map,0.881837,-2.243595,-0.646767,0.762688,0
map,0.885920,-2.268259,-0.646797,0.762662,0
map,0.890002,-2.292924,-0.646824,0.762640,0
map,0.894082,-2.317589,-0.646850,0.762617,0
map,0.898161,-2.342254,-0.646876,0.762595,0
map,0.902237,-2.366919,-0.646900,0.762575,0
map,0.906313,-2.391585,-0.646927,0.762552,0
map,0.910386,-2.416250,-0.646951,0.762532,0
map,0.914458,-2.440917,-0.646971,0.762515,0
map,0.918529,-2.465583,-0.646994,0.762495,0
map,0.922598,-2.490249,-0.646986,0.762502,0
map,0.926670,-2.514916,-0.646978,0.762509,0
map,0.930740,-2.539583,-0.647009,0.762482,0
map,0.934808,-2.564249,-0.647045,0.762452,0
map,0.938873,-2.588917,-0.647091,0.762412,0
map,0.942935,-2.613584,-0.647165,0.762350,0
map,0.946991,-2.638253,-0.647343,0.762199,0
map,0.951030,-2.662925,-0.647684,0.761909,0
map,0.955042,-2.687601,-0.648529,0.761190,0
map,0.958971,-2.712290,-0.650173,0.759786,0
map,0.962769,-2.736999,-0.652212,0.758037,0
map,0.966433,-2.761730,-0.654308,0.756228,0
map,0.969957,-2.786480,-0.656874,0.754000,0
map,0.973284,-2.811258,-0.660356,0.750953,0
map,0.976350,-2.836069,-0.664312,0.747456,0
map,0.979153,-2.860911,-0.668367,0.743831,0
map,0.981678,-2.885783,-0.672575,0.740029,0
map,0.983917,-2.910683,-0.676926,0.736051,0
map,0.985856,-2.935608,-0.681458,0.731857,0
map,0.987479,-2.960555,-0.686253,0.727363,0
map,0.988761,-2.985522,-0.691020,0.722836,0
map,0.989728,-3.010503,-0.695356,0.718665,0
map,0.990409,-3.035494,-0.699358,0.714772,0
map,0.990818,-3.060491,-0.703095,0.711096,0
map,0.990975,-3.085490,-0.706545,0.707668,0
map,0.990897,-3.110490,-0.709662,0.704542,0
map,0.990613,-3.135489,-0.712345,0.701830,0
map,0.990154,-3.160484,-0.714411,0.699726,0
map,0.989575,-3.185478,-0.715846,0.698258,0
map,0.988910,-3.210469,-0.716643,0.697441,0
map,0.988217,-3.235459,-0.716893,0.697183,0
map,0.987517,-3.260449,-0.716781,0.697298,0
map,0.986839,-3.285440,-0.716453,0.697635,0
map,0.986186,-3.310431,-0.716137,0.697960,0
map,0.985554,-3.335424,-0.715836,0.698269,0
map,0.984944,-3.360416,-0.715545,0.698566,0
map,0.984354,-3.385409,-0.715268,0.698850,0
map,0.983783,-3.410403,-0.715004,0.699120,0
map,0.983231,-3.435396,-0.714750,0.699380,0
map,0.982696,-3.460391,-0.714510,0.699625,0
map,0.982178,-3.485386,-0.714281,0.699859,0
map,0.981677,-3.510381,-0.714062,0.700083,0
map,0.981190,-3.535376,-0.713853,0.700295,0
map,0.980718,-3.560371,-0.713653,0.700500,0
map,0.980260,-3.585367,-0.713463,0.700693,0
map,0.979815,-3.610364,-0.713284,0.700875,0
map,0.979382,-3.635360,-0.713113,0.701049,0
map,0.978962,-3.660356,-0.712952,0.701213,0
map,0.978552,-3.685353,-0.712800,0.701368,0
map,0.978154,-3.710349,-0.712655,0.701514,0
map,0.977765,-3.735346,-0.712521,0.701651,0
map,0.977385,-3.760344,-0.712393,0.701781,0
map,0.977014,-3.785341,-0.712272,0.701903,0
map,0.976652,-3.810338,-0.712163,0.702015,0
map,0.976297,-3.835335,-0.712061,0.702118,0
map,0.975949,-3.860333,-0.711964,0.702216,0
map,0.975607,-3.885331,-0.711873,0.702308,0
map,0.975272,-3.910329,-0.711796,0.702387,0
map,0.974942,-3.935326,-0.711750,0.702433,0
map,0.974614,-3.960324,-0.711726,0.702457,0
map,0.974287,-3.985322,-0.711707,0.702476,0
map,0.973961,-4.010320,-0.711694,0.702490,0
map,0.973636,-4.035318,-0.711683,0.702501,0
map,0.973312,-4.060316,-0.711680,0.702504,0
map,0.972987,-4.085314,-0.711683,0.702501,0
map,0.972662,-4.110312,-0.711686,0.702498,0
map,0.972337,-4.135310,-0.711696,0.702487,0
map,0.972011,-4.160307,-0.711715,0.702468,0
map,0.971684,-4.185305,-0.711734,0.702449,0
map,0.971355,-4.210303,-0.711758,0.702425,0
map,0.971024,-4.235301,-0.711790,0.702392,0
map,0.970690,-4.260299,-0.711825,0.702357,0
map,0.970354,-4.285296,-0.711863,0.702319,0
map,0.970015,-4.310294,-0.711905,0.702275,0
map,0.969673,-4.335292,-0.711956,0.702224,0
map,0.969327,-4.360290,-0.712010,0.702169,0
map,0.968977,-4.385287,-0.712066,0.702112,0
map,0.968623,-4.410285,-0.712130,0.702047,0
map,0.968264,-4.435282,-0.712197,0.701979,0
map,0.967901,-4.460279,-0.712267,0.701909,0
map,0.967532,-4.485277,-0.712345,0.701830,0
map,0.967157,-4.510273,-0.712428,0.701746,0
map,0.966777,-4.535271,-0.712513,0.701659,0
map,0.966390,-4.560267,-0.712604,0.701566,0
map,0.965996,-4.585265,-0.712701,0.701468,0
map,0.965596,-4.610261,-0.712802,0.701365,0
map,0.965188,-4.635258,-0.712907,0.701259,0
map,0.964772,-4.660254,-0.713016,0.701147,0
map,0.964348,-4.685251,-0.713134,0.701028,0
map,0.963916,-4.710248,-0.713254,0.700905,0
map,0.963475,-4.735243,-0.713377,0.700780,0
map,0.963025,-4.760239,-0.713508,0.700647,0
map,0.962566,-4.785235,-0.713647,0.700505,0
map,0.962096,-4.810231,-0.713789,0.700361,0
map,0.961616,-4.835227,-0.713939,0.700208,0
map,0.961125,-4.860221,-0.714091,0.700053,0
map,0.960624,-4.885216,-0.714248,0.699892,0
map,0.960110,-4.910211,-0.714414,0.699723,0
map,0.959585,-4.935206,-0.714582,0.699551,0
map,0.959047,-4.960200,-0.714758,0.699371,0
map,0.958497,-4.985194,-0.714942,0.699183,0
map,0.957933,-5.010188,-0.715132,0.698990,0
map,0.957356,-5.035181,-0.715324,0.698793,0
map,0.956764,-5.060174,-0.715527,0.698586,0
map,0.956158,-5.085166,-0.715737,0.698370,0
map,0.955536,-5.110158,-0.715950,0.698151,0
map,0.954899,-5.135151,-0.716171,0.697925,0
map,0.954246,-5.160141,-0.716400,0.697689,0
map,0.953576,-5.185133,-0.716635,0.697449,0
map,0.952890,-5.210124,-0.716879,0.697197,0
map,0.952185,-5.235114,-0.717132,0.696937,0
map,0.951462,-5.260103,-0.717390,0.696672,0
map,0.950720,-5.285092,-0.717658,0.696395,0
map,0.949959,-5.310081,-0.717935,0.696110,0
map,0.949177,-5.335068,-0.718219,0.695817,0
map,0.948375,-5.360055,-0.718511,0.695515,0
map,0.947551,-5.385042,-0.718811,0.695205,0
map,0.946706,-5.410027,-0.719121,0.694885,0
map,0.945837,-5.435013,-0.719442,0.694552,0
map,0.944946,-5.459997,-0.719768,0.694214,0
map,0.944031,-5.484980,-0.720107,0.693863,0
map,0.943091,-5.509963,-0.720454,0.693502,0
map,0.942125,-5.534943,-0.720812,0.693131,0
map,0.941134,-5.559924,-0.721182,0.692746,0
map,0.940115,-5.584903,-0.721560,0.692352,0
map,0.939069,-5.609881,-0.721949,0.691947,0
map,0.937994,-5.634858,-0.722350,0.691527,0
map,0.936890,-5.659833,-0.722764,0.691095,0
map,0.935755,-5.684808,-0.723189,0.690650,0
map,0.934590,-5.709781,-0.723627,0.690191,0
map,0.933392,-5.734752,-0.724075,0.689722,0
map,0.932161,-5.759722,-0.724538,0.689235,0
map,0.930896,-5.784690,-0.725012,0.688736,0
map,0.929597,-5.809656,-0.725499,0.688223,0
map,0.928261,-5.834620,-0.726003,0.687691,0
map,0.926889,-5.859582,-0.726518,0.687148,0
map,0.925478,-5.884543,-0.726875,0.686770,0
map,0.924054,-5.909503,-0.726977,0.686661,0
map,0.922629,-5.934461,-0.726988,0.686650,0
map,0.921203,-5.959421,-0.727001,0.686637,0
map,0.919776,-5.984380,-0.727014,0.686623,0
map,0.918348,-6.009339,-0.727022,0.686614,0
map,0.916920,-6.034298,-0.727030,0.686606,0
map,0.915491,-6.059258,-0.727038,0.686597,0
map,0.914061,-6.084216,-0.727043,0.686592,0
map,0.912632,-6.109176,-0.727045,0.686589,0
map,0.911202,-6.134135,-0.727048,0.686586,0
map,0.909772,-6.159093,-0.727051,0.686584,0
map,0.908342,-6.184053,-0.727051,0.686584,0
map,0.906912,-6.209012,-0.727053,0.686581,0
