cmd_vel_lin_x,cmd_vel_ang_z
0.231839,0.158024
0.287303,0.140818
0.380293,0.102717
0.431772,0.079645
0.491633,-0.064395
0.500000,0.005678
0.500000,-0.021564
0.500000,-0.011994
0.500000,0.013203
0.500000,0.073994
0.500000,0.058999
0.500000,0.033055
0.500000,0.023891
0.500000,0.018339
0.500000,-0.048411
0.500000,-0.056422
0.500000,-0.019287
0.500000,0.009386
0.500000,-0.000853
0.500000,-0.028945
0.500000,-0.011202
0.500000,0.013147
0.500000,0.029076
0.500000,0.027333
0.500000,0.035102
0.500000,0.025087
0.500000,0.016976
0.500000,0.059971
0.500000,0.045059
0.500000,-0.037103
0.500000,-0.050241
0.500000,0.006800
0.500000,-0.030616
0.500000,0.010545
0.500000,0.023412
0.500000,0.024847
0.500000,0.021204
0.500000,0.021113
0.500000,0.018297
0.500000,0.000040
0.500000,-0.004351
0.500000,0.025251
0.500000,0.108394
0.500000,0.178811
0.500000,0.219605
0.500000,0.274132
0.500000,0.264251
0.500000,0.266573
0.500000,0.237605
0.500000,0.219808
0.500000,0.236196
0.500000,0.284974
0.500000,0.316962
0.500000,0.149952
0.500000,0.014794
0.500000,0.031186
0.500000,-0.036482
0.500000,-0.087652
0.500000,-0.248186
0.500000,-0.354052
0.500000,-0.368554
0.500000,-0.340639
0.500000,-0.334034
0.500000,-0.269629
0.500000,-0.293737
0.500000,-0.237402
0.500000,-0.261480
0.500000,-0.248895
0.500000,-0.216295
0.500000,-0.042857
0.500000,-0.242610
0.500000,-0.185186
0.500000,-0.001933
0.500000,-0.082227
0.500000,0.107845
0.500000,-0.099285
0.500000,-0.003182
0.500000,0.152010
0.500000,0.149796
0.500000,-0.019828
0.500000,-0.149877
0.500000,-0.294869
0.500000,-0.267250
0.500000,-0.201976
0.500000,-0.032757
0.500000,0.089238
0.500000,0.052460
0.500000,-0.021814
0.500000,-0.039305
0.500000,0.016720
0.500000,-0.095218
0.500000,-0.017469
0.500000,0.008749
0.500000,0.016636
0.500000,0.011016
0.500000,0.036708
0.500000,0.029560
0.500000,-0.071862
0.500000,0.001283
0.500000,0.022920
0.500000,0.003274
0.500000,-0.032885
0.500000,-0.018979
0.500000,-0.025607
0.500000,0.015737
0.500000,0.007204
0.500000,0.006775
0.500000,-0.021806
0.500000,-0.008363
0.500000,0.014845
0.500000,0.027402
0.500000,-0.020693
0.500000,-0.005517
0.500000,-0.033822
0.500000,-0.112694
0.500000,-0.100601
0.500000,-0.024754
0.500000,-0.015722
0.500000,-0.021727
0.500000,0.060990
0.500000,0.041008
0.500000,-0.019266
0.500000,-0.009407
0.500000,-0.008965
0.500000,-0.001541
0.500000,0.044240
0.500000,0.011270
0.500000,-0.037821
0.500000,-0.033212
0.500000,0.062058
0.500000,0.062297
0.500000,0.013530
0.500000,-0.007637
0.500000,0.000840
0.500000,0.018794
0.500000,0.002606
0.500000,-0.047926
0.500000,0.013120
0.500000,0.009205
0.500000,0.014954
0.500000,0.020746
0.500000,0.008636
0.500000,-0.009879
0.500000,-0.020004
0.500000,-0.125334
0.500000,-0.016414
0.500000,-0.078763
0.500000,0.051200
0.500000,0.046940
0.500000,0.103227
0.500000,0.099197
0.500000,0.001080
0.500000,-0.012116
0.500000,-0.020231
0.500000,-0.027162
0.500000,-0.013532
0.500000,-0.014629
0.500000,0.005214
0.500000,-0.031197
0.500000,0.075649
0.500000,0.059143
0.500000,0.022285
0.500000,-0.020078
0.500000,-0.029020
0.500000,-0.102390
0.500000,-0.098904
0.500000,-0.044856
0.500000,0.002002
0.500000,-0.018934
0.500000,0.055554
0.500000,0.032461
0.500000,0.002821
0.500000,-0.015763
0.500000,-0.019932
0.500000,0.050436
0.500000,0.018343
0.500000,-0.002783
0.500000,-0.019175
0.500000,0.001246
0.500000,-0.123174
0.500000,-0.097705
0.500000,-0.059573
0.500000,-0.002369
0.500000,0.017644
0.500000,0.065575
0.500000,0.008911
0.500000,0.007498
0.500000,-0.027303
0.500000,-0.038174
0.500000,0.064208
0.500000,0.043583
0.500000,-0.005150
0.500000,-0.012000
0.500000,-0.032969
0.500000,0.046293
0.500000,-0.065082
0.500000,0.038567
0.500000,0.014950
0.500000,-0.033743
0.500000,-0.012802
0.500000,-0.009384
0.500000,-0.015500
0.500000,-0.015881
0.500000,0.016438
0.500000,-0.023338
0.500000,-0.010985
0.500000,-0.011545
0.500000,-0.019605
0.500000,-0.039785
0.500000,0.062197
0.500000,-0.050878
0.500000,0.034194
0.500000,-0.078582
0.500000,0.026250
0.500000,0.093107
0.500000,0.060485
0.500000,-0.007179
0.500000,0.000091
0.500000,-0.001701
0.500000,0.018688
0.500000,0.003222
0.500000,-0.012850
0.500000,-0.005933
0.500000,-0.021897
0.500000,-0.049316
0.500000,-0.078247
0.500000,-0.005400
0.500000,-0.021385
0.500000,-0.036781
0.500000,0.007193
0.500000,-0.009068
0.500000,-0.035508
0.500000,-0.020505
0.500000,-0.007480
0.500000,-0.019956
0.500000,-0.034287
0.500000,-0.036266
0.500000,0.016008
0.500000,0.008045
0.500000,0.006000
0.500000,-0.001086
0.500000,-0.057736
0.500000,-0.029746
0.500000,-0.019244
0.500000,-0.024166
0.500000,-0.005446
0.500000,0.031053
0.500000,0.002296
0.500000,-0.000348
0.500000,-0.005401
0.496966,0.004835
0.483424,0.044740
0.462869,0.028534
0.438303,-0.009826
0.414761,0.002685
0.395419,0.016875
0.353607,0.009685
0.324631,0.004730
0.295559,0.011862
0.000000,0.000000
0.000000,0.000000
