frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID


odom,0.748733,-11.779713,-0.736194,0.676770,2
odom,0.746448,-11.793200,-0.795748,0.605628,2
odom,0.750274,-11.783129,-0.842395,0.538860,2
odom,0.750778,-11.782498,-0.886052,0.463587,2
odom,0.751408,-11.781897,-0.922405,0.386224,2
odom,0.752150,-11.781366,-0.953170,0.302434,2
odom,0.752977,-11.780944,-0.975991,0.217809,2
odom,0.753857,-11.780661,-0.992498,0.122264,2
odom,0.754739,-11.780528,-0.999547,0.030099,2
odom,0.755576,-11.780526,0.998728,0.050423,2
odom,0.756340,-11.780628,0.991647,0.128985,2
odom,0.757008,-11.780810,0.977428,0.211268,2
odom,0.757563,-11.781038,0.957836,0.287315,2
odom,0.758006,-11.781280,0.932997,0.359884,2
odom,0.756098,-11.779136,0.904943,0.425533,2
odom,0.740921,-11.757651,0.871548,0.490310,2
odom,0.720690,-11.718407,0.836381,0.548149,2
odom,0.700253,-11.665596,0.813976,0.580898,2
odom,0.683536,-11.614151,0.804886,0.593430,2
odom,0.665051,-11.553723,0.803565,0.595217,2
odom,0.631678,-11.452581,0.817371,0.576111,2
odom,0.604909,-11.380836,0.825908,0.563805,2
odom,0.572854,-11.302303,0.834464,0.551062,2
odom,0.536873,-11.219132,0.837397,0.546596,2
odom,0.497491,-11.130208,0.839142,0.543912,2
odom,0.455790,-11.037544,0.840616,0.541632,2
odom,0.413123,-10.943993,0.841847,0.539716,2
odom,0.369365,-10.849077,0.842806,0.538218,2
odom,0.324803,-10.753281,0.843670,0.536862,2
odom,0.280129,-10.658642,0.845828,0.533456,2
odom,0.234525,-10.566544,0.853587,0.520950,2
odom,0.186978,-10.477901,0.862775,0.505587,2
odom,0.139869,-10.397937,0.873804,0.486279,2
odom,0.090975,-10.325873,0.893289,0.449482,2
odom,0.048805,-10.274050,0.912847,0.408303,2
odom,0.013011,-10.236287,0.924847,0.380340,2

odom,0.748583,-11.781446,-0.738257,0.674520,3
odom,0.748872,-11.780446,-0.774215,0.632923,3
odom,0.749307,-11.779362,-0.817647,0.575721,3
odom,0.749928,-11.778230,-0.858514,0.512790,3
odom,0.750749,-11.777107,-0.895507,0.445048,3
odom,0.751762,-11.776052,-0.927577,0.373633,3
odom,0.752944,-11.775122,-0.954268,0.298952,3
odom,0.754251,-11.774359,-0.974940,0.222467,3
odom,0.755630,-11.773791,-0.989503,0.144509,3
odom,0.757022,-11.773429,-0.997700,0.067790,3
odom,0.758372,-11.773256,0.999984,0.005587,3
odom,0.759638,-11.773243,0.997154,0.075387,3
odom,0.760793,-11.773355,0.989993,0.141118,3
odom,0.746918,-11.768013,0.977535,0.210772,3
odom,0.720027,-11.753018,0.958268,0.285871,3
odom,0.679666,-11.721730,0.933877,0.357594,3
odom,0.632512,-11.672629,0.905966,0.423350,3
odom,0.585673,-11.608147,0.876048,0.482224,3
odom,0.545318,-11.534916,0.846212,0.532847,3
odom,0.511364,-11.454720,0.821569,0.570109,3
odom,0.481646,-11.367463,0.805372,0.592769,3
odom,0.452176,-11.268074,0.797942,0.602735,3
odom,0.419838,-11.156517,0.801638,0.597809,3
