frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID
map,-3.310821,-5.268409,0.897301,0.441420,44
map,-3.326072,-5.248599,0.899960,0.435972,44
map,-3.341811,-5.229176,0.904731,0.425984,44
map,-3.357924,-5.210061,0.906521,0.422160,44
map,-3.373990,-5.190907,0.908418,0.418064,44
map,-3.390444,-5.172085,0.912191,0.409766,44
map,-3.407198,-5.153529,0.913407,0.407047,44
map,-3.423876,-5.134905,0.914543,0.404489,44
map,-3.440835,-5.116538,0.915619,0.402046,44
map,-3.457711,-5.098094,0.916257,0.400591,44
map,-3.474788,-5.079834,0.918478,0.395472,44
map,-3.492071,-5.061770,0.919161,0.393882,44
map,-3.509274,-5.043630,0.919594,0.392870,44
