frame,local_costmap_resolution,local_costmap_width,local_costmap_height,local_costmap_origin_pos_x,local_costmap_origin_pos_y,local_costmap_origin_orientation_z,local_costmap_origin_orientation_w
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.825000,-5.600000,0.000000,1.000000
odom,0.025000,160,160,-5.350000,-5.625000,0.000000,1.000000
odom,0.025000,160,160,-5.350000,-5.625000,0.000000,1.000000
odom,0.025000,160,160,-5.350000,-5.625000,0.000000,1.000000
odom,0.025000,160,160,-5.350000,-5.625000,0.000000,1.000000
odom,0.025000,160,160,-5.350000,-5.625000,0.000000,1.000000
odom,0.025000,160,160,-5.350000,-5.625000,0.000000,1.000000
odom,0.025000,160,160,-5.350000,-5.625000,0.000000,1.000000
odom,0.025000,160,160,-5.350000,-5.625000,0.000000,1.000000
odom,0.025000,160,160,-5.350000,-5.625000,0.000000,1.000000
odom,0.025000,160,160,-5.350000,-5.625000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.875000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,-4.325000,-5.275000,0.000000,1.000000
odom,0.025000,160,160,-4.325000,-5.275000,0.000000,1.000000
odom,0.025000,160,160,-4.325000,-5.275000,0.000000,1.000000
odom,0.025000,160,160,-4.325000,-5.275000,0.000000,1.000000
odom,0.025000,160,160,-4.325000,-5.275000,0.000000,1.000000
odom,0.025000,160,160,-4.325000,-5.275000,0.000000,1.000000
odom,0.025000,160,160,-4.325000,-5.275000,0.000000,1.000000
odom,0.025000,160,160,-4.325000,-5.275000,0.000000,1.000000
odom,0.025000,160,160,-4.325000,-5.275000,0.000000,1.000000
odom,0.025000,160,160,-4.325000,-5.275000,0.000000,1.000000
odom,0.025000,160,160,-3.925000,-4.975000,0.000000,1.000000
odom,0.025000,160,160,-3.925000,-4.975000,0.000000,1.000000
odom,0.025000,160,160,-3.925000,-4.975000,0.000000,1.000000
odom,0.025000,160,160,-3.925000,-4.975000,0.000000,1.000000
odom,0.025000,160,160,-3.925000,-4.975000,0.000000,1.000000
odom,0.025000,160,160,-3.925000,-4.975000,0.000000,1.000000
odom,0.025000,160,160,-3.925000,-4.975000,0.000000,1.000000
odom,0.025000,160,160,-3.925000,-4.975000,0.000000,1.000000
odom,0.025000,160,160,-3.925000,-4.975000,0.000000,1.000000
odom,0.025000,160,160,-3.925000,-4.975000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.550000,-4.650000,0.000000,1.000000
odom,0.025000,160,160,-3.200000,-4.175000,0.000000,1.000000
odom,0.025000,160,160,-3.200000,-4.175000,0.000000,1.000000
odom,0.025000,160,160,-3.200000,-4.175000,0.000000,1.000000
odom,0.025000,160,160,-3.200000,-4.175000,0.000000,1.000000
