frame,child_frame,odom_position_x,odom_position_y,odom_orientation_z,odom_orientation_w,odom_linear_x,odom_angular_z
/odom,/base_footprint,-3.821083,-3.623726,-0.069984,0.997548,0.000010,-0.000126
/odom,/base_footprint,-3.821081,-3.623727,-0.069991,0.997548,-0.000016,0.000080
/odom,/base_footprint,-3.819492,-3.623948,-0.068446,0.997655,0.048538,0.099777
/odom,/base_footprint,-3.812721,-3.624833,-0.061554,0.998104,0.115510,0.216758
/odom,/base_footprint,-3.784760,-3.627752,-0.045070,0.998984,0.267373,0.205609
/odom,/base_footprint,-3.759881,-3.629776,-0.036216,0.999344,0.347178,0.232673
/odom,/base_footprint,-3.730016,-3.631663,-0.027321,0.999627,0.401880,0.204719
/odom,/base_footprint,-3.667165,-3.634247,-0.015250,0.999884,0.488025,0.132996
/odom,/base_footprint,-3.627489,-3.635271,-0.011159,0.999938,0.501215,0.067946
/odom,/base_footprint,-3.587344,-3.636071,-0.009137,0.999958,0.500885,0.018518
/odom,/base_footprint,-3.517446,-3.637335,-0.009485,0.999955,0.500500,-0.021567
/odom,/base_footprint,-3.477397,-3.638116,-0.009846,0.999952,0.500240,-0.002251
/odom,/base_footprint,-3.417456,-3.639226,-0.006990,0.999976,0.499754,0.142957
/odom,/base_footprint,-3.377453,-3.639450,0.002488,0.999997,0.500033,0.309859
/odom,/base_footprint,-3.317501,-3.637879,0.025423,0.999677,0.499777,0.476456
/odom,/base_footprint,-3.267647,-3.634101,0.050259,0.998736,0.500149,0.499253
/odom,/base_footprint,-3.218035,-3.627841,0.075177,0.997170,0.500007,0.499498
/odom,/base_footprint,-3.178608,-3.621090,0.093352,0.995633,0.500163,0.392884
/odom,/base_footprint,-3.139386,-3.613138,0.105229,0.994448,0.500276,0.226455
/odom,/base_footprint,-3.071041,-3.597908,0.110872,0.993835,0.500079,0.002455
/odom,/base_footprint,-3.032036,-3.589059,0.112552,0.993646,0.499816,0.103741
/odom,/base_footprint,-2.973726,-3.575024,0.123939,0.992290,0.500039,0.211315
/odom,/base_footprint,-2.935041,-3.564827,0.133880,0.990998,0.499974,0.312181
/odom,/base_footprint,-2.877571,-3.547652,0.154985,0.987917,0.500194,0.319515
/odom,/base_footprint,-2.830205,-3.531588,0.170501,0.985357,0.499999,0.313130
/odom,/base_footprint,-2.792727,-3.517652,0.184409,0.982850,0.499762,0.414894
/odom,/base_footprint,-2.737400,-3.494456,0.209405,0.977829,0.500198,0.403124
/odom,/base_footprint,-2.692162,-3.473129,0.226158,0.974091,0.500177,0.257945
/odom,/base_footprint,-2.647549,-3.450541,0.238673,0.971100,0.499930,0.275254
/odom,/base_footprint,-2.612302,-3.431640,0.247798,0.968812,0.500041,0.173689
/odom,/base_footprint,-2.577305,-3.412235,0.252577,0.967577,0.500193,0.081479
/odom,/base_footprint,-2.516423,-3.377699,0.258166,0.966101,0.499906,0.098338
/odom,/base_footprint,-2.481851,-3.357584,0.263515,0.964655,0.499958,0.200031
/odom,/base_footprint,-2.430660,-3.326319,0.277086,0.960845,0.500116,0.165648
/odom,/base_footprint,-2.388490,-3.299405,0.282505,0.959266,0.500186,0.077097
/odom,/base_footprint,-2.354949,-3.277623,0.285574,0.958357,0.499824,0.081991
/odom,/base_footprint,-2.304902,-3.244528,0.290518,0.956870,0.500075,0.088749
/odom,/base_footprint,-2.263431,-3.216592,0.292923,0.956136,0.500085,0.020496
/odom,/base_footprint,-2.230329,-3.194136,0.294875,0.955536,0.499910,0.079554
/odom,/base_footprint,-2.180921,-3.160101,0.298990,0.954256,0.500062,0.064227
/odom,/base_footprint,-2.148111,-3.137210,0.300377,0.953820,0.500088,0.013031
/odom,/base_footprint,-2.099000,-3.102752,0.302711,0.953083,0.499882,0.069533
/odom,/base_footprint,-2.058234,-3.073795,0.304630,0.952471,0.500140,0.019849
/odom,/base_footprint,-2.017548,-3.044729,0.305874,0.952072,0.499895,0.028476
/odom,/base_footprint,-1.985073,-3.021387,0.307526,0.951540,0.499970,0.054505
/odom,/base_footprint,-1.936517,-2.986132,0.309888,0.950773,0.500032,0.030839
/odom,/base_footprint,-1.904248,-2.962500,0.312210,0.950013,0.499877,0.088625
/odom,/base_footprint,-1.856134,-2.926658,0.317029,0.948416,0.500098,0.080193
/odom,/base_footprint,-1.816329,-2.896404,0.321801,0.946808,0.499904,0.111440
/odom,/base_footprint,-1.784726,-2.871887,0.326112,0.945331,0.500024,0.115417
/odom,/base_footprint,-1.745515,-2.840852,0.330287,0.943880,0.500120,0.048323
/odom,/base_footprint,-1.698754,-2.803264,0.335085,0.942188,0.499806,0.135960
/odom,/base_footprint,-1.667903,-2.777821,0.341683,0.939815,0.499877,0.235268
/odom,/base_footprint,-1.637518,-2.751813,0.351472,0.936198,0.499995,0.252505
/odom,/base_footprint,-1.585666,-2.704792,0.369529,0.929219,0.499887,0.315546
