frame,plan_position_x,plan_position_y,plan_orientation_z,plan_orientation_w,ID

map,-3.770957,-3.665939,-0.229033,0.973419,1
map,-3.745748,-3.678497,-0.117460,0.993078,1
map,-3.720753,-3.677984,0.010926,0.999940,1
map,-3.695760,-3.677405,0.008552,0.999963,1
map,-3.670761,-3.677129,0.005673,0.999984,1
map,-3.645763,-3.676837,0.004658,0.999989,1
map,-3.620764,-3.676663,0.003534,0.999994,1
map,-3.595764,-3.676484,0.003018,0.999995,1
map,-3.570765,-3.676361,0.002474,0.999997,1
map,-3.545765,-3.676237,0.002184,0.999998,1
map,-3.520765,-3.676143,0.001887,0.999998,1
map,-3.495765,-3.676048,0.001716,0.999999,1
map,-3.470765,-3.675971,0.001542,0.999999,1
map,-3.445765,-3.675894,0.001558,0.999999,1
map,-3.420766,-3.675815,0.001528,0.999999,1
map,-3.395766,-3.675741,0.001353,0.999999,1
map,-3.370766,-3.675680,0.001190,0.999999,1
map,-3.345766,-3.675622,0.001065,0.999999,1
map,-3.320766,-3.675573,0.000947,1.000000,1
map,-3.295766,-3.675527,0.000853,1.000000,1
map,-3.270766,-3.675488,0.000765,1.000000,1
map,-3.245766,-3.675451,0.000694,1.000000,1
map,-3.220766,-3.675419,0.000627,1.000000,1
map,-3.195766,-3.675388,0.000571,1.000000,1
map,-3.170766,-3.675362,0.000519,1.000000,1
map,-3.145766,-3.675336,0.000477,1.000000,1
map,-3.120766,-3.675314,0.000436,1.000000,1
map,-3.095766,-3.675293,0.000401,1.000000,1
map,-3.070766,-3.675274,0.000368,1.000000,1
map,-3.045766,-3.675256,0.000340,1.000000,1
map,-3.020766,-3.675240,0.000314,1.000000,1
map,-2.995766,-3.675225,0.000290,1.000000,1
map,-2.970766,-3.675211,0.000268,1.000000,1
map,-2.945766,-3.675198,0.000249,1.000000,1
map,-2.920766,-3.675186,0.000232,1.000000,1
map,-2.895766,-3.675174,0.000216,1.000000,1
map,-2.870766,-3.675164,0.000200,1.000000,1
map,-2.845766,-3.675154,0.000187,1.000000,1
map,-2.820766,-3.675146,0.000174,1.000000,1
map,-2.795766,-3.675137,0.000162,1.000000,1
map,-2.770766,-3.675129,0.000153,1.000000,1
map,-2.745766,-3.675122,0.000143,1.000000,1
map,-2.720766,-3.675115,0.000134,1.000000,1
map,-2.695766,-3.675108,0.000125,1.000000,1
map,-2.670766,-3.675103,0.000117,1.000000,1
map,-2.645766,-3.675097,0.000111,1.000000,1
map,-2.620766,-3.675092,0.000103,1.000000,1
map,-2.595766,-3.675086,0.000097,1.000000,1
map,-2.570766,-3.675082,0.000093,1.000000,1
map,-2.545766,-3.675077,0.000088,1.000000,1
map,-2.520766,-3.675073,0.000082,1.000000,1
map,-2.495766,-3.675069,0.000076,1.000000,1
map,-2.470766,-3.675066,0.000072,1.000000,1
map,-2.445766,-3.675062,0.000068,1.000000,1
map,-2.420766,-3.675059,0.000063,1.000000,1
map,-2.395766,-3.675056,0.000061,1.000000,1
map,-2.370766,-3.675053,0.000058,1.000000,1
map,-2.345766,-3.675050,0.000053,1.000000,1
map,-2.320766,-3.675047,0.000051,1.000000,1
map,-2.295766,-3.675045,0.000049,1.000000,1
map,-2.270766,-3.675042,0.000046,1.000000,1
map,-2.245766,-3.675040,0.000043,1.000000,1
map,-2.220766,-3.675038,0.000041,1.000000,1
map,-2.195766,-3.675036,0.000039,1.000000,1
map,-2.170766,-3.675034,0.000036,1.000000,1
map,-2.145766,-3.675032,0.000035,1.000000,1
map,-2.120766,-3.675031,0.000033,1.000000,1
map,-2.095766,-3.675029,0.000031,1.000000,1
map,-2.070766,-3.675027,0.000030,1.000000,1
map,-2.045766,-3.675026,0.000028,1.000000,1
map,-2.020766,-3.675025,0.000026,1.000000,1
map,-1.995766,-3.675024,0.000025,1.000000,1
map,-1.970766,-3.675022,0.000024,1.000000,1
map,-1.945766,-3.675021,0.000022,1.000000,1
map,-1.920766,-3.675020,0.000021,1.000000,1
map,-1.895766,-3.675019,0.000020,1.000000,1
map,-1.870766,-3.675018,0.000019,1.000000,1
map,-1.845766,-3.675017,0.000018,1.000000,1
map,-1.820766,-3.675016,0.000017,1.000000,1
map,-1.795766,-3.675015,0.000016,1.000000,1
map,-1.770766,-3.675014,0.000015,1.000000,1
map,-1.745766,-3.675014,0.000014,1.000000,1
map,-1.720766,-3.675013,0.000013,1.000000,1
map,-1.695766,-3.675013,0.000012,1.000000,1
map,-1.670766,-3.675012,0.000012,1.000000,1
map,-1.645766,-3.675011,0.000012,1.000000,1
map,-1.620766,-3.675011,0.000010,1.000000,1
map,-1.595766,-3.675010,0.000010,1.000000,1
map,-1.570766,-3.675010,0.000010,1.000000,1
map,-1.545766,-3.675009,0.000009,1.000000,1
map,-1.520766,-3.675009,0.000009,1.000000,1
map,-1.495766,-3.675008,0.000009,1.000000,1
map,-1.470766,-3.675008,0.000008,1.000000,1
map,-1.445766,-3.675008,0.000008,1.000000,1
map,-1.420766,-3.675007,0.000008,1.000000,1
