frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID


odom,-3.818279,-3.624114,-0.067156,0.997742,2
odom,-3.716061,-3.631925,-0.009084,0.999959,2
odom,-3.634559,-3.633024,-0.004382,0.999990,2
odom,-3.550265,-3.634271,-0.010392,0.999946,2
odom,-3.461277,-3.636321,-0.012637,0.999920,2
odom,-3.367529,-3.638486,-0.010457,0.999945,2
odom,-3.267865,-3.640659,-0.011341,0.999936,2
odom,-3.160118,-3.643063,-0.010961,0.999940,2
odom,-3.051275,-3.645453,-0.010992,0.999940,2
odom,-2.942469,-3.647866,-0.011184,0.999937,2
odom,-2.833821,-3.650258,-0.010820,0.999941,2
odom,-2.727796,-3.652522,-0.010541,0.999944,2
odom,-2.626149,-3.654674,-0.010624,0.999944,2
odom,-2.531426,-3.656677,-0.010523,0.999945,2
odom,-2.441727,-3.658562,-0.010488,0.999945,2
odom,-2.356437,-3.660339,-0.010346,0.999946,2
odom,-2.275754,-3.662019,-0.010471,0.999945,2
odom,-2.196950,-3.663667,-0.010440,0.999946,2
odom,-2.096378,-3.665673,-0.009499,0.999955,2

odom,-3.818279,-3.624114,-0.067156,0.997742,3
odom,-3.716061,-3.631925,-0.009084,0.999959,3
odom,-3.634559,-3.633024,-0.004382,0.999990,3
odom,-3.550265,-3.634271,-0.010392,0.999946,3
odom,-3.461277,-3.636321,-0.012637,0.999920,3
odom,-3.367529,-3.638486,-0.010457,0.999945,3
odom,-3.267865,-3.640659,-0.011341,0.999936,3
odom,-3.160118,-3.643063,-0.010961,0.999940,3
odom,-3.051275,-3.645453,-0.010992,0.999940,3
odom,-2.942469,-3.647866,-0.011184,0.999937,3
odom,-2.833821,-3.650258,-0.010820,0.999941,3
odom,-2.727796,-3.652522,-0.010541,0.999944,3
odom,-2.626149,-3.654674,-0.010624,0.999944,3
odom,-2.531426,-3.656677,-0.010523,0.999945,3
odom,-2.441727,-3.658562,-0.010488,0.999945,3
odom,-2.356437,-3.660339,-0.010346,0.999946,3
odom,-2.275754,-3.662019,-0.010471,0.999945,3
odom,-2.196950,-3.663667,-0.010440,0.999946,3
odom,-2.096378,-3.665673,-0.009499,0.999955,3

odom,-3.806926,-3.625521,-0.056752,0.998388,4
odom,-3.655801,-3.635761,-0.011175,0.999938,4
odom,-3.530203,-3.639438,-0.018147,0.999835,4
odom,-3.396066,-3.645338,-0.025744,0.999669,4
odom,-3.247920,-3.652122,-0.020021,0.999800,4
odom,-3.085732,-3.657330,-0.011956,0.999929,4
odom,-2.923788,-3.659291,-0.000376,1.000000,4
odom,-2.792291,-3.658772,0.003170,0.999995,4
odom,-2.662964,-3.658525,-0.001304,0.999999,4
odom,-2.544992,-3.659234,-0.004870,0.999988,4
odom,-2.435747,-3.660479,-0.006650,0.999978,4
odom,-2.333233,-3.661880,-0.007126,0.999975,4
odom,-2.233757,-3.663316,-0.007407,0.999973,4
odom,-2.096378,-3.665673,-0.009499,0.999955,4

odom,-3.784760,-3.627752,-0.045070,0.998984,5
odom,-3.672092,-3.633870,-0.009200,0.999958,5
odom,-3.570133,-3.635171,-0.003556,0.999994,5
