frame,amcl_position_x,amcl_position_y,amcl_orientation_z,amcl_orientation_w
map,-2.509946,-11.302622,-0.561619,0.827396
map,-2.509946,-11.302622,-0.561619,0.827396
map,-2.509946,-11.302622,-0.561619,0.827396
map,-2.509946,-11.302622,-0.561619,0.827396
map,-2.415234,-11.483399,-0.478816,0.877915
map,-2.415234,-11.483399,-0.478816,0.877915
map,-2.415234,-11.483399,-0.478816,0.877915
map,-2.415234,-11.483399,-0.478816,0.877915
map,-2.307377,-11.622655,-0.383845,0.923397
map,-2.307377,-11.622655,-0.383845,0.923397
map,-2.307377,-11.622655,-0.383845,0.923397
map,-2.307377,-11.622655,-0.383845,0.923397
map,-2.159501,-11.742454,-0.282452,0.959282
map,-2.159501,-11.742454,-0.282452,0.959282
map,-2.159501,-11.742454,-0.282452,0.959282
map,-2.159501,-11.742454,-0.282452,0.959282
map,-1.979573,-11.830447,-0.181831,0.983330
map,-1.979573,-11.830447,-0.181831,0.983330
map,-1.979573,-11.830447,-0.181831,0.983330
map,-1.979573,-11.830447,-0.181831,0.983330
map,-1.796612,-11.882558,-0.081856,0.996644
map,-1.796612,-11.882558,-0.081856,0.996644
map,-1.796612,-11.882558,-0.081856,0.996644
map,-1.796612,-11.882558,-0.081856,0.996644
map,-1.597034,-11.896492,0.012669,0.999920
map,-1.597034,-11.896492,0.012669,0.999920
map,-1.597034,-11.896492,0.012669,0.999920
map,-1.597034,-11.896492,0.012669,0.999920
map,-1.597034,-11.896492,0.012669,0.999920
map,-1.363387,-11.879502,0.057357,0.998354
map,-1.363387,-11.879502,0.057357,0.998354
map,-1.363387,-11.879502,0.057357,0.998354
map,-1.363387,-11.879502,0.057357,0.998354
map,-1.363387,-11.879502,0.057357,0.998354
map,-1.154275,-11.861603,0.026991,0.999636
map,-1.154275,-11.861603,0.026991,0.999636
map,-1.154275,-11.861603,0.026991,0.999636
map,-1.154275,-11.861603,0.026991,0.999636
map,-1.154275,-11.861603,0.026991,0.999636
map,-0.979944,-11.867302,-0.067018,0.997752
map,-0.979944,-11.867302,-0.067018,0.997752
map,-0.979944,-11.867302,-0.067018,0.997752
map,-0.979944,-11.867302,-0.067018,0.997752
map,-0.883592,-11.890325,-0.167570,0.985860
map,-0.883592,-11.890325,-0.167570,0.985860
map,-0.883592,-11.890325,-0.167570,0.985860
map,-0.883592,-11.890325,-0.167570,0.985860
map,-0.829539,-11.915805,-0.267303,0.963612
map,-0.829539,-11.915805,-0.267303,0.963612
map,-0.829539,-11.915805,-0.267303,0.963612
map,-0.829539,-11.915805,-0.267303,0.963612
map,-0.806971,-11.927333,-0.364148,0.931341
map,-0.806971,-11.927333,-0.364148,0.931341
map,-0.806971,-11.927333,-0.364148,0.931341
map,-0.806971,-11.927333,-0.364148,0.931341
map,-0.805675,-11.930891,-0.454944,0.890520
map,-0.805675,-11.930891,-0.454944,0.890520
map,-0.805675,-11.930891,-0.454944,0.890520
map,-0.805675,-11.930891,-0.454944,0.890520
map,-0.803424,-11.936054,-0.544575,0.838712
map,-0.803424,-11.936054,-0.544575,0.838712
map,-0.803424,-11.936054,-0.544575,0.838712
map,-0.803424,-11.936054,-0.544575,0.838712
map,-0.813105,-11.913399,-0.627670,0.778479
map,-0.813105,-11.913399,-0.627670,0.778479
map,-0.813105,-11.913399,-0.627670,0.778479
map,-0.813105,-11.913399,-0.627670,0.778479
