frame,child_frame,odom_position_x,odom_position_y,odom_orientation_z,odom_orientation_w,odom_linear_x,odom_angular_z
/odom,/base_footprint,-2.512830,-10.341093,-0.618462,0.785815,0.500142,-0.351623
/odom,/base_footprint,-2.499914,-10.399686,-0.633382,0.773839,0.499773,-0.268569
/odom,/base_footprint,-2.492409,-10.438958,-0.640857,0.767660,0.499868,-0.218249
/odom,/base_footprint,-2.482443,-10.498128,-0.650452,0.759548,0.500038,-0.205286
/odom,/base_footprint,-2.475311,-10.547622,-0.659738,0.751496,0.500164,-0.292768
/odom,/base_footprint,-2.470619,-10.587354,-0.669264,0.743025,0.500118,-0.342320
/odom,/base_footprint,-2.466998,-10.627186,-0.679156,0.733994,0.499877,-0.302761
/odom,/base_footprint,-2.462999,-10.697070,-0.694581,0.719415,0.500244,-0.333300
/odom,/base_footprint,-2.462103,-10.737064,-0.703162,0.711030,0.499823,-0.248008
/odom,/base_footprint,-2.462109,-10.787041,-0.710414,0.703784,0.499863,-0.135083
/odom,/base_footprint,-2.462758,-10.837029,-0.712769,0.701399,0.499973,-0.076972
/odom,/base_footprint,-2.463950,-10.897018,-0.714331,0.699808,0.499852,0.053945
/odom,/base_footprint,-2.464665,-10.946989,-0.709273,0.704934,0.499899,0.177176
/odom,/base_footprint,-2.464659,-10.986998,-0.705324,0.708885,0.500352,0.097847
/odom,/base_footprint,-2.464063,-11.047002,-0.702183,0.711996,0.499931,0.058077
/odom,/base_footprint,-2.463586,-11.076994,-0.700492,0.713660,0.499977,0.113997
/odom,/base_footprint,-2.461576,-11.146953,-0.691939,0.721956,0.499809,0.270104
/odom,/base_footprint,-2.459370,-11.186877,-0.682303,0.731070,0.499868,0.356724
/odom,/base_footprint,-2.453915,-11.246319,-0.664442,0.747340,0.495855,0.494914
/odom,/base_footprint,-2.449958,-11.275914,-0.652676,0.757637,0.499175,0.524398
/odom,/base_footprint,-2.441341,-11.324747,-0.632579,0.774496,0.488553,0.526225
/odom,/base_footprint,-2.427939,-11.381389,-0.608088,0.793870,0.479845,0.511396
/odom,/base_footprint,-2.417107,-11.418481,-0.591560,0.806261,0.488490,0.525358
/odom,/base_footprint,-2.393925,-11.483657,-0.561687,0.827350,0.499404,0.517690
/odom,/base_footprint,-2.378400,-11.520505,-0.544309,0.838885,0.500331,0.523954
/odom,/base_footprint,-2.352708,-11.573705,-0.519785,0.854297,0.486056,0.393866
/odom,/base_footprint,-2.334780,-11.607164,-0.507095,0.861890,0.459113,0.410896
/odom,/base_footprint,-2.316488,-11.638664,-0.489872,0.871795,0.449332,0.539567
/odom,/base_footprint,-2.281913,-11.690916,-0.456952,0.889492,0.447770,0.525250
/odom,/base_footprint,-2.259693,-11.720565,-0.437935,0.899007,0.474752,0.534779
/odom,/base_footprint,-2.224085,-11.763186,-0.408801,0.912624,0.454889,0.537222
/odom,/base_footprint,-2.192221,-11.797021,-0.384341,0.923191,0.468291,0.529505
/odom,/base_footprint,-2.165569,-11.822753,-0.364540,0.931188,0.457983,0.538061
/odom,/base_footprint,-2.130680,-11.853308,-0.339496,0.940607,0.468682,0.529897
/odom,/base_footprint,-2.085427,-11.888474,-0.309326,0.950956,0.488744,0.534233
/odom,/base_footprint,-2.052836,-11.911131,-0.288987,0.957333,0.499315,0.531171
/odom,/base_footprint,-2.019331,-11.932378,-0.268593,0.963254,0.494602,0.531009
/odom,/base_footprint,-1.967206,-11.961677,-0.238222,0.971211,0.499670,0.506920
/odom,/base_footprint,-1.922393,-11.983626,-0.212992,0.977054,0.500001,0.530590
/odom,/base_footprint,-1.876348,-12.003264,-0.187916,0.982185,0.500336,0.483816
/odom,/base_footprint,-1.819995,-12.023746,-0.158446,0.987368,0.499994,0.514526
/odom,/base_footprint,-1.781732,-12.035478,-0.137879,0.990449,0.500248,0.522623
/odom,/base_footprint,-1.733304,-12.047878,-0.112239,0.993681,0.499846,0.510830
/odom,/base_footprint,-1.674436,-12.059484,-0.082415,0.996598,0.500184,0.489088
/odom,/base_footprint,-1.634856,-12.065271,-0.062480,0.998046,0.499925,0.505670
/odom,/base_footprint,-1.595078,-12.069457,-0.042366,0.999102,0.500080,0.499438
/odom,/base_footprint,-1.525169,-12.072989,-0.008828,0.999961,0.500077,0.453685
/odom,/base_footprint,-1.495168,-12.073114,0.004345,0.999991,0.500058,0.407914
/odom,/base_footprint,-1.445354,-12.071732,0.023042,0.999735,0.494297,0.341808
/odom,/base_footprint,-1.386599,-12.067870,0.041705,0.999130,0.485712,0.241910
/odom,/base_footprint,-1.338367,-12.063348,0.051701,0.998663,0.483279,0.202662
/odom,/base_footprint,-1.300060,-12.059068,0.059028,0.998256,0.480650,0.137430
/odom,/base_footprint,-1.243826,-12.052105,0.063209,0.998000,0.459262,0.031835
/odom,/base_footprint,-1.189782,-12.045158,0.064092,0.997944,0.449701,-0.002104
/odom,/base_footprint,-1.145845,-12.039554,0.061509,0.998107,0.440756,-0.114196
/odom,/base_footprint,-1.110908,-12.035396,0.057033,0.998372,0.438716,-0.103159
/odom,/base_footprint,-1.068046,-12.030715,0.051271,0.998685,0.422699,-0.134507
/odom,/base_footprint,-1.025857,-12.026685,0.042962,0.999077,0.422809,-0.236491
/odom,/base_footprint,-0.984588,-12.023743,0.027804,0.999613,0.397184,-0.279630
/odom,/base_footprint,-0.945865,-12.022089,0.015002,0.999887,0.372204,-0.239811
/odom,/base_footprint,-0.916423,-12.021491,0.004900,0.999988,0.364601,-0.291618
/odom,/base_footprint,-0.867322,-12.022328,-0.025345,0.999679,0.330109,-0.505937
/odom,/base_footprint,-0.842522,-12.024078,-0.045564,0.998961,0.294958,-0.505043
/odom,/base_footprint,-0.819903,-12.026598,-0.065787,0.997834,0.261976,-0.506260
/odom,/base_footprint,-0.785929,-12.032295,-0.101076,0.994879,0.231670,-0.505936
/odom,/base_footprint,-0.768554,-12.036225,-0.121128,0.992637,0.218747,-0.503007
/odom,/base_footprint,-0.752108,-12.040647,-0.141087,0.989997,0.202381,-0.504327
/odom,/base_footprint,-0.726713,-12.048989,-0.176029,0.984385,0.178480,-0.506738
/odom,/base_footprint,-0.714143,-12.053914,-0.195984,0.980607,0.146504,-0.508342
/odom,/base_footprint,-0.701906,-12.059364,-0.220831,0.975312,0.121743,-0.508991
/odom,/base_footprint,-0.690310,-12.065322,-0.250524,0.968110,0.101441,-0.509003
/odom,/base_footprint,-0.684022,-12.068971,-0.270206,0.962803,0.081604,-0.508936
/odom,/base_footprint,-0.679034,-12.072143,-0.289796,0.957088,0.060172,-0.509927
/odom,/base_footprint,-0.673680,-12.075955,-0.323857,0.946106,0.033231,-0.511341
/odom,/base_footprint,-0.672327,-12.077037,-0.343172,0.939273,0.005598,-0.511271
/odom,/base_footprint,-0.672279,-12.077069,-0.371813,0.928308,-0.004137,-0.511019
/odom,/base_footprint,-0.673099,-12.076241,-0.395477,0.918476,-0.013523,-0.513916
/odom,/base_footprint,-0.673881,-12.075377,-0.414188,0.910191,-0.015307,-0.511846
/odom,/base_footprint,-0.675065,-12.073931,-0.441874,0.897077,-0.015312,-0.509963
/odom,/base_footprint,-0.675806,-12.072926,-0.460137,0.887848,-0.015878,-0.512218
/odom,/base_footprint,-0.677230,-12.070757,-0.487124,0.873333,-0.024796,-0.509487
/odom,/base_footprint,-0.678542,-12.068502,-0.509325,0.860574,-0.026825,-0.513149
/odom,/base_footprint,-0.679522,-12.066628,-0.526827,0.849973,-0.025966,-0.510682
/odom,/base_footprint,-0.680827,-12.063786,-0.552562,0.833472,-0.026540,-0.508790
/odom,/base_footprint,-0.682372,-12.059818,-0.573472,0.819225,-0.050447,-0.504364
/odom,/base_footprint,-0.683775,-12.055704,-0.589935,0.807451,-0.057195,-0.506754
/odom,/base_footprint,-0.685129,-12.051138,-0.606176,0.795330,-0.061074,-0.505590
/odom,/base_footprint,-0.686827,-12.044068,-0.633985,0.773345,-0.044495,-0.508739
/odom,/base_footprint,-0.687275,-12.041603,-0.649556,0.760314,-0.023194,-0.507063
/odom,/base_footprint,-0.687489,-12.040066,-0.664815,0.747008,-0.016071,-0.505254
/odom,/base_footprint,-0.687614,-12.038748,-0.688824,0.724929,-0.002117,-0.366298
