tf_odom_map_tran_x,tf_odom_map_tran_y,tf_odom_map_tran_z,tf_odom_map_rot_x,tf_odom_map_rot_y,tf_odom_map_rot_z,tf_odom_map_rot_w
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.001229,0.153071,0.000000,0.000000,0.000000,-0.007484,0.999972
-0.016625,0.158033,0.000000,0.000000,0.000000,-0.006383,0.999980
-0.016625,0.158033,0.000000,0.000000,0.000000,-0.006383,0.999980
-0.016625,0.158033,0.000000,0.000000,0.000000,-0.006383,0.999980
-0.016625,0.158033,0.000000,0.000000,0.000000,-0.006383,0.999980
-0.027479,0.171595,0.000000,0.000000,0.000000,-0.005626,0.999984
-0.027479,0.171595,0.000000,0.000000,0.000000,-0.005626,0.999984
-0.027479,0.171595,0.000000,0.000000,0.000000,-0.005626,0.999984
-0.027479,0.171595,0.000000,0.000000,0.000000,-0.005626,0.999984
-0.027479,0.171595,0.000000,0.000000,0.000000,-0.005626,0.999984
-0.026525,0.175201,0.000000,0.000000,0.000000,-0.005767,0.999983
-0.026525,0.175201,0.000000,0.000000,0.000000,-0.005767,0.999983
-0.026525,0.175201,0.000000,0.000000,0.000000,-0.005767,0.999983
-0.026525,0.175201,0.000000,0.000000,0.000000,-0.005767,0.999983
-0.043775,0.180702,0.000000,0.000000,0.000000,-0.004525,0.999990
-0.043775,0.180702,0.000000,0.000000,0.000000,-0.004525,0.999990
-0.043775,0.180702,0.000000,0.000000,0.000000,-0.004525,0.999990
-0.043775,0.180702,0.000000,0.000000,0.000000,-0.004525,0.999990
-0.043775,0.180702,0.000000,0.000000,0.000000,-0.004525,0.999990
-0.049019,0.182689,0.000000,0.000000,0.000000,-0.003647,0.999993
-0.049019,0.182689,0.000000,0.000000,0.000000,-0.003647,0.999993
-0.049019,0.182689,0.000000,0.000000,0.000000,-0.003647,0.999993
-0.049019,0.182689,0.000000,0.000000,0.000000,-0.003647,0.999993
-0.062705,0.180697,0.000000,0.000000,0.000000,-0.002715,0.999996
-0.062705,0.180697,0.000000,0.000000,0.000000,-0.002715,0.999996
-0.062705,0.180697,0.000000,0.000000,0.000000,-0.002715,0.999996
-0.062705,0.180697,0.000000,0.000000,0.000000,-0.002715,0.999996
-0.062705,0.180697,0.000000,0.000000,0.000000,-0.002715,0.999996
-0.063924,0.193696,0.000000,0.000000,0.000000,-0.002249,0.999997
-0.063924,0.193696,0.000000,0.000000,0.000000,-0.002249,0.999997
-0.063924,0.193696,0.000000,0.000000,0.000000,-0.002249,0.999997
