cmd_vel_lin_x,cmd_vel_ang_z
0.000000,0.000000
0.213672,0.314656
0.250185,0.440568
0.281120,0.500324
0.351563,0.507807
0.419441,0.500266
0.479668,0.498314
0.496298,0.434442
0.500000,0.230068
0.500000,0.197562
0.500000,0.309679
0.500000,0.120682
0.500000,0.007321
0.500000,-0.286648
0.496271,-0.318543
0.500000,-0.600000
0.500000,-0.414500
0.486938,-0.515469
0.500000,-0.429486
0.500000,-0.467888
0.500000,-0.500194
0.500000,-0.451096
0.494224,-0.539573
0.500000,-0.502842
0.500000,-0.447216
0.500000,-0.238440
0.500000,-0.094520
0.500000,0.086377
0.500000,0.186029
0.500000,0.063606
0.500000,-0.099749
0.500000,-0.086097
0.499151,0.118865
0.500000,0.256256
0.500000,0.097668
0.500000,-0.030955
0.500000,-0.210866
0.500000,-0.302465
0.500000,-0.192907
0.500000,-0.105565
0.500000,0.033746
0.500000,0.194804
0.500000,0.365665
0.500000,0.485559
0.500000,0.293145
0.500000,0.162860
0.500000,0.113123
0.500000,0.188966
0.500000,0.263574
0.500000,0.411394
0.500000,0.399468
0.500000,0.505996
0.500000,0.502055
-0.020308,0.010590
-0.021661,0.189899
0.000000,0.000000
-0.088686,0.437171
-0.111311,0.511710
-0.101323,0.525538
0.000000,0.000000
-0.150000,0.282620
-0.114870,0.533710
-0.111166,0.530576
-0.128969,0.516802
-0.121299,0.513130
-0.126156,0.510423
-0.112731,0.513769
-0.097608,0.515232
-0.104887,0.511301
-0.067976,0.525907
-0.093041,0.512979
-0.102047,0.509128
-0.076444,0.516553
-0.076772,0.513624
-0.079006,0.511728
-0.071502,0.513832
-0.063017,0.514870
-0.041731,0.518882
-0.069476,0.509115
-0.051808,0.516598
-0.048323,0.512780
-0.030331,0.520786
-0.033146,0.515412
-0.053390,0.514165
-0.030582,0.516417
-0.029646,0.514058
-0.017738,0.525371
-0.014482,0.521974
-0.016910,0.520300
-0.016698,0.518541
-0.015963,0.518401
-0.015739,0.517239
-0.015159,0.515513
-0.014987,0.513946
-0.011968,0.512324
-0.011255,0.510702
-0.005535,0.518341
-0.004823,0.514052
0.013446,0.518092
-0.003240,0.513622
-0.003103,0.511826
0.044548,0.511080
0.100664,0.515705
0.122288,0.511913
0.126915,0.510209
0.120628,0.511858
0.121129,0.509448
0.122705,0.510687
0.124347,0.509628
0.116220,0.513197
0.100582,0.513680
0.093743,0.511432
0.087246,0.513468
0.084535,0.511399
0.083551,0.510236
0.081116,0.512467
0.080926,0.510531
0.074820,0.513367
0.077788,0.510807
0.067413,0.514604
0.071059,0.511285
0.055076,0.514475
0.051316,0.511652
0.039225,0.515088
0.035971,0.511581
0.029637,0.510321
0.019436,0.512834
-0.000069,0.511081
0.003042,0.510146
-0.001998,0.512262
-0.000021,0.510931
0.045060,0.512998
0.037318,0.512216
0.026160,0.511855
0.069463,0.514545
0.062675,0.512496
0.068382,0.511278
0.065367,0.510598
0.110776,0.513500
0.154576,0.514170
0.161048,0.511720
0.169379,0.511871
0.176009,0.511664
0.177630,0.514143
0.185869,0.512032
0.222409,0.510370
0.239829,0.515448
0.246996,0.512717
0.247419,0.512640
0.181651,0.522462
0.170729,0.517071
0.156511,0.515256
0.154168,0.513684
0.154864,0.512273
0.154582,0.514446
0.156893,0.513548
0.166514,0.512068
0.226730,0.515666
0.266381,0.513323
0.288174,0.513947
0.294907,0.514103
0.305027,0.513213
0.321330,0.511276
