frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID


odom,0.888476,-11.172345,0.744589,0.667523,2
odom,0.870844,-11.076228,0.790651,0.612267,2
odom,0.846495,-11.000448,0.824607,0.565707,2
odom,0.813806,-10.924052,0.844401,0.535712,2
odom,0.773997,-10.844283,0.856341,0.516411,2
odom,0.728432,-10.760875,0.863716,0.503980,2
odom,0.679011,-10.673463,0.863798,0.503838,2
odom,0.626155,-10.580013,0.863806,0.503824,2
odom,0.572596,-10.485396,0.863974,0.503536,2
odom,0.519385,-10.391533,0.864122,0.503283,2
odom,0.466838,-10.298244,0.862586,0.505910,2
odom,0.418287,-10.210933,0.861367,0.507983,2
odom,0.372309,-10.128088,0.862150,0.506652,2
odom,0.324148,-10.042195,0.863593,0.504190,2
odom,0.278150,-9.963473,0.871071,0.491158,2
odom,0.228875,-9.885493,0.880549,0.473954,2
odom,0.090875,-9.660213,0.864074,0.503365,2

odom,0.888147,-11.169416,0.746564,0.665313,3
odom,0.865449,-11.063448,0.806556,0.591158,3
odom,0.835983,-10.980460,0.826653,0.562712,3
odom,0.798618,-10.895308,0.847239,0.531213,3
odom,0.751565,-10.802786,0.857413,0.514629,3
odom,0.689131,-10.691347,0.867960,0.496635,3
odom,0.618885,-10.570784,0.866000,0.500044,3
odom,0.555139,-10.460136,0.865523,0.500869,3
odom,0.491221,-10.349179,0.865988,0.500065,3
odom,0.426402,-10.236359,0.864953,0.501852,3
odom,0.358799,-10.117447,0.863722,0.503969,3
odom,0.288100,-9.993968,0.866478,0.499215,3
odom,0.208967,-9.860933,0.871984,0.489534,3
odom,0.090875,-9.660213,0.864074,0.503365,3

odom,0.886756,-11.158409,0.753420,0.657540,4
odom,0.865748,-11.065006,0.806637,0.591047,4
odom,0.838265,-10.989750,0.831761,0.555133,4
odom,0.804015,-10.912925,0.845649,0.533739,4
odom,0.764260,-10.833254,0.855132,0.518410,4
odom,0.720125,-10.750171,0.858982,0.512006,4
odom,0.671551,-10.662122,0.863241,0.504792,4
odom,0.618296,-10.566920,0.861988,0.506929,4
odom,0.564892,-10.470701,0.861552,0.507670,4
odom,0.510987,-10.373697,0.862248,0.506486,4
odom,0.457654,-10.275496,0.856598,0.515985,4
odom,0.403355,-10.173593,0.858198,0.513319,4
odom,0.347526,-10.074673,0.868866,0.495048,4
odom,0.293806,-9.984755,0.870633,0.491933,4
odom,0.234263,-9.890955,0.881969,0.471308,4
odom,0.078546,-9.638464,0.864102,0.503317,4

odom,0.883547,-11.137785,0.765401,0.643553,5
odom,0.857255,-11.034777,0.812509,0.582949,5
odom,0.821826,-10.945525,0.841319,0.540538,5
odom,0.777341,-10.855745,0.857672,0.514197,5
odom,0.726069,-10.762739,0.864248,0.503066,5
odom,0.670198,-10.663161,0.861541,0.507689,5
odom,0.614980,-10.563052,0.860601,0.509279,5
odom,0.560664,-10.464628,0.861666,0.507476,5
odom,0.507727,-10.367577,0.858092,0.513496,5
odom,0.456620,-10.271603,0.856540,0.516080,5
odom,0.411521,-10.187434,0.859442,0.511232,5
odom,0.365921,-10.105757,0.865355,0.501159,5
odom,0.320403,-10.029097,0.872773,0.488125,5
