extroversion,visual_time,visual_N,textual_time,textual_N,N_objects,N_words,N_deviations
8,0.138768196105957,1,0.000428915023804,1,2,6,0
8,0.229871273040771,2,0.000311136245728,2,2,6,0
8,0.201411485671997,3,0.000342845916748,3,2,6,0
8,0.2425856590271,4,0.000342130661011,4,2,6,0
8,0.224513053894043,5,0.000308990478516,5,2,6,0
8,0.218348026275635,6,0.000211000442505,6,1,4,0
8,0.33818531036377,7,1.95503234863281E-05,7,4,4,1
8,0.245054006576538,8,4.60147857666016E-05,8,5,4,2
8,0.218941450119018,9,1.50203704833984E-05,9,8,4,2
8,2.06996846199036,10,1.71661376953125E-05,10,7,4,2
8,0.907461404800415,11,1.66893005371094E-05,11,6,4,2
8,0.414065599441528,12,1.81198120117187E-05,12,5,4,2
8,0.217281818389893,13,0.000503063201904,13,4,8,2
8,0.676241397857666,14,0.000401973724365,14,4,8,2
8,0.228363990783691,15,0.000434160232544,15,3,7,2
8,0.190459251403809,16,0.000357866287231,15,5,0,2
8,0.213008165359497,17,0.000513553619385,15,5,0,2
8,0.194754600524902,18,0.000467300415039,15,4,0,2
