frame,local_costmap_resolution,local_costmap_width,local_costmap_height,local_costmap_origin_pos_x,local_costmap_origin_pos_y,local_costmap_origin_orientation_z,local_costmap_origin_orientation_w
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
odom,0.025000,160,160,-6.225000,-10.575000,0.000000,1.000000
odom,0.025000,160,160,-6.225000,-10.575000,0.000000,1.000000
odom,0.025000,160,160,-6.225000,-10.575000,0.000000,1.000000
odom,0.025000,160,160,-6.225000,-10.575000,0.000000,1.000000
odom,0.025000,160,160,-6.225000,-10.575000,0.000000,1.000000
odom,0.025000,160,160,-6.225000,-10.575000,0.000000,1.000000
odom,0.025000,160,160,-6.225000,-10.575000,0.000000,1.000000
odom,0.025000,160,160,-6.225000,-10.575000,0.000000,1.000000
odom,0.025000,160,160,-6.225000,-10.575000,0.000000,1.000000
odom,0.025000,160,160,-6.225000,-10.575000,0.000000,1.000000
odom,0.025000,160,160,-6.225000,-10.575000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-10.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-10.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-10.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-10.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-10.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-10.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-10.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-10.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-10.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-10.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-10.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-9.600000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-9.600000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-9.600000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-9.600000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-9.600000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-9.600000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-9.600000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-9.600000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-9.600000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-9.600000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-9.600000,0.000000,1.000000
odom,0.025000,160,160,-6.400000,-9.125000,0.000000,1.000000
odom,0.025000,160,160,-6.400000,-9.125000,0.000000,1.000000
odom,0.025000,160,160,-6.400000,-9.125000,0.000000,1.000000
odom,0.025000,160,160,-6.400000,-9.125000,0.000000,1.000000
odom,0.025000,160,160,-6.400000,-9.125000,0.000000,1.000000
odom,0.025000,160,160,-6.400000,-9.125000,0.000000,1.000000
odom,0.025000,160,160,-6.400000,-9.125000,0.000000,1.000000
odom,0.025000,160,160,-6.400000,-9.125000,0.000000,1.000000
odom,0.025000,160,160,-6.400000,-9.125000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-8.700000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-8.700000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-8.700000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-8.700000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-8.700000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-8.700000,0.000000,1.000000
odom,0.025000,160,160,-6.325000,-8.700000,0.000000,1.000000
