frame,plan_position_x,plan_position_y,plan_orientation_z,plan_orientation_w,ID
map,-4.604533,-5.221214,0.853839,0.520538,1
map,-4.602682,-5.196283,0.679947,0.733261,1
map,-4.600766,-5.171356,0.682289,0.731082,1
map,-4.599234,-5.146403,0.684837,0.728696,1
map,-4.597666,-5.121452,0.686240,0.727375,1
map,-4.596326,-5.096488,0.687733,0.725963,1
map,-4.594964,-5.071526,0.688682,0.725064,1
map,-4.593755,-5.046555,0.689655,0.724138,1
map,-4.592526,-5.021585,0.690262,0.723559,1
map,-4.591401,-4.996610,0.690874,0.722975,1
map,-4.590257,-4.971636,0.691244,0.722621,1
map,-4.589183,-4.946660,0.691611,0.722271,1
map,-4.588089,-4.921683,0.691815,0.722074,1
map,-4.587044,-4.896706,0.692013,0.721885,1
map,-4.585978,-4.871728,0.692098,0.721803,1
map,-4.584944,-4.846750,0.692175,0.721730,1
map,-4.583888,-4.821772,0.692168,0.721736,1
map,-4.582853,-4.796793,0.692154,0.721750,1
map,-4.581796,-4.771815,0.692075,0.721826,1
map,-4.580750,-4.746838,0.691988,0.721909,1
map,-4.579680,-4.721860,0.691854,0.722038,1
map,-4.578616,-4.696883,0.691710,0.722176,1
map,-4.577527,-4.671907,0.691525,0.722353,1
map,-4.576437,-4.646931,0.691331,0.722538,1
map,-4.575320,-4.621956,0.679226,0.733929,1
map,-4.572574,-4.597107,0.666978,0.745078,1
map,-4.569806,-4.572260,0.666936,0.745115,1
map,-4.567054,-4.547413,0.666878,0.745167,1
map,-4.564279,-4.522567,0.666769,0.745264,1
map,-4.561512,-4.497720,0.666650,0.745371,1
map,-4.558721,-4.472877,0.666494,0.745511,1
map,-4.555933,-4.448033,0.666335,0.745652,1
map,-4.553122,-4.423192,0.666153,0.745815,1
map,-4.550310,-4.398350,0.665970,0.745978,1
map,-4.547473,-4.373511,0.665771,0.746156,1
map,-4.544635,-4.348673,0.665581,0.746326,1
map,-4.541773,-4.323837,0.665383,0.746503,1
map,-4.538908,-4.299002,0.665193,0.746672,1
map,-4.536021,-4.274169,0.665001,0.746843,1
map,-4.533131,-4.249337,0.664821,0.747003,1
map,-4.530220,-4.224507,0.664644,0.747160,1
map,-4.527306,-4.199677,0.664486,0.747300,1
map,-4.524374,-4.174850,0.664313,0.747455,1
map,-4.521437,-4.150023,0.664317,0.747451,1
map,-4.518506,-4.125195,0.664315,0.747453,1
map,-4.515568,-4.100368,0.664299,0.747467,1
map,-4.512635,-4.075541,0.664280,0.747484,1
map,-4.509695,-4.050715,0.664252,0.747509,1
map,-4.506758,-4.025888,0.664220,0.747537,1
map,-4.503814,-4.001062,0.664180,0.747573,1
map,-4.500872,-3.976236,0.664140,0.747608,1
map,-4.497922,-3.951411,0.664096,0.747647,1
map,-4.494974,-3.926584,0.664053,0.747685,1
map,-4.492019,-3.901760,0.664007,0.747727,1
map,-4.489064,-3.876935,0.663964,0.747764,1
map,-4.486104,-3.852111,0.663921,0.747803,1
map,-4.483143,-3.827287,0.663882,0.747837,1
map,-4.480177,-3.802463,0.663845,0.747870,1
map,-4.477212,-3.777640,0.663813,0.747899,1
map,-4.474242,-3.752817,0.663784,0.747925,1
map,-4.471273,-3.727994,0.663760,0.747945,1
map,-4.468300,-3.703171,0.663740,0.747963,1
map,-4.465329,-3.678348,0.663727,0.747975,1
map,-4.462353,-3.653526,0.663719,0.747982,1
map,-4.459381,-3.628704,0.663718,0.747983,1
map,-4.456406,-3.603881,0.663722,0.747979,1
map,-4.453434,-3.579059,0.663734,0.747969,1
map,-4.450460,-3.554236,0.663753,0.747952,1
map,-4.447490,-3.529413,0.663778,0.747930,1
map,-4.444520,-3.504591,0.663795,0.747914,1
map,-4.441553,-3.479767,0.663835,0.747879,1
map,-4.438588,-3.454943,0.663881,0.747838,1
map,-4.435627,-3.430119,0.663911,0.747812,1
map,-4.435627,-3.430119,0.755453,0.655203,1

map,-4.244989,-8.510049,0.717729,0.696323,2
map,-4.246384,-8.464005,0.712436,0.701737,2
map,-4.246065,-8.439007,0.702818,0.711369,2
map,-4.245780,-8.414008,0.704228,0.709974,2
map,-4.245658,-8.389009,0.705831,0.708380,2
map,-4.245599,-8.364008,0.707169,0.707044,2
map,-4.245667,-8.339008,0.708631,0.705580,2
map,-4.245815,-8.314009,0.710009,0.704192,2
map,-4.246078,-8.289010,0.711467,0.702719,2
map,-4.246433,-8.264013,0.712894,0.701272,2
map,-4.246900,-8.239017,0.714371,0.699768,2
map,-4.247466,-8.214024,0.715822,0.698282,2
map,-4.248140,-8.189033,0.717302,0.696762,2
map,-4.248918,-8.164044,0.718759,0.695259,2
map,-4.249802,-8.139060,0.720231,0.693735,2
map,-4.250792,-8.114080,0.721681,0.692226,2
map,-4.251884,-8.089104,0.723135,0.690707,2
map,-4.253084,-8.064133,0.724567,0.689204,2
map,-4.254384,-8.039166,0.725998,0.687697,2
map,-4.255791,-8.014206,0.727409,0.686205,2
map,-4.257296,-7.989251,0.728814,0.684712,2
map,-4.258908,-7.964303,0.730201,0.683233,2
map,-4.260615,-7.939362,0.731579,0.681757,2
map,-4.262429,-7.914427,0.732942,0.680291,2
map,-4.264336,-7.889500,0.734297,0.678829,2
map,-4.266348,-7.864582,0.735637,0.677375,2
map,-4.268452,-7.839670,0.736971,0.675924,2
map,-4.270660,-7.814768,0.738294,0.674479,2
map,-4.272960,-7.789874,0.739543,0.673109,2
map,-4.275353,-7.764988,0.740327,0.672247,2
map,-4.277768,-7.740106,0.740696,0.671841,2
map,-4.280216,-7.715226,0.741029,0.671473,2
map,-4.282681,-7.690348,0.741325,0.671147,2
map,-4.285172,-7.665472,0.741588,0.670855,2
map,-4.287676,-7.640598,0.741816,0.670603,2
map,-4.290201,-7.615726,0.742013,0.670386,2
map,-4.292734,-7.590854,0.742178,0.670203,2
map,-4.295284,-7.565985,0.742315,0.670051,2
map,-4.297837,-7.541115,0.742423,0.669931,2
map,-4.300404,-7.516247,0.742506,0.669840,2
map,-4.302969,-7.491379,0.742562,0.669778,2
map,-4.305543,-7.466512,0.742595,0.669741,2
map,-4.308114,-7.441645,0.742604,0.669730,2
map,-4.310689,-7.416778,0.742593,0.669743,2
map,-4.313258,-7.391910,0.742561,0.669778,2
map,-4.315829,-7.367043,0.742511,0.669834,2
map,-4.318390,-7.342175,0.742441,0.669911,2
map,-4.320951,-7.317306,0.742357,0.670005,2
map,-4.323500,-7.292436,0.742295,0.670073,2
map,-4.326051,-7.267567,0.742316,0.670050,2
map,-4.328603,-7.242697,0.742383,0.669976,2
map,-4.331164,-7.217829,0.742442,0.669910,2
map,-4.333725,-7.192960,0.742490,0.669858,2
map,-4.336293,-7.168092,0.742529,0.669814,2
map,-4.338860,-7.143225,0.742558,0.669782,2
map,-4.341433,-7.118357,0.742578,0.669760,2
map,-4.344002,-7.093490,0.742587,0.669750,2
map,-4.346576,-7.068623,0.742588,0.669749,2
map,-4.349146,-7.043755,0.742578,0.669760,2
map,-4.351718,-7.018888,0.742559,0.669780,2
map,-4.354285,-6.994020,0.742531,0.669812,2
map,-4.356853,-6.969152,0.742494,0.669853,2
map,-4.359415,-6.944283,0.742447,0.669905,2
map,-4.361976,-6.919415,0.742392,0.669966,2
map,-4.364530,-6.894546,0.742328,0.670036,2
map,-4.367081,-6.869677,0.742256,0.670116,2
map,-4.369624,-6.844806,0.742176,0.670205,2
map,-4.372164,-6.819935,0.742088,0.670302,2
map,-4.374693,-6.795063,0.742037,0.670359,2
map,-4.377225,-6.770192,0.742031,0.670366,2
map,-4.379755,-6.745320,0.742026,0.670371,2
map,-4.382286,-6.720449,0.742018,0.670380,2
map,-4.384814,-6.695577,0.742005,0.670395,2
map,-4.387343,-6.670705,0.741987,0.670414,2
map,-4.389868,-6.645833,0.741964,0.670440,2
map,-4.392394,-6.620961,0.741938,0.670469,2
map,-4.394915,-6.596089,0.741906,0.670504,2
map,-4.397437,-6.571216,0.741870,0.670544,2
map,-4.399952,-6.546343,0.741828,0.670590,2
map,-4.402467,-6.521470,0.741783,0.670640,2
map,-4.404976,-6.496596,0.741733,0.670696,2
map,-4.407484,-6.471722,0.741677,0.670757,2
map,-4.409985,-6.446847,0.741617,0.670823,2
map,-4.412484,-6.421973,0.741552,0.670895,2
map,-4.414975,-6.397097,0.741483,0.670972,2
map,-4.417463,-6.372221,0.741410,0.671052,2
map,-4.419944,-6.347345,0.741332,0.671139,2
map,-4.422421,-6.322468,0.741249,0.671230,2
map,-4.424889,-6.297590,0.741192,0.671293,2
map,-4.427357,-6.272712,0.741166,0.671322,2
map,-4.429821,-6.247834,0.741138,0.671353,2
map,-4.432286,-6.222955,0.741107,0.671387,2
map,-4.434746,-6.198077,0.741074,0.671423,2
map,-4.437205,-6.173198,0.741039,0.671462,2
map,-4.439660,-6.148319,0.741000,0.671505,2
map,-4.442113,-6.123440,0.740959,0.671551,2
map,-4.444561,-6.098559,0.740915,0.671599,2
map,-4.447008,-6.073680,0.740869,0.671650,2
map,-4.449450,-6.048799,0.740819,0.671704,2
map,-4.451890,-6.023919,0.740767,0.671762,2
map,-4.454324,-5.999037,0.740712,0.671822,2
map,-4.456755,-5.974156,0.740654,0.671886,2
map,-4.459180,-5.949274,0.740593,0.671953,2
map,-4.461603,-5.924391,0.740531,0.672022,2
map,-4.464019,-5.899508,0.740464,0.672096,2
map,-4.466432,-5.874625,0.740395,0.672172,2
map,-4.468838,-5.849741,0.740324,0.672251,2
map,-4.471240,-5.824857,0.724985,0.688765,2
map,-4.471395,-5.799857,0.716957,0.697117,2
map,-4.472642,-5.774889,0.732158,0.681135,2
map,-4.475000,-5.750000,0.886846,0.462065,2
map,-4.525000,-5.700000,0.923880,0.382683,2
map,-4.575000,-5.650000,0.850651,0.525731,2
map,-4.575000,-5.600000,0.707107,0.707107,2
map,-4.575000,-5.550000,0.707107,0.707107,2
map,-4.575000,-5.500000,0.707107,0.707107,2
map,-4.575000,-5.450000,0.707107,0.707107,2
map,-4.575000,-5.400000,0.707107,0.707107,2
map,-4.575000,-5.350000,0.707107,0.707107,2
map,-4.575000,-5.300000,0.707107,0.707107,2
map,-4.575000,-5.250000,0.821888,0.569649,2
map,-4.604533,-5.221214,0.853839,0.520538,2
map,-4.602682,-5.196283,0.679947,0.733261,2
map,-4.600766,-5.171356,0.682289,0.731082,2
map,-4.599234,-5.146403,0.684837,0.728696,2
map,-4.597666,-5.121452,0.686240,0.727375,2
map,-4.596326,-5.096488,0.687733,0.725963,2
map,-4.594964,-5.071526,0.688682,0.725064,2
map,-4.593755,-5.046555,0.689655,0.724138,2
map,-4.592526,-5.021585,0.690262,0.723559,2
map,-4.591401,-4.996610,0.690874,0.722975,2
map,-4.590257,-4.971636,0.691244,0.722621,2
map,-4.589183,-4.946660,0.691611,0.722271,2
map,-4.588089,-4.921683,0.691815,0.722074,2
map,-4.587044,-4.896706,0.692013,0.721885,2
map,-4.585978,-4.871728,0.692098,0.721803,2
map,-4.584944,-4.846750,0.692175,0.721730,2
map,-4.583888,-4.821772,0.692168,0.721736,2
map,-4.582853,-4.796793,0.692154,0.721750,2
map,-4.581796,-4.771815,0.692075,0.721826,2
map,-4.580750,-4.746838,0.691988,0.721909,2
map,-4.579680,-4.721860,0.691854,0.722038,2
map,-4.578616,-4.696883,0.691710,0.722176,2
map,-4.577527,-4.671907,0.691525,0.722353,2
map,-4.576437,-4.646931,0.691331,0.722538,2
map,-4.575320,-4.621956,0.679226,0.733929,2
map,-4.572574,-4.597107,0.666978,0.745078,2
map,-4.569806,-4.572260,0.666936,0.745115,2
map,-4.567054,-4.547413,0.666878,0.745167,2
map,-4.564279,-4.522567,0.666769,0.745264,2
map,-4.561512,-4.497720,0.666650,0.745371,2
map,-4.558721,-4.472877,0.666494,0.745511,2
map,-4.555933,-4.448033,0.666335,0.745652,2
map,-4.553122,-4.423192,0.666153,0.745815,2
map,-4.550310,-4.398350,0.665970,0.745978,2
map,-4.547473,-4.373511,0.665771,0.746156,2
map,-4.544635,-4.348673,0.665581,0.746326,2
map,-4.541773,-4.323837,0.665383,0.746503,2
map,-4.538908,-4.299002,0.665193,0.746672,2
map,-4.536021,-4.274169,0.665001,0.746843,2
map,-4.533131,-4.249337,0.664821,0.747003,2
map,-4.530220,-4.224507,0.664644,0.747160,2
map,-4.527306,-4.199677,0.664486,0.747300,2
map,-4.524374,-4.174850,0.664313,0.747455,2
map,-4.521437,-4.150023,0.664317,0.747451,2
map,-4.518506,-4.125195,0.664315,0.747453,2
map,-4.515568,-4.100368,0.664299,0.747467,2
map,-4.512635,-4.075541,0.664280,0.747484,2
map,-4.509695,-4.050715,0.664252,0.747509,2
map,-4.506758,-4.025888,0.664220,0.747537,2
map,-4.503814,-4.001062,0.664180,0.747573,2
map,-4.500872,-3.976236,0.664140,0.747608,2
map,-4.497922,-3.951411,0.664096,0.747647,2
map,-4.494974,-3.926584,0.664053,0.747685,2
map,-4.492019,-3.901760,0.664007,0.747727,2
map,-4.489064,-3.876935,0.663964,0.747764,2
map,-4.486104,-3.852111,0.663921,0.747803,2
map,-4.483143,-3.827287,0.663882,0.747837,2
map,-4.480177,-3.802463,0.663845,0.747870,2
map,-4.477212,-3.777640,0.663813,0.747899,2
map,-4.474242,-3.752817,0.663784,0.747925,2
map,-4.471273,-3.727994,0.663760,0.747945,2
map,-4.468300,-3.703171,0.663740,0.747963,2
