frame,current_goal_position_x,current_goal_position_y,current_goal_orientation_z,current_goal_orientation_w
map,-4.435627,-3.430119,0.755453,0.655203
map,-3.707898,-3.763528,0.613050,0.790044
map,-2.161754,-3.657812,0.344905,0.938637
