frame,child_frame,odom_position_x,odom_position_y,odom_orientation_z,odom_orientation_w,odom_linear_x,odom_angular_z
/odom,/base_footprint,-4.145423,-8.726645,-0.998687,0.051232,0.000006,0.000125
/odom,/base_footprint,-4.145424,-8.726645,-0.998687,0.051225,0.000044,-0.000381
/odom,/base_footprint,-4.145144,-8.726617,-0.998774,0.049494,-0.004587,-0.106083
/odom,/base_footprint,-4.144701,-8.726576,-0.999138,0.041501,-0.006574,-0.272453
/odom,/base_footprint,-4.143565,-8.726511,-0.999881,0.015411,-0.008871,-0.479820
/odom,/base_footprint,-4.143192,-8.726505,-0.999989,-0.004674,-0.003422,-0.506970
/odom,/base_footprint,-4.142929,-8.726513,-0.999687,-0.025000,-0.002956,-0.510105
/odom,/base_footprint,-4.142334,-8.726568,-0.998164,-0.060567,-0.005959,-0.507650
/odom,/base_footprint,-4.141654,-8.726665,-0.996710,-0.081046,-0.009075,-0.515824
/odom,/base_footprint,-4.141099,-8.726767,-0.994831,-0.101542,-0.005113,-0.513187
/odom,/base_footprint,-4.140006,-8.727038,-0.990555,-0.137113,-0.009598,-0.510612
/odom,/base_footprint,-4.139426,-8.727215,-0.987517,-0.157515,-0.007445,-0.519250
/odom,/base_footprint,-4.139081,-8.727333,-0.984058,-0.177848,-0.001443,-0.512288
/odom,/base_footprint,-4.138826,-8.727440,-0.978108,-0.208099,-0.003804,-0.516200
/odom,/base_footprint,-4.138360,-8.727666,-0.971222,-0.238176,-0.004265,-0.512622
/odom,/base_footprint,-4.139037,-8.727282,-0.964805,-0.262965,0.011702,-0.511943
/odom,/base_footprint,-4.141402,-8.725802,-0.959208,-0.282703,0.060602,-0.514096
/odom,/base_footprint,-4.145906,-8.722754,-0.953196,-0.302353,0.079013,-0.512258
/odom,/base_footprint,-4.156005,-8.715047,-0.941656,-0.336578,0.097244,-0.520799
/odom,/base_footprint,-4.161555,-8.710305,-0.934488,-0.355993,0.090235,-0.514914
/odom,/base_footprint,-4.167428,-8.704836,-0.926996,-0.375071,0.122040,-0.510534
/odom,/base_footprint,-4.183812,-8.687695,-0.912823,-0.408356,0.202564,-0.518068
/odom,/base_footprint,-4.193720,-8.676147,-0.904114,-0.427291,0.182466,-0.521657
/odom,/base_footprint,-4.202579,-8.664897,-0.894994,-0.446078,0.176096,-0.521616
/odom,/base_footprint,-4.214593,-8.647890,-0.880680,-0.473712,0.172341,-0.513751
/odom,/base_footprint,-4.226792,-8.628047,-0.865741,-0.500492,0.229738,-0.511898
/odom,/base_footprint,-4.234091,-8.614892,-0.857971,-0.513698,0.276156,-0.509665
/odom,/base_footprint,-4.250930,-8.580954,-0.841651,-0.540021,0.322898,-0.524451
/odom,/base_footprint,-4.263747,-8.550936,-0.827178,-0.561941,0.327247,-0.526220
/odom,/base_footprint,-4.278090,-8.511058,-0.809732,-0.586800,0.396892,-0.493779
/odom,/base_footprint,-4.287336,-8.480776,-0.797492,-0.603330,0.397853,-0.526802
/odom,/base_footprint,-4.295388,-8.449801,-0.784507,-0.620120,0.398498,-0.535396
/odom,/base_footprint,-4.306170,-8.395673,-0.762551,-0.646928,0.396099,-0.418000
/odom,/base_footprint,-4.311111,-8.362461,-0.752902,-0.658132,0.447716,-0.307363
/odom,/base_footprint,-4.315667,-8.326022,-0.747257,-0.664535,0.471357,-0.139469
/odom,/base_footprint,-4.322988,-8.260931,-0.743289,-0.668970,0.457726,-0.168552
/odom,/base_footprint,-4.326544,-8.223867,-0.736193,-0.676771,0.468790,-0.334922
/odom,/base_footprint,-4.329227,-8.185838,-0.727291,-0.686329,0.484188,-0.280750
/odom,/base_footprint,-4.332116,-8.117092,-0.715475,-0.698638,0.497110,-0.327337
/odom,/base_footprint,-4.332544,-8.077106,-0.706409,-0.707804,0.501822,-0.312376
/odom,/base_footprint,-4.331978,-8.037024,-0.698138,-0.715964,0.499608,-0.242076
/odom,/base_footprint,-4.329633,-7.969608,-0.693554,-0.720405,0.462070,0.038985
/odom,/base_footprint,-4.328299,-7.931899,-0.695178,-0.718838,0.475072,0.032908
/odom,/base_footprint,-4.327081,-7.893701,-0.696697,-0.717366,0.482891,0.096580
/odom,/base_footprint,-4.325679,-7.824808,-0.704388,-0.709815,0.495067,0.254300
/odom,/base_footprint,-4.325834,-7.784978,-0.712998,-0.701166,0.500712,0.338735
/odom,/base_footprint,-4.327065,-7.744895,-0.723068,-0.690777,0.500147,0.409048
/odom,/base_footprint,-4.332200,-7.678424,-0.744205,-0.667952,0.432112,0.356837
/odom,/base_footprint,-4.336562,-7.642669,-0.753019,-0.657999,0.474057,0.335696
/odom,/base_footprint,-4.342208,-7.604681,-0.761261,-0.648446,0.475884,0.269298
/odom,/base_footprint,-4.354169,-7.536595,-0.770208,-0.637793,0.494552,0.206759
/odom,/base_footprint,-4.361839,-7.497732,-0.774291,-0.632830,0.499628,0.097922
/odom,/base_footprint,-4.371925,-7.448421,-0.774554,-0.632508,0.501456,-0.025639
/odom,/base_footprint,-4.383705,-7.389789,-0.771774,-0.635897,0.500091,-0.134520
/odom,/base_footprint,-4.391119,-7.350729,-0.768875,-0.639399,0.495006,-0.095726
/odom,/base_footprint,-4.401600,-7.292074,-0.764304,-0.644856,0.498252,-0.138028
/odom,/base_footprint,-4.410583,-7.236242,-0.756703,-0.653758,0.429238,-0.281269
/odom,/base_footprint,-4.415779,-7.195764,-0.743304,-0.668954,0.399785,-0.510869
/odom,/base_footprint,-4.419634,-7.128294,-0.709144,-0.705064,0.359510,-0.562344
/odom,/base_footprint,-4.418314,-7.081051,-0.686365,-0.727257,0.442576,-0.515496
/odom,/base_footprint,-4.412826,-7.022298,-0.659130,-0.752029,0.371130,-0.523891
/odom,/base_footprint,-4.408167,-6.992233,-0.642415,-0.766357,0.402588,-0.562079
/odom,/base_footprint,-4.401490,-6.958971,-0.625606,-0.780139,0.438416,-0.489336
/odom,/base_footprint,-4.383311,-6.887762,-0.602803,-0.797890,0.462487,-0.330141
/odom,/base_footprint,-4.370542,-6.845238,-0.591579,-0.806247,0.412930,-0.204618
/odom,/base_footprint,-4.361278,-6.816514,-0.585931,-0.810361,0.359896,-0.154571
/odom,/base_footprint,-4.344408,-6.767065,-0.579396,-0.815046,0.423448,-0.018568
/odom,/base_footprint,-4.333182,-6.734581,-0.582115,-0.813106,0.407565,0.161477
/odom,/base_footprint,-4.318425,-6.689148,-0.595817,-0.803120,0.272812,0.340408
/odom,/base_footprint,-4.313374,-6.671480,-0.609744,-0.792598,0.215528,0.504950
/odom,/base_footprint,-4.307228,-6.644953,-0.633991,-0.773340,0.235980,0.515518
