gazebo_label
  library_bookshelf_onesided_small_clone_0
  table_clone_0
  kitchen_chair_clone_0
  kitchen_chair_clone_4
  kitchen_chair_clone_4_clone_1
  kitchen_chair_clone_4_clone_4
  kitchen_chair_clone_4_clone_6_clone
  kitchen_chair_clone_1_clone_clone
  library_bookshelf_onesided_0
  library_bookshelf_onesided_0_clone_1
  library_bookshelf_onesided_0_clone_4
  library_bookshelf_onesided_0_clone_7
 library_bookshelf_onesided_small
 library_bookshelf_onesided
 table_clone_1
 kitchen_chair_clone_1
 kitchen_chair_clone_4_clone
 kitchen_chair_clone_4_clone_2
 kitchen_chair_clone_4_clone_5
 kitchen_chair_clone_4_clone_6_clone_0
 kitchen_chair_clone_1_clone_clone_0
 library_bookshelf_onesided_0_clone
 library_bookshelf_onesided_0_clone_2
 library_bookshelf_onesided_0_clone_5
 library_bookshelf_onesided_0_clone_8
 library_bookshelf_onesided_small_clone
 table
 table_clone_2
 kitchen_chair_clone_2
 kitchen_chair_clone_4_clone_0
 kitchen_chair_clone_4_clone_3
 kitchen_chair_clone_4_clone_6
 kitchen_chair_clone_1_clone
 library_bookshelf_onesided_0_clone_0
 library_bookshelf_onesided_0_clone_3
 library_bookshelf_onesided_0_clone_6
 library_bookshelf_onesided_0_clone_9
 table_clone
 table_clone_3
 kitchen_chair_clone_3
 kitchen_chair
 kitchen_chair_clone
