extroversion,visual_time,visual_publish_time,visual_N,textual_time,textual_publish_time,textual_N,N_objects,N_words,N_deviations
10,0.2471911907196045,0.411541223526001,1,0.00018906593322753906,6.079673767089844e-05,1,1,4,0
10,0.1477677822113037,0.44259214401245117,2,0.00022792816162109375,3.5762786865234375e-05,2,1,4,0
10,0.1631312370300293,0.4182710647583008,3,0.00021791458129882812,2.7418136596679688e-05,3,1,4,0
10,0.33655214309692383,0.420335054397583,4,0.00019049644470214844,3.147125244140625e-05,4,1,4,0
10,0.13879179954528809,0.4554023742675781,5,0.00015616416931152344,2.3365020751953125e-05,5,1,4,0
10,0.11494708061218262,0.41879773139953613,6,0.0001823902130126953,3.123283386230469e-05,6,1,4,0
10,0.1440732479095459,0.69370436668396,7,0.0001595020294189453,2.47955322265625e-05,7,1,4,0
10,0.14446759223937988,0.42700839042663574,8,0.0002911090850830078,7.486343383789062e-05,8,1,4,0
10,0.14368629455566406,0.401752233505249,9,0.0003070831298828125,2.5033950805664062e-05,9,1,4,0
10,0.13532567024230957,0.46306896209716797,10,0.00023889541625976562,3.62396240234375e-05,10,1,4,0
10,0.16459178924560547,0.5290229320526123,11,5.4836273193359375e-06,3.814697265625e-05,11,0,7,0
10,0.1418602466583252,0.438403844833374,12,5.4836273193359375e-06,4.1961669921875e-05,12,0,7,0
10,0.1518700122833252,0.47632884979248047,13,7.62939453125e-06,6.651878356933594e-05,13,0,7,0
10,0.13049578666687012,0.5151937007904053,14,5.4836273193359375e-06,0.0001857280731201172,14,0,7,0
10,0.13167881965637207,0.4288198947906494,15,6.9141387939453125e-06,5.1021575927734375e-05,15,0,7,0
10,0.14201903343200684,0.42009830474853516,16,0.0001838207244873047,2.9802322387695312e-05,16,1,4,0
10,0.26770687103271484,0.5930702686309814,17,0.00023293495178222656,3.743171691894531e-05,17,1,4,0
10,0.17986345291137695,0.44425249099731445,18,0.00020956993103027344,3.2901763916015625e-05,18,1,4,0
10,0.13407564163208008,0.39656519889831543,19,0.0002598762512207031,3.719329833984375e-05,19,1,4,0
10,0.22355222702026367,0.5328876972198486,20,0.0001938343048095703,3.0040740966796875e-05,20,1,4,0
10,0.1264195442199707,0.41859960556030273,21,0.00015783309936523438,2.4557113647460938e-05,21,1,4,0
10,0.1398458480834961,0.5065047740936279,22,0.00017571449279785156,5.602836608886719e-05,22,1,4,0
10,0.22624611854553223,0.38564300537109375,23,0.0002186298370361328,3.4809112548828125e-05,23,1,4,0
10,0.2574028968811035,0.4381115436553955,24,0.0001766681671142578,2.8371810913085938e-05,24,1,4,0
