visual_time,visual_N,textual_time,textual_N,N_objects,N_words,N_deviations
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,27,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
0.10177993774414062,1,0.0003113746643066406,1,9,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,0
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,12,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,12,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,12,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,12,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,12,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,12,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,12,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,12,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,12,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,12,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,1
2.6300852298736572,2,5.8650970458984375e-05,2,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,1
0.1322484016418457,3,7.534027099609375e-05,3,1,0,2
0.1322484016418457,3,7.534027099609375e-05,3,1,0,2
