frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
odom,1.129595,-0.606106,0.225527,0.974237,5
odom,1.128747,-0.606514,0.155387,0.987854,5
odom,1.127942,-0.606793,0.085532,0.996335,5
odom,1.127213,-0.606962,0.016312,0.999867,5
odom,1.126587,-0.607046,-0.051986,0.998648,5
odom,1.126081,-0.607077,-0.118578,0.992945,5
odom,1.125701,-0.607089,-0.182897,0.983132,5
odom,1.125444,-0.607116,-0.243896,0.969801,5
odom,1.125354,-0.607216,-0.316917,0.948453,5
odom,1.152247,-0.631639,-0.399629,0.916677,5
odom,1.191378,-0.681703,-0.474328,0.880348,5
odom,1.230516,-0.752495,-0.539682,0.841869,5
odom,1.262411,-0.837089,-0.596353,0.802722,5
odom,1.284040,-0.930033,-0.645882,0.763437,5
odom,1.294519,-1.028209,-0.689958,0.723850,5
odom,1.293759,-1.126784,-0.728660,0.684875,5
odom,1.282508,-1.226568,-0.761856,0.647746,5
odom,1.261851,-1.330182,-0.783959,0.620812,5
odom,1.235658,-1.432551,-0.795600,0.605823,5
odom,1.207255,-1.534149,-0.797532,0.603276,5
odom,1.180055,-1.635003,-0.790027,0.613072,5
odom,1.154874,-1.739068,-0.781655,0.623711,5
odom,1.132844,-1.836544,-0.780675,0.624937,5
odom,1.109858,-1.942489,-0.776265,0.630407,5
odom,1.092465,-2.028085,-0.772389,0.635150,5
odom,1.077284,-2.107621,-0.768740,0.639561,5
odom,1.064449,-2.180941,-0.762593,0.646879,5
odom,1.054213,-2.247340,-0.755542,0.655100,5
odom,1.048211,-2.293236,-0.747497,0.664265,5
odom,1.045090,-2.322592,-0.739330,0.673343,5

odom,1.133688,-0.600606,0.667435,0.744668,6
odom,1.133447,-0.601555,0.612739,0.790285,6
odom,1.133073,-0.602518,0.555350,0.831617,6
odom,1.132568,-0.603457,0.495193,0.868783,6
odom,1.131945,-0.604337,0.432656,0.901559,6
odom,1.131224,-0.605126,0.368185,0.929752,6
odom,1.130435,-0.605803,0.302298,0.953213,6
odom,1.129612,-0.606353,0.235542,0.971864,6
odom,1.128791,-0.606774,0.168433,0.985713,6
odom,1.128006,-0.607072,0.101488,0.994837,6
odom,1.127288,-0.607263,0.035208,0.999380,6
odom,1.126662,-0.607370,-0.029931,0.999552,6
odom,1.126142,-0.607420,-0.093449,0.995624,6
odom,1.125737,-0.607443,-0.154925,0.987926,6
odom,1.125447,-0.607468,-0.213974,0.976839,6
odom,1.125328,-0.607552,-0.285422,0.958402,6
odom,1.151576,-0.628324,-0.367207,0.930139,6
odom,1.191552,-0.672617,-0.442492,0.896773,6
odom,1.233991,-0.737955,-0.509643,0.860386,6
odom,1.271233,-0.819290,-0.569027,0.822319,6
odom,1.299110,-0.911492,-0.621589,0.783343,6
odom,1.315784,-1.010368,-0.668365,0.743833,6
odom,1.320709,-1.112892,-0.710338,0.703860,6
odom,1.313753,-1.218145,-0.748740,0.662863,6
odom,1.295281,-1.325003,-0.780394,0.625288,6
odom,1.268532,-1.428773,-0.800041,0.599945,6
odom,1.237066,-1.530476,-0.809395,0.587264,6
odom,1.204339,-1.630711,-0.809289,0.587411,6
odom,1.173980,-1.728959,-0.800054,0.599928,6
odom,1.148331,-1.818357,-0.797188,0.603731,6
odom,1.125934,-1.903103,-0.787240,0.616647,6
odom,1.106877,-1.982653,-0.782909,0.622136,6
odom,1.090023,-2.057358,-0.779001,0.627022,6
odom,1.075438,-2.127230,-0.772753,0.634707,6
odom,1.063337,-2.192171,-0.765275,0.643704,6
odom,1.053494,-2.253195,-0.757056,0.653349,6
odom,1.045090,-2.322592,-0.739330,0.673343,6

odom,1.133647,-0.600906,0.648205,0.761466,7
odom,1.133359,-0.601891,0.597089,0.802175,7
odom,1.132945,-0.602878,0.543431,0.839454,7
odom,1.132408,-0.603834,0.487427,0.873164,7
odom,1.131762,-0.604729,0.429371,0.903128,7
odom,1.131027,-0.605535,0.369600,0.929191,7
odom,1.130227,-0.606234,0.308488,0.951228,7
