frame,amcl_position_x,amcl_position_y,amcl_orientation_z,amcl_orientation_w
map,1.127583,-0.620061,0.689217,0.724555
map,1.127583,-0.620061,0.689217,0.724555
map,1.127583,-0.620061,0.689217,0.724555
map,1.127583,-0.620061,0.689217,0.724555
map,1.127583,-0.620061,0.689217,0.724555
map,1.127583,-0.620061,0.689217,0.724555
map,1.127583,-0.620061,0.689217,0.724555
map,1.129748,-0.623276,0.620822,0.783951
map,1.129748,-0.623276,0.620822,0.783951
map,1.129748,-0.623276,0.620822,0.783951
map,1.129748,-0.623276,0.620822,0.783951
map,1.132708,-0.628647,0.537213,0.843446
map,1.132708,-0.628647,0.537213,0.843446
map,1.132708,-0.628647,0.537213,0.843446
map,1.132708,-0.628647,0.537213,0.843446
map,1.130879,-0.619766,0.448132,0.893967
map,1.130879,-0.619766,0.448132,0.893967
map,1.130879,-0.619766,0.448132,0.893967
map,1.130879,-0.619766,0.448132,0.893967
map,1.133719,-0.614192,0.353554,0.935414
map,1.133719,-0.614192,0.353554,0.935414
map,1.133719,-0.614192,0.353554,0.935414
map,1.133719,-0.614192,0.353554,0.935414
map,1.138694,-0.611533,0.252361,0.967633
map,1.138694,-0.611533,0.252361,0.967633
map,1.138694,-0.611533,0.252361,0.967633
map,1.138694,-0.611533,0.252361,0.967633
map,1.138694,-0.611533,0.252361,0.967633
map,1.138892,-0.612517,0.152152,0.988357
map,1.138892,-0.612517,0.152152,0.988357
map,1.138892,-0.612517,0.152152,0.988357
map,1.142060,-0.614126,0.050754,0.998711
map,1.142060,-0.614126,0.050754,0.998711
map,1.142060,-0.614126,0.050754,0.998711
map,1.142060,-0.614126,0.050754,0.998711
map,1.145861,-0.613437,-0.050059,0.998746
map,1.145861,-0.613437,-0.050059,0.998746
map,1.145861,-0.613437,-0.050059,0.998746
map,1.145861,-0.613437,-0.050059,0.998746
map,1.156481,-0.615759,-0.152195,0.988350
map,1.156481,-0.615759,-0.152195,0.988350
map,1.156481,-0.615759,-0.152195,0.988350
map,1.156481,-0.615759,-0.152195,0.988350
map,1.205576,-0.634863,-0.252683,0.967549
map,1.205576,-0.634863,-0.252683,0.967549
map,1.205576,-0.634863,-0.252683,0.967549
map,1.205576,-0.634863,-0.252683,0.967549
map,1.280635,-0.691108,-0.352126,0.935953
map,1.280635,-0.691108,-0.352126,0.935953
map,1.280635,-0.691108,-0.352126,0.935953
map,1.280635,-0.691108,-0.352126,0.935953
map,1.379376,-0.792029,-0.445934,0.895066
map,1.379376,-0.792029,-0.445934,0.895066
map,1.379376,-0.792029,-0.445934,0.895066
map,1.379376,-0.792029,-0.445934,0.895066
map,1.478057,-0.951537,-0.533320,0.845914
map,1.478057,-0.951537,-0.533320,0.845914
map,1.478057,-0.951537,-0.533320,0.845914
map,1.478057,-0.951537,-0.533320,0.845914
map,1.546771,-1.131658,-0.616492,0.787361
map,1.546771,-1.131658,-0.616492,0.787361
map,1.546771,-1.131658,-0.616492,0.787361
map,1.546771,-1.131658,-0.616492,0.787361
map,1.576510,-1.328671,-0.693086,0.720855
map,1.576510,-1.328671,-0.693086,0.720855
map,1.576510,-1.328671,-0.693086,0.720855
map,1.576510,-1.328671,-0.693086,0.720855
map,1.576510,-1.328671,-0.693086,0.720855
