frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID


odom,-3.977160,-4.827859,-0.998142,0.060926,2
odom,-3.990230,-4.828956,-0.999753,0.022246,2
odom,-4.001389,-4.828773,0.999227,0.039305,2
odom,-4.015832,-4.826334,0.991771,0.128025,2
odom,-4.024425,-4.823190,0.975225,0.221215,2
odom,-4.035258,-4.816726,0.950673,0.310195,2
odom,-4.037217,-4.815014,0.918369,0.395725,2
odom,-4.037733,-4.814335,0.879703,0.475523,2
odom,-4.053645,-4.784602,0.834021,0.551733,2
odom,-4.071192,-4.731177,0.784544,0.620073,2
odom,-4.080213,-4.681078,0.749449,0.662062,2
odom,-4.084270,-4.623361,0.713100,0.701062,2
odom,-4.081667,-4.555303,0.673298,0.739371,2
odom,-4.070936,-4.482461,0.633192,0.773995,2
odom,-4.042218,-4.370682,0.591734,0.806133,2
odom,-4.002445,-4.252480,0.574813,0.818285,2
odom,-3.942664,-4.106071,0.539770,0.841813,2
odom,-3.889975,-4.005435,0.494497,0.869179,2
odom,-3.820730,-3.904577,0.435441,0.900217,2
odom,-3.727710,-3.804698,0.360726,0.932672,2
odom,-3.631327,-3.729836,0.285716,0.958314,2
odom,-3.536265,-3.677535,0.209510,0.977807,2
odom,-3.414390,-3.634977,0.124647,0.992201,2
odom,-3.274899,-3.612083,0.039599,0.999216,2
odom,-3.131909,-3.612927,-0.041821,0.999125,2
odom,-3.018294,-3.627908,-0.082499,0.996591,2
odom,-2.925080,-3.645438,-0.095404,0.995439,2
odom,-2.829462,-3.663071,-0.079098,0.996867,2
odom,-2.765636,-3.671151,-0.035221,0.999380,2
odom,-2.722241,-3.673286,0.003273,0.999995,2

odom,-3.981006,-4.828306,-0.998924,0.046381,3
odom,-3.980601,-4.828273,0.999752,0.022258,3
odom,-3.980222,-4.828287,0.995862,0.090879,3
odom,-3.979877,-4.828338,0.987243,0.159219,3
odom,-3.979663,-4.828379,0.973786,0.227466,3
odom,-3.992451,-4.820836,0.955312,0.295598,3
odom,-4.012705,-4.804682,0.931942,0.362607,3
odom,-4.038099,-4.777749,0.903826,0.427901,3
odom,-4.065866,-4.738375,0.871200,0.490929,3
odom,-4.092830,-4.685657,0.834370,0.551205,3
odom,-4.115628,-4.619558,0.793681,0.608334,3
odom,-4.130961,-4.540908,0.749487,0.662019,3
odom,-4.135820,-4.451313,0.702131,0.712048,3
odom,-4.127656,-4.353041,0.651931,0.758279,3
odom,-4.104502,-4.248879,0.599186,0.800610,3
odom,-4.065076,-4.141991,0.544182,0.838967,3
odom,-4.008992,-4.036014,0.487354,0.873205,3
odom,-3.939178,-3.937986,0.428877,0.903363,3
odom,-3.857118,-3.849893,0.368971,0.929441,3
odom,-3.764181,-3.773106,0.307811,0.951448,3
odom,-3.661355,-3.708568,0.245270,0.969455,3
odom,-3.555896,-3.659730,0.184612,0.982812,3
odom,-3.442334,-3.623633,0.121509,0.992590,3
odom,-3.321653,-3.601967,0.055451,0.998461,3
odom,-3.204320,-3.596825,-0.012112,0.999927,3
odom,-3.095227,-3.606135,-0.071106,0.997469,3
odom,-3.003296,-3.622807,-0.103285,0.994652,3
