frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID


map,-4.026893,-4.591970,0.631165,0.775649,2
map,-4.019817,-4.557887,0.677562,0.735466,2
map,-4.022050,-4.532986,0.742789,0.669525,2
map,-4.024990,-4.508160,0.746967,0.664861,2
map,-4.027846,-4.483324,0.751703,0.659501,2
map,-4.031495,-4.458591,0.654811,0.755792,2
map,-4.021020,-4.435892,0.538712,0.842490,2
map,-4.010516,-4.413206,0.541592,0.840641,2
map,-4.000353,-4.390365,0.543631,0.839324,2
map,-3.990069,-4.367577,0.543984,0.839096,2
map,-3.979945,-4.344719,0.537070,0.843538,2
map,-3.968918,-4.322282,0.530493,0.847689,2
map,-3.958087,-4.299750,0.531713,0.846924,2
map,-3.947190,-4.277251,0.530583,0.847633,2
map,-3.936239,-4.254776,0.526909,0.849922,2
map,-3.924954,-4.232468,0.523625,0.851949,2
map,-3.913657,-4.210166,0.524387,0.851480,2
map,-3.902452,-4.187818,0.524880,0.851176,2
map,-3.891207,-4.165490,0.525024,0.851087,2
map,-3.880017,-4.143134,0.524471,0.851428,2
map,-3.868714,-4.120835,0.523807,0.851837,2
map,-3.857455,-4.098515,0.523593,0.851968,2
map,-3.846129,-4.076227,0.522352,0.852730,2
map,-3.834740,-4.053972,0.525665,0.850692,2
map,-3.823763,-4.031511,0.528328,0.849040,2
map,-3.812653,-4.009115,0.526366,0.850258,2
map,-3.801469,-3.986756,0.523341,0.852123,2
map,-3.790042,-3.964520,0.519005,0.854771,2
map,-3.778406,-3.942393,0.526872,0.849944,2
map,-3.767807,-3.919751,0.530875,0.847450,2
map,-3.756591,-3.897409,0.519028,0.854757,2
map,-3.744749,-3.875391,0.506727,0.862107,2
map,-3.732270,-3.853728,0.512756,0.858534,2
map,-3.721050,-3.831387,0.515190,0.857076,2
map,-3.708819,-3.809584,0.495836,0.868416,2
map,-3.695642,-3.788338,0.474985,0.879994,2
map,-3.681389,-3.767799,0.470654,0.882318,2
map,-3.667797,-3.746817,0.463875,0.885900,2
map,-3.652921,-3.726725,0.436143,0.899877,2
map,-3.636833,-3.707588,0.419557,0.907729,2
map,-3.620524,-3.688641,0.402812,0.915283,2
map,-3.603076,-3.670737,0.374792,0.927109,2
map,-3.584587,-3.653909,0.355871,0.934535,2
map,-3.565742,-3.637481,0.337953,0.941163,2
map,-3.546023,-3.622114,0.312535,0.949906,2
map,-3.525524,-3.607804,0.296180,0.955132,2
map,-3.504797,-3.593826,0.282147,0.959371,2
map,-3.483494,-3.580742,0.261366,0.965240,2
map,-3.461638,-3.568604,0.241729,0.970344,2
map,-3.439345,-3.557290,0.237564,0.971372,2
map,-3.417284,-3.545529,0.232683,0.972553,2
map,-3.394768,-3.534665,0.209879,0.977727,2
map,-3.371705,-3.525016,0.189015,0.981974,2
map,-3.348346,-3.516106,0.176181,0.984358,2
map,-3.324811,-3.507674,0.161774,0.986828,2
map,-3.300972,-3.500145,0.143436,0.989660,2
map,-3.276877,-3.493481,0.124825,0.992179,2
map,-3.252540,-3.487762,0.107764,0.994177,2
map,-3.228043,-3.482769,0.088807,0.996049,2
map,-3.203341,-3.478919,0.072913,0.997338,2
