tf_odom_map_tran_x,tf_odom_map_tran_y,tf_odom_map_tran_z,tf_odom_map_rot_x,tf_odom_map_rot_y,tf_odom_map_rot_z,tf_odom_map_rot_w
0.024271,0.173960,0.000000,0.000000,0.000000,-0.007714,0.999970
0.024271,0.173960,0.000000,0.000000,0.000000,-0.007714,0.999970
0.024271,0.173960,0.000000,0.000000,0.000000,-0.007714,0.999970
0.024271,0.173960,0.000000,0.000000,0.000000,-0.007714,0.999970
0.024271,0.173960,0.000000,0.000000,0.000000,-0.007714,0.999970
0.024271,0.173960,0.000000,0.000000,0.000000,-0.007714,0.999970
0.024271,0.173960,0.000000,0.000000,0.000000,-0.007714,0.999970
0.033861,0.158227,0.000000,0.000000,0.000000,-0.009520,0.999955
0.033861,0.158227,0.000000,0.000000,0.000000,-0.009520,0.999955
0.033861,0.158227,0.000000,0.000000,0.000000,-0.009520,0.999955
0.033861,0.158227,0.000000,0.000000,0.000000,-0.009520,0.999955
0.050487,0.143271,0.000000,0.000000,0.000000,-0.011586,0.999933
0.050487,0.143271,0.000000,0.000000,0.000000,-0.011586,0.999933
0.050487,0.143271,0.000000,0.000000,0.000000,-0.011586,0.999933
0.050487,0.143271,0.000000,0.000000,0.000000,-0.011586,0.999933
0.003653,0.171308,0.000000,0.000000,0.000000,-0.007006,0.999975
0.003653,0.171308,0.000000,0.000000,0.000000,-0.007006,0.999975
0.003653,0.171308,0.000000,0.000000,0.000000,-0.007006,0.999975
0.003653,0.171308,0.000000,0.000000,0.000000,-0.007006,0.999975
0.015604,0.165646,0.000000,0.000000,0.000000,-0.007860,0.999969
0.015604,0.165646,0.000000,0.000000,0.000000,-0.007860,0.999969
0.015604,0.165646,0.000000,0.000000,0.000000,-0.007860,0.999969
0.015604,0.165646,0.000000,0.000000,0.000000,-0.007860,0.999969
0.046823,0.146053,0.000000,0.000000,0.000000,-0.010846,0.999941
0.046823,0.146053,0.000000,0.000000,0.000000,-0.010846,0.999941
0.046823,0.146053,0.000000,0.000000,0.000000,-0.010846,0.999941
0.046823,0.146053,0.000000,0.000000,0.000000,-0.010846,0.999941
0.041081,0.154714,0.000000,0.000000,0.000000,-0.009848,0.999952
