tf_map_odom_tran_x,tf_map_odom_tran_y,tf_map_odom_tran_z,tf_map_odom_rot_x,tf_map_odom_rot_y,tf_map_odom_rot_z,tf_map_odom_rot_w
-0.021584,-0.174314,0.000000,0.000000,0.000000,0.007714,0.999970
-0.021584,-0.174314,0.000000,0.000000,0.000000,0.007714,0.999970
-0.021584,-0.174314,0.000000,0.000000,0.000000,0.007714,0.999970
-0.021584,-0.174314,0.000000,0.000000,0.000000,0.007714,0.999970
-0.021584,-0.174314,0.000000,0.000000,0.000000,0.007714,0.999970
-0.021584,-0.174314,0.000000,0.000000,0.000000,0.007714,0.999970
-0.021584,-0.174314,0.000000,0.000000,0.000000,0.007714,0.999970
-0.030842,-0.158843,0.000000,0.000000,0.000000,0.009520,0.999955
-0.030842,-0.158843,0.000000,0.000000,0.000000,0.009520,0.999955
-0.030842,-0.158843,0.000000,0.000000,0.000000,0.009520,0.999955
-0.030842,-0.158843,0.000000,0.000000,0.000000,0.009520,0.999955
-0.047154,-0.144402,0.000000,0.000000,0.000000,0.011586,0.999933
-0.047154,-0.144402,0.000000,0.000000,0.000000,0.011586,0.999933
-0.047154,-0.144402,0.000000,0.000000,0.000000,0.011586,0.999933
-0.047154,-0.144402,0.000000,0.000000,0.000000,0.011586,0.999933
-0.001253,-0.171343,0.000000,0.000000,0.000000,0.007006,0.999975
-0.001253,-0.171343,0.000000,0.000000,0.000000,0.007006,0.999975
-0.001253,-0.171343,0.000000,0.000000,0.000000,0.007006,0.999975
-0.001253,-0.171343,0.000000,0.000000,0.000000,0.007006,0.999975
-0.012998,-0.165871,0.000000,0.000000,0.000000,0.007860,0.999969
-0.012998,-0.165871,0.000000,0.000000,0.000000,0.007860,0.999969
-0.012998,-0.165871,0.000000,0.000000,0.000000,0.007860,0.999969
-0.012998,-0.165871,0.000000,0.000000,0.000000,0.007860,0.999969
-0.043644,-0.147034,0.000000,0.000000,0.000000,0.010846,0.999941
-0.043644,-0.147034,0.000000,0.000000,0.000000,0.010846,0.999941
-0.043644,-0.147034,0.000000,0.000000,0.000000,0.010846,0.999941
-0.043644,-0.147034,0.000000,0.000000,0.000000,0.010846,0.999941
-0.038026,-0.155493,0.000000,0.000000,0.000000,0.009848,0.999952
-0.038026,-0.155493,0.000000,0.000000,0.000000,0.009848,0.999952
-0.038026,-0.155493,0.000000,0.000000,0.000000,0.009848,0.999952
-0.038026,-0.155493,0.000000,0.000000,0.000000,0.009848,0.999952
-0.042133,-0.156019,0.000000,0.000000,0.000000,0.010564,0.999944
-0.042133,-0.156019,0.000000,0.000000,0.000000,0.010564,0.999944
-0.042133,-0.156019,0.000000,0.000000,0.000000,0.010564,0.999944
-0.042133,-0.156019,0.000000,0.000000,0.000000,0.010564,0.999944
-0.042133,-0.156019,0.000000,0.000000,0.000000,0.010564,0.999944
-0.052992,-0.143149,0.000000,0.000000,0.000000,0.012063,0.999927
