frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID


odom,-0.006717,0.000028,-0.000691,1.000000,2
odom,-0.007334,0.000006,-0.040836,0.999166,2
odom,-0.007909,0.000036,-0.100592,0.994928,2
odom,-0.008398,0.000118,-0.190755,0.981638,2
odom,-0.008788,0.000221,-0.249478,0.968380,2
odom,-0.009098,0.000324,-0.307281,0.951619,2
odom,-0.009307,0.000391,-0.392932,0.919567,2
odom,-0.009416,0.000374,-0.472553,0.881302,2
odom,-0.009426,0.000189,-0.547611,0.836733,2
odom,0.003125,-0.037503,-0.616667,0.787224,2
odom,0.013605,-0.098571,-0.669927,0.742427,2
odom,0.017775,-0.158535,-0.692564,0.721356,2
odom,0.019495,-0.224747,-0.702289,0.711892,2
odom,0.020442,-0.293001,-0.701231,0.712934,2
odom,0.022707,-0.367155,-0.690560,0.723275,2
odom,0.028381,-0.444769,-0.670634,0.741789,2
odom,0.037345,-0.523141,-0.660009,0.751257,2
odom,0.048294,-0.606318,-0.657695,0.753284,2
odom,0.061431,-0.695304,-0.648540,0.761181,2
odom,0.076772,-0.790658,-0.648172,0.761494,2
odom,0.092954,-0.888891,-0.645725,0.763570,2
odom,0.109981,-0.989800,-0.645238,0.763982,2
odom,0.127434,-1.092299,-0.644606,0.764515,2
odom,0.144936,-1.193571,-0.643318,0.765599,2
odom,0.162218,-1.292379,-0.643040,0.765833,2
odom,0.179032,-1.388090,-0.642727,0.766095,2
odom,0.195774,-1.482586,-0.641908,0.766781,2
odom,0.211679,-1.571305,-0.641171,0.767398,2
odom,0.223443,-1.635443,-0.638898,0.769292,2
odom,0.233043,-1.685814,-0.635796,0.771857,2

odom,-0.007112,0.000033,-0.014209,0.999899,3
odom,-0.007918,0.000009,-0.078173,0.996940,3
odom,-0.008618,0.000043,-0.129243,0.991613,3
odom,-0.009205,0.000105,-0.180711,0.983536,3
odom,-0.009575,0.000132,-0.233868,0.972268,3
odom,0.002973,-0.007390,-0.290345,0.956922,3
odom,0.026095,-0.025338,-0.352780,0.935706,3
odom,0.058991,-0.058866,-0.417937,0.908476,3
odom,0.096454,-0.109578,-0.480280,0.877115,3
odom,0.132895,-0.176330,-0.538112,0.842874,3
odom,0.163620,-0.255764,-0.590667,0.806915,3
odom,0.185862,-0.344695,-0.638396,0.769708,3
odom,0.197869,-0.437803,-0.680798,0.732471,3
odom,0.201003,-0.531899,-0.708580,0.705630,3
odom,0.197989,-0.634641,-0.725435,0.688290,3
odom,0.190991,-0.748055,-0.731091,0.682279,3
odom,0.183987,-0.865332,-0.724086,0.689710,3
odom,0.181515,-0.975964,-0.705078,0.709130,3
odom,0.183613,-1.077118,-0.693731,0.720234,3
odom,0.187557,-1.170115,-0.689519,0.724268,3
odom,0.192198,-1.257319,-0.685904,0.727692,3
odom,0.197341,-1.339721,-0.682859,0.730550,3
odom,0.202864,-1.417337,-0.679556,0.733623,3
odom,0.208771,-1.489907,-0.675391,0.737460,3
odom,0.215155,-1.556752,-0.669222,0.743062,3
odom,0.222229,-1.618255,-0.661019,0.750369,3
odom,0.233043,-1.685814,-0.635796,0.771857,3

