cmd_vel_lin_x,cmd_vel_ang_z
0.000000,0.000000
-0.001908,-0.248174
-0.003804,-0.324387
-0.003123,-0.496267
-0.002240,-0.508209
-0.001637,-0.508661
0.056815,-0.520109
0.095430,-0.515775
0.132353,-0.513067
0.170848,-0.519668
0.196447,-0.514644
0.222800,-0.512021
0.244596,-0.521089
0.261803,-0.515771
0.290151,-0.511405
0.326961,-0.514397
0.386562,-0.509413
0.443537,-0.510518
0.459727,-0.507320
0.480147,-0.505423
0.486611,-0.506556
0.500000,-0.503267
0.500000,-0.503703
0.500000,-0.503114
0.500000,-0.503854
0.500000,-0.502263
0.500000,-0.500634
0.500000,-0.500845
0.500000,-0.500355
0.500000,-0.500422
0.500000,-0.500147
0.500000,-0.415357
0.500000,-0.355208
0.500000,-0.252385
0.500000,-0.164289
0.500000,-0.066809
0.500000,-0.235502
0.500000,-0.021242
0.500000,0.122954
0.500000,0.000713
0.500000,0.178500
0.500000,0.288856
0.500000,0.493829
0.500000,0.507573
0.500000,0.507065
0.497278,0.510949
0.495027,0.508632
0.500000,0.502234
0.500000,0.500698
0.500000,0.393052
0.500000,0.349759
0.500000,0.503986
0.500000,0.500411
0.500000,0.464169
0.500000,0.452721
0.500000,0.277284
0.500000,0.199869
0.500000,0.029470
0.500000,-0.063291
0.500000,-0.165422
0.500000,-0.275089
0.500000,-0.316527
0.500000,-0.468807
0.500000,-0.440992
0.500000,-0.499483
0.500000,-0.500880
0.500000,-0.478696
0.500000,-0.500574
0.500000,-0.331682
0.500000,-0.479886
0.500000,-0.389607
0.500000,-0.441039
0.500000,-0.406514
0.500000,-0.329497
0.500000,-0.157729
0.500000,-0.226523
0.500000,-0.138496
0.500000,-0.115444
0.500000,-0.042606
0.500000,0.009081
0.500000,-0.025073
0.500000,0.039755
0.500000,0.004601
0.500000,0.020019
0.500000,0.004261
0.500000,0.005052
0.500000,0.022572
0.500000,0.007545
0.500000,-0.010798
0.500000,-0.014572
0.267444,0.314756
0.170731,0.095287
0.213174,0.111826
0.070060,0.354919
-0.002179,0.078052
-0.005383,-0.096054
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-0.073501,-0.113710
0.000000,0.000000
0.036914,0.174629
0.000000,0.000000
-0.023543,-0.015567
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.048733,0.125643
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-0.008736,-0.068913
0.000000,0.000000
0.000000,0.000000
-0.008329,-0.222103
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.001829,0.256426
0.039529,0.459735
0.000000,0.000000
-0.048595,0.407978
-0.032389,0.398940
-0.008002,-0.344414
-0.020578,0.269896
-0.008427,-0.073401
-0.002064,-0.154173
0.000000,0.000000
-0.038289,-0.229150
-0.040222,-0.082518
-0.012266,-0.002091
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-0.001578,-0.097267
0.000000,0.000000
-0.026812,-0.206505
-0.042874,-0.189683
0.000000,0.000000
-0.087089,0.205325
-0.010266,0.344959
-0.001757,0.510944
-0.011275,0.522226
-0.017323,0.519191
-0.013465,0.511763
-0.012385,0.513240
-0.020051,0.526423
-0.008223,0.516234
-0.017435,0.511208
-0.000891,0.511968
-0.033565,0.525232
-0.025442,0.463841
0.090043,0.506554
0.147217,0.506182
0.229253,0.502444
0.291585,0.480282
0.366505,0.480559
0.387875,0.301843
0.450934,0.531988
0.471053,0.272646
0.481170,0.142499
0.478926,-0.043881
0.500000,-0.101472
0.500000,-0.144396
0.500000,-0.137947
0.500000,-0.148748
0.500000,-0.172659
0.491334,-0.091665
0.489736,-0.179925
0.406268,-0.087047
0.422232,-0.164604
0.257998,-0.076296
0.366338,-0.145536
0.368114,-0.206008
0.360162,-0.141745
0.334465,-0.096461
0.294492,-0.129909
0.289622,-0.065259
0.250130,-0.074317
0.199771,-0.124293
0.187667,-0.108644
0.132107,-0.105824
0.115281,-0.089427
0.083310,-0.131164
0.083906,-0.076960
0.123712,-0.111121
0.094509,-0.090125
0.080811,-0.144882
0.071118,-0.127025
0.069397,-0.145683
0.074062,-0.128373
0.074643,-0.123162
0.115963,-0.066211
0.202782,-0.095490
0.178211,-0.126977
0.202388,-0.085366
0.195959,-0.115802
0.195431,-0.061084
0.170828,-0.091760
0.453634,-0.057333
0.180074,-0.060914
0.140914,-0.085629
0.105158,-0.057874
0.114970,-0.113846
0.120641,-0.112871
0.035241,-0.086113
0.080957,-0.178370
0.098584,-0.213059
-0.016148,-0.111552
-0.150000,-0.237176
-0.080830,-0.149108
-0.046375,-0.046225
-0.020667,-0.112522
-0.052890,-0.129693
-0.115156,-0.203170
-0.055980,-0.104293
-0.077339,-0.102838
-0.114263,-0.191620
-0.034670,-0.001892
-0.014910,-0.058938
-0.045948,-0.186497
-0.030611,-0.100531
-0.075328,-0.222059
-0.034604,-0.084349
-0.021913,-0.133397
-0.057963,-0.235586
-0.071587,-0.111267
-0.044148,-0.114138
-0.027638,-0.056728
-0.008276,-0.106833
-0.004971,-0.113068
0.116779,-0.023364
0.060116,-0.054112
0.130800,-0.023558
0.122528,-0.044728
0.124356,0.069257
0.153507,-0.061523
0.174169,-0.052874
0.198285,-0.030519
-0.000731,-0.028677
0.118069,-0.154180
0.112438,-0.125039
0.072149,-0.100774
0.049876,-0.110066
0.030965,-0.166846
-0.013031,-0.270731
-0.089273,-0.298629
-0.072073,-0.142440
-0.030199,-0.109077
-0.027455,-0.325031
-0.016355,-0.450426
-0.026646,-0.520807
-0.011044,-0.541088
-0.021146,-0.600000
-0.002243,-0.509867
-0.008043,-0.514633
0.014387,-0.516582
-0.150000,-0.542788
0.024718,-0.600000
0.073482,-0.515576
0.092495,-0.557227
0.165061,-0.521320
0.243787,-0.509861
0.367410,-0.349357
0.386503,-0.487435
0.260041,-0.338380
0.336172,-0.141287
0.411288,-0.156489
0.330161,0.202815
0.406452,0.219883
0.373411,0.329508
0.456586,0.203333
0.500000,0.359218
0.477417,0.511251
0.500000,0.514160
0.500000,0.516260
0.500000,0.374729
0.500000,0.357637
0.500000,0.069802
0.500000,0.271741
0.500000,0.072239
0.500000,0.233712
0.500000,0.222556
0.500000,0.141219
0.500000,0.099987
0.500000,0.121492
0.500000,0.306914
0.500000,0.368483
0.500000,0.167778
0.500000,0.085749
0.500000,-0.073548
0.500000,-0.129623
0.500000,0.047083
0.500000,0.156312
0.500000,0.251124
0.500000,0.209970
0.500000,0.124610
0.500000,0.040762
0.500000,-0.042460
0.500000,-0.053222
0.500000,-0.049675
0.500000,-0.008593
0.500000,-0.024832
0.500000,-0.002505
0.500000,-0.070764
0.500000,-0.042618
0.500000,-0.038054
0.500000,-0.026635
0.500000,0.043174
0.500000,-0.010605
0.500000,-0.127762
0.433063,-0.118109
0.459527,0.055677
0.270218,0.039339
0.258069,0.061309
0.179249,-0.178716
0.000000,0.000000
0.000000,0.000000
-0.150000,0.208699
-0.034675,0.277750
0.000000,0.000000
0.000000,0.000000
0.024017,0.149241
0.000000,0.000000
-0.004455,0.144460
0.195597,0.172816
0.000000,0.000000
-0.025607,0.291899
-0.014530,0.535310
0.000000,0.000000
0.000000,0.000000
-0.002534,0.144178
0.000000,0.000000
-0.016706,0.277194
-0.026883,0.349996
-0.058734,0.547219
-0.017802,0.324044
0.015504,0.224704
0.000000,0.000000
-0.073167,0.375831
-0.008776,0.321731
0.063967,0.524945
0.119724,0.515405
0.160179,0.521711
0.200022,0.515450
0.265956,0.506715
0.042516,0.506349
0.279568,0.518938
0.299577,0.468394
0.384193,0.528258
0.281467,0.375913
0.424636,0.511606
0.407510,0.141738
0.449112,0.151535
0.461869,0.151318
0.500000,0.085921
0.448039,0.023687
0.476879,-0.192754
0.353210,-0.368829
0.491292,-0.443723
0.422465,-0.279257
0.194636,-0.522700
0.349913,-0.482479
0.259369,-0.542064
0.287769,-0.497790
0.223837,-0.555021
0.049117,-0.384219
0.107452,-0.515247
0.000000,0.000000
0.063106,-0.511043
0.264554,-0.504477
0.068563,-0.474966
0.119741,-0.499946
0.096404,-0.501258
0.066410,-0.512462
0.000000,0.000000
-0.027661,-0.512097
-0.003433,-0.507636
-0.005789,-0.508338
-0.004639,-0.481683
-0.047479,-0.521642
-0.035381,-0.488974
0.000000,0.000000
-0.011262,-0.480582
-0.016996,-0.250071
-0.064943,-0.294520
0.000000,0.000000
-0.048499,-0.275528
-0.075581,-0.342924
0.000000,0.000000
-0.003787,-0.001469
-0.068265,-0.149979
0.000000,0.000000
-0.008101,0.034677
0.000000,0.000000
-0.006024,0.197580
0.000000,0.000000
-0.019750,0.177701
-0.016854,-0.135623
0.000000,0.000000
-0.004647,-0.099740
0.000000,0.000000
-0.011778,0.339921
-0.038278,-0.181060
0.000000,0.000000
0.034970,-0.009764
-0.022719,-0.192574
0.000000,0.000000
-0.004007,0.191951
0.008363,-0.011419
-0.041090,0.212846
-0.032089,0.470743
0.034623,0.172026
0.038278,0.075676
0.000000,0.000000
-0.009808,-0.225212
-0.005256,-0.290240
0.000000,0.000000
-0.017041,-0.076001
-0.006983,-0.379785
-0.008202,0.045748
-0.007900,0.168589
0.000000,0.000000
-0.031459,-0.173801
-0.045380,-0.394632
0.000733,-0.184895
-0.078789,-0.082190
0.000000,0.000000
-0.012269,0.036366
0.003894,0.168479
0.000000,0.000000
-0.097883,0.213874
0.000000,0.000000
-0.013063,0.254904
0.000000,0.000000
-0.001137,0.212246
0.070539,-0.082555
0.000000,0.000000
0.064910,-0.141190
0.000000,0.000000
-0.018173,0.188501
-0.016608,-0.177755
-0.085993,0.331966
0.000000,0.000000
-0.023711,0.217339
-0.150000,0.128682
-0.081029,0.237619
-0.054040,-0.090122
-0.046057,-0.033798
0.000000,0.000000
-0.147888,0.195239
-0.009962,-0.069735
0.000000,0.000000
0.005131,-0.324268
0.078639,-0.075986
0.000000,0.000000
-0.117976,-0.390202
0.000000,0.000000
-0.007970,0.020216
0.009728,-0.138060
0.000000,0.000000
-0.013215,-0.126731
0.000000,0.000000
-0.014480,-0.441372
-0.034330,-0.084147
-0.019726,-0.370544
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.031521,-0.065635
-0.103329,0.369094
0.000000,0.000000
-0.014579,0.227596
-0.019616,0.268175
-0.034214,0.382409
-0.016557,0.165184
-0.005999,0.346527
0.040858,0.456732
0.000000,0.000000
-0.000477,-0.013123
-0.029217,-0.066706
-0.001630,-0.364385
0.068662,-0.028865
0.048271,-0.372501
0.000000,0.000000
-0.000380,-0.302084
-0.012895,-0.194400
0.000000,0.000000
-0.000806,-0.192783
-0.150000,0.319588
-0.023436,0.093810
0.012811,-0.071692
0.081360,-0.071876
0.000000,0.000000
-0.029693,0.101548
0.029972,-0.179920
-0.059682,-0.135160
0.000000,0.000000
-0.031378,-0.045191
-0.020879,0.147287
0.000000,0.000000
-0.007702,0.132142
-0.086025,-0.213147
0.003836,-0.156374
0.000000,0.000000
-0.007394,-0.217658
0.000000,0.000000
-0.040407,-0.314273
-0.020076,-0.324537
0.000000,0.000000
0.005538,-0.441369
0.200376,-0.269125
0.027387,-0.062169
0.134754,-0.312541
0.044659,0.161199
0.000000,0.000000
0.036740,0.136843
0.023803,-0.095218
-0.150000,0.289122
-0.033751,0.159991
-0.004181,0.377118
0.000000,0.000000
0.028062,0.192779
0.000000,0.000000
0.018412,0.176854
0.062427,-0.050677
0.000000,0.000000
0.018269,0.176537
