frame,local_costmap_resolution,local_costmap_width,local_costmap_height,local_costmap_origin_pos_x,local_costmap_origin_pos_y,local_costmap_origin_orientation_z,local_costmap_origin_orientation_w
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
odom,0.025000,160,160,2.225000,-6.375000,0.000000,1.000000
odom,0.025000,160,160,2.225000,-6.375000,0.000000,1.000000
odom,0.025000,160,160,2.225000,-6.375000,0.000000,1.000000
odom,0.025000,160,160,2.225000,-6.375000,0.000000,1.000000
odom,0.025000,160,160,2.225000,-6.375000,0.000000,1.000000
odom,0.025000,160,160,2.225000,-6.375000,0.000000,1.000000
odom,0.025000,160,160,2.225000,-6.375000,0.000000,1.000000
odom,0.025000,160,160,2.225000,-6.375000,0.000000,1.000000
odom,0.025000,160,160,2.225000,-6.375000,0.000000,1.000000
odom,0.025000,160,160,2.225000,-6.375000,0.000000,1.000000
odom,0.025000,160,160,2.225000,-6.375000,0.000000,1.000000
odom,0.025000,160,160,2.075000,-6.125000,0.000000,1.000000
odom,0.025000,160,160,2.075000,-6.125000,0.000000,1.000000
odom,0.025000,160,160,2.075000,-6.125000,0.000000,1.000000
odom,0.025000,160,160,2.075000,-6.125000,0.000000,1.000000
odom,0.025000,160,160,2.075000,-6.125000,0.000000,1.000000
odom,0.025000,160,160,2.075000,-6.125000,0.000000,1.000000
odom,0.025000,160,160,2.075000,-6.125000,0.000000,1.000000
odom,0.025000,160,160,2.075000,-6.125000,0.000000,1.000000
odom,0.025000,160,160,2.075000,-6.125000,0.000000,1.000000
odom,0.025000,160,160,2.075000,-6.125000,0.000000,1.000000
odom,0.025000,160,160,2.075000,-6.125000,0.000000,1.000000
odom,0.025000,160,160,1.675000,-5.900000,0.000000,1.000000
odom,0.025000,160,160,1.675000,-5.900000,0.000000,1.000000
odom,0.025000,160,160,1.675000,-5.900000,0.000000,1.000000
odom,0.025000,160,160,1.675000,-5.900000,0.000000,1.000000
odom,0.025000,160,160,1.675000,-5.900000,0.000000,1.000000
odom,0.025000,160,160,1.675000,-5.900000,0.000000,1.000000
odom,0.025000,160,160,1.675000,-5.900000,0.000000,1.000000
odom,0.025000,160,160,1.675000,-5.900000,0.000000,1.000000
odom,0.025000,160,160,1.675000,-5.900000,0.000000,1.000000
odom,0.025000,160,160,1.675000,-5.900000,0.000000,1.000000
odom,0.025000,160,160,1.675000,-5.900000,0.000000,1.000000
odom,0.025000,160,160,1.125000,-5.875000,0.000000,1.000000
odom,0.025000,160,160,1.125000,-5.875000,0.000000,1.000000
odom,0.025000,160,160,1.125000,-5.875000,0.000000,1.000000
odom,0.025000,160,160,1.125000,-5.875000,0.000000,1.000000
odom,0.025000,160,160,1.125000,-5.875000,0.000000,1.000000
odom,0.025000,160,160,1.125000,-5.875000,0.000000,1.000000
odom,0.025000,160,160,1.125000,-5.875000,0.000000,1.000000
odom,0.025000,160,160,1.125000,-5.875000,0.000000,1.000000
odom,0.025000,160,160,1.125000,-5.875000,0.000000,1.000000
odom,0.025000,160,160,1.125000,-5.875000,0.000000,1.000000
odom,0.025000,160,160,1.125000,-5.875000,0.000000,1.000000
odom,0.025000,160,160,0.600000,-5.850000,0.000000,1.000000
odom,0.025000,160,160,0.600000,-5.850000,0.000000,1.000000
odom,0.025000,160,160,0.600000,-5.850000,0.000000,1.000000
odom,0.025000,160,160,0.600000,-5.850000,0.000000,1.000000
odom,0.025000,160,160,0.600000,-5.850000,0.000000,1.000000
odom,0.025000,160,160,0.600000,-5.850000,0.000000,1.000000
odom,0.025000,160,160,0.600000,-5.850000,0.000000,1.000000
odom,0.025000,160,160,0.600000,-5.850000,0.000000,1.000000
odom,0.025000,160,160,0.600000,-5.850000,0.000000,1.000000
odom,0.025000,160,160,0.600000,-5.850000,0.000000,1.000000
odom,0.025000,160,160,0.600000,-5.850000,0.000000,1.000000
odom,0.025000,160,160,0.125000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,0.125000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,0.125000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,0.125000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,0.125000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,0.125000,-5.550000,0.000000,1.000000
odom,0.025000,160,160,0.125000,-5.550000,0.000000,1.000000
