ID,label,cy,cx,dy,dx,cx_map,cy_map,tl_map_x,tl_map_y,tr_map_x,tr_map_y,bl_map_x,bl_map_y,br_map_x,br_map_y,dx_map,dy_map
1,wall_1,0,0,0,0,0.01955,3.15158,-2.98045,3.27658,3.01955,3.27658,-2.98045,3.02658,3.01955,3.02658,6,0.25
2,wall_2,1,1,1,1,4.97742,3.15249,2.97742,3.27749,6.97742,3.27749,2.97742,3.02749,6.97742,3.02749,4,0.25
3,wall_3,2,2,2,2,6.88702423682,-0.423122885587,6.76202423682,3.076877114413,7.01202423682,3.076877114413,6.76202423682,-3.923122885587,7.01202423682,-3.923122885587,0.25,7
4,wall_4,3,3,3,3,4.95386,-3.99874,2.95386,-3.87374,6.95386,-3.87374,2.95386,-4.12374,6.95386,-4.12374,4,0.25
5,wall_5,4,4,4,4,0.04119,-3.99907,-2.95881,-3.87407,3.04119,-3.87407,-2.95881,-4.12407,3.04119,-4.12407,6,0.25
6,wall_6,5,5,5,5,-2.90993420523,-0.423100393774,-3.03493420523,3.076899606226,-2.78493420523,3.076899606226,-3.03493420523,-3.923100393774,-2.78493420523,-3.923100393774,0.25,7
7,wall_7,6,6,6,6,3.03459,1.57191,2.90959,3.07191,3.15959,3.07191,2.90959,0.07191,3.15959,0.07191,0.25,3
8,wall_8,7,7,7,7,2.98379,-2.43847,2.85879,-0.93847,3.10879,-0.93847,2.85879,-3.93847,3.10879,-3.93847,0.25,3
