frame,child_frame,odom_position_x,odom_position_y,odom_orientation_z,odom_orientation_w,odom_linear_x,odom_angular_z
/odom,/base_footprint,0.981818,0.713062,0.729623,0.683850,0.000022,0.000044
/odom,/base_footprint,0.981818,0.713064,0.729613,0.683860,-0.000025,0.002565
/odom,/base_footprint,0.981822,0.712991,0.730575,0.682833,-0.001279,0.095403
/odom,/base_footprint,0.981835,0.712821,0.735663,0.677348,-0.003276,0.259922
/odom,/base_footprint,0.981880,0.712395,0.752804,0.658244,-0.002984,0.474326
/odom,/base_footprint,0.981919,0.712150,0.765987,0.642856,-0.003101,0.510976
/odom,/base_footprint,0.981968,0.711900,0.778974,0.627057,-0.003391,0.511326
/odom,/base_footprint,0.982086,0.711439,0.801054,0.598592,-0.003262,0.517938
/odom,/base_footprint,0.982174,0.711163,0.813214,0.581964,-0.003712,0.513495
/odom,/base_footprint,0.982348,0.710701,0.830712,0.556702,-0.004348,0.511310
/odom,/base_footprint,0.982478,0.710402,0.841957,0.539545,-0.004014,0.513385
/odom,/base_footprint,0.982705,0.709946,0.858132,0.513429,-0.004398,0.510927
/odom,/base_footprint,0.982894,0.709614,0.871058,0.491180,-0.003634,0.516740
/odom,/base_footprint,0.983071,0.709335,0.880962,0.473187,-0.004176,0.511977
/odom,/base_footprint,0.983310,0.708994,0.892802,0.450450,-0.004274,0.513597
/odom,/base_footprint,0.983588,0.708639,0.906304,0.422626,-0.003418,0.517220
/odom,/base_footprint,0.983792,0.708407,0.914799,0.403909,-0.004013,0.512457
/odom,/base_footprint,0.984127,0.708061,0.926808,0.375537,-0.003942,0.514588
/odom,/base_footprint,0.984432,0.707780,0.936127,0.351662,-0.004207,0.511830
/odom,/base_footprint,0.984705,0.707551,0.943114,0.332469,-0.004571,0.510094
/odom,/base_footprint,0.985099,0.707253,0.952882,0.303342,-0.003843,0.513507
/odom,/base_footprint,0.985433,0.707029,0.960329,0.278870,-0.004021,0.511170
/odom,/base_footprint,0.985702,0.706866,0.965849,0.259104,-0.003944,0.513877
/odom,/base_footprint,0.986025,0.706690,0.972194,0.234176,-0.003492,0.515073
/odom,/base_footprint,0.986425,0.706501,0.978947,0.204115,-0.003788,0.513954
/odom,/base_footprint,0.986724,0.706378,0.982914,0.184063,-0.004092,0.510879
