ID,label,cx,cy
1,wall_1,23,96.5
2,wall_2,102.5,170
3,wall_3,182.5,235.5
4,wall_4,103,300.5
5,wall_5,23.5,355.5
6,wall_6,164,411
7,wall_7,303.5,217
8,wall_8,163.5,23
9,cabinet,195,224.5
10,table,280,224
