tf_map_odom_tran_x,tf_map_odom_tran_y,tf_map_odom_tran_z,tf_map_odom_rot_x,tf_map_odom_rot_y,tf_map_odom_rot_z,tf_map_odom_rot_w
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.003520,-0.153036,0.000000,0.000000,0.000000,0.007484,0.999972
0.018641,-0.157808,0.000000,0.000000,0.000000,0.006383,0.999980
0.018641,-0.157808,0.000000,0.000000,0.000000,0.006383,0.999980
0.018641,-0.157808,0.000000,0.000000,0.000000,0.006383,0.999980
0.018641,-0.157808,0.000000,0.000000,0.000000,0.006383,0.999980
0.029408,-0.171275,0.000000,0.000000,0.000000,0.005626,0.999984
0.029408,-0.171275,0.000000,0.000000,0.000000,0.005626,0.999984
0.029408,-0.171275,0.000000,0.000000,0.000000,0.005626,0.999984
0.029408,-0.171275,0.000000,0.000000,0.000000,0.005626,0.999984
0.029408,-0.171275,0.000000,0.000000,0.000000,0.005626,0.999984
0.028544,-0.174883,0.000000,0.000000,0.000000,0.005767,0.999983
0.028544,-0.174883,0.000000,0.000000,0.000000,0.005767,0.999983
0.028544,-0.174883,0.000000,0.000000,0.000000,0.005767,0.999983
0.028544,-0.174883,0.000000,0.000000,0.000000,0.005767,0.999983
0.045409,-0.180298,0.000000,0.000000,0.000000,0.004525,0.999990
0.045409,-0.180298,0.000000,0.000000,0.000000,0.004525,0.999990
0.045409,-0.180298,0.000000,0.000000,0.000000,0.004525,0.999990
0.045409,-0.180298,0.000000,0.000000,0.000000,0.004525,0.999990
0.045409,-0.180298,0.000000,0.000000,0.000000,0.004525,0.999990
0.050351,-0.182326,0.000000,0.000000,0.000000,0.003647,0.999993
0.050351,-0.182326,0.000000,0.000000,0.000000,0.003647,0.999993
0.050351,-0.182326,0.000000,0.000000,0.000000,0.003647,0.999993
0.050351,-0.182326,0.000000,0.000000,0.000000,0.003647,0.999993
0.063685,-0.180353,0.000000,0.000000,0.000000,0.002715,0.999996
0.063685,-0.180353,0.000000,0.000000,0.000000,0.002715,0.999996
0.063685,-0.180353,0.000000,0.000000,0.000000,0.002715,0.999996
0.063685,-0.180353,0.000000,0.000000,0.000000,0.002715,0.999996
0.063685,-0.180353,0.000000,0.000000,0.000000,0.002715,0.999996
0.064795,-0.193406,0.000000,0.000000,0.000000,0.002249,0.999997
0.064795,-0.193406,0.000000,0.000000,0.000000,0.002249,0.999997
0.064795,-0.193406,0.000000,0.000000,0.000000,0.002249,0.999997
0.064795,-0.193406,0.000000,0.000000,0.000000,0.002249,0.999997
0.064795,-0.193406,0.000000,0.000000,0.000000,0.002249,0.999997
0.077931,-0.205979,0.000000,0.000000,0.000000,0.001610,0.999999
0.077931,-0.205979,0.000000,0.000000,0.000000,0.001610,0.999999
0.077931,-0.205979,0.000000,0.000000,0.000000,0.001610,0.999999
0.077931,-0.205979,0.000000,0.000000,0.000000,0.001610,0.999999
0.077931,-0.205979,0.000000,0.000000,0.000000,0.001610,0.999999
0.040111,-0.191571,0.000000,0.000000,0.000000,0.003730,0.999993
0.040111,-0.191571,0.000000,0.000000,0.000000,0.003730,0.999993
0.040111,-0.191571,0.000000,0.000000,0.000000,0.003730,0.999993
0.040111,-0.191571,0.000000,0.000000,0.000000,0.003730,0.999993
0.040111,-0.191571,0.000000,0.000000,0.000000,0.003730,0.999993
0.028447,-0.180095,0.000000,0.000000,0.000000,0.004037,0.999992
0.028447,-0.180095,0.000000,0.000000,0.000000,0.004037,0.999992
0.028447,-0.180095,0.000000,0.000000,0.000000,0.004037,0.999992
0.028447,-0.180095,0.000000,0.000000,0.000000,0.004037,0.999992
0.028447,-0.180095,0.000000,0.000000,0.000000,0.004037,0.999992
0.028871,-0.179461,0.000000,0.000000,0.000000,0.003867,0.999993
0.028871,-0.179461,0.000000,0.000000,0.000000,0.003867,0.999993
0.028871,-0.179461,0.000000,0.000000,0.000000,0.003867,0.999993
0.028871,-0.179461,0.000000,0.000000,0.000000,0.003867,0.999993
0.028871,-0.179461,0.000000,0.000000,0.000000,0.003867,0.999993
-0.007266,-0.165388,0.000000,0.000000,0.000000,0.006239,0.999981
-0.007266,-0.165388,0.000000,0.000000,0.000000,0.006239,0.999981
-0.007266,-0.165388,0.000000,0.000000,0.000000,0.006239,0.999981
-0.007266,-0.165388,0.000000,0.000000,0.000000,0.006239,0.999981
-0.007266,-0.165388,0.000000,0.000000,0.000000,0.006239,0.999981
-0.007266,-0.165388,0.000000,0.000000,0.000000,0.006239,0.999981
-0.016670,-0.154327,0.000000,0.000000,0.000000,0.006393,0.999980
-0.016670,-0.154327,0.000000,0.000000,0.000000,0.006393,0.999980
-0.016670,-0.154327,0.000000,0.000000,0.000000,0.006393,0.999980
-0.016670,-0.154327,0.000000,0.000000,0.000000,0.006393,0.999980
-0.016670,-0.154327,0.000000,0.000000,0.000000,0.006393,0.999980
-0.016670,-0.154327,0.000000,0.000000,0.000000,0.006393,0.999980
-0.028990,-0.141183,0.000000,0.000000,0.000000,0.007149,0.999974
-0.028990,-0.141183,0.000000,0.000000,0.000000,0.007149,0.999974
