frame,footprint_x,footprint_y,footprint_z,ID
odom,-4.309680,-6.737845,0.000000,0
odom,-4.195520,-6.764029,0.000000,0
odom,-4.090030,-6.744408,0.000000,0
odom,-4.000078,-6.685912,0.000000,0
odom,-3.939359,-6.597445,0.000000,0
odom,-3.909233,-6.474094,0.000000,0
odom,-3.928854,-6.368604,0.000000,0
odom,-3.987351,-6.278652,0.000000,0
odom,-4.075818,-6.217933,0.000000,0
odom,-4.199168,-6.187808,0.000000,0
odom,-4.304658,-6.207428,0.000000,0
odom,-4.394610,-6.265925,0.000000,0
odom,-4.455329,-6.354392,0.000000,0
odom,-4.485455,-6.477742,0.000000,0
odom,-4.465834,-6.583233,0.000000,0
odom,-4.407337,-6.673184,0.000000,0

odom,-4.309680,-6.737845,0.000000,1
odom,-4.195520,-6.764029,0.000000,1
odom,-4.090030,-6.744408,0.000000,1
odom,-4.000078,-6.685912,0.000000,1
odom,-3.939359,-6.597445,0.000000,1
odom,-3.909233,-6.474094,0.000000,1
odom,-3.928854,-6.368604,0.000000,1
odom,-3.987351,-6.278652,0.000000,1
odom,-4.075818,-6.217933,0.000000,1
odom,-4.199168,-6.187808,0.000000,1
odom,-4.304658,-6.207428,0.000000,1
odom,-4.394610,-6.265925,0.000000,1
odom,-4.455329,-6.354392,0.000000,1
odom,-4.485455,-6.477742,0.000000,1
odom,-4.465834,-6.583233,0.000000,1
odom,-4.407337,-6.673184,0.000000,1

odom,-4.309337,-6.737688,0.000000,2
odom,-4.195154,-6.763771,0.000000,2
odom,-4.089681,-6.744056,0.000000,2
odom,-3.999781,-6.685480,0.000000,2
odom,-3.939141,-6.596959,0.000000,2
odom,-3.909125,-6.473582,0.000000,2
odom,-3.928840,-6.368109,0.000000,2
odom,-3.987416,-6.278209,0.000000,2
odom,-4.075937,-6.217568,0.000000,2
odom,-4.199314,-6.187553,0.000000,2
odom,-4.304787,-6.207267,0.000000,2
odom,-4.394687,-6.265844,0.000000,2
odom,-4.455327,-6.354365,0.000000,2
odom,-4.485343,-6.477741,0.000000,2
odom,-4.465629,-6.583214,0.000000,2
odom,-4.407052,-6.673114,0.000000,2

odom,-4.309337,-6.737688,0.000000,3
odom,-4.195154,-6.763771,0.000000,3
odom,-4.089681,-6.744056,0.000000,3
odom,-3.999781,-6.685480,0.000000,3
odom,-3.939141,-6.596959,0.000000,3
odom,-3.909125,-6.473582,0.000000,3
odom,-3.928840,-6.368109,0.000000,3
odom,-3.987416,-6.278209,0.000000,3
odom,-4.075937,-6.217568,0.000000,3
odom,-4.199314,-6.187553,0.000000,3
odom,-4.304787,-6.207267,0.000000,3
odom,-4.394687,-6.265844,0.000000,3
odom,-4.455327,-6.354365,0.000000,3
odom,-4.485343,-6.477741,0.000000,3
odom,-4.465629,-6.583214,0.000000,3
