frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
odom,-4.256890,-7.872982,-0.330030,0.943970,7
odom,-4.010094,-8.117164,-0.432926,0.901429,7
odom,-4.002150,-8.128023,-0.464377,0.885638,7
odom,-3.986252,-8.150402,-0.482012,0.876164,7
odom,-3.971441,-8.171491,-0.473141,0.880987,7

odom,-4.205214,-6.489609,-0.864782,0.502147,8
odom,-4.282965,-6.608166,-0.867401,0.497610,8
odom,-4.311483,-6.646438,-0.839794,0.542905,8
odom,-4.316369,-6.634933,-0.828287,0.560304,8
odom,-4.320020,-6.621400,-0.814828,0.579704,8
odom,-4.322997,-6.614211,-0.841228,0.540680,8
odom,-4.406233,-6.754046,-0.876844,0.480775,8
odom,-4.524382,-6.974859,-0.830605,0.556862,8
odom,-4.558802,-7.079487,-0.765652,0.643255,8
odom,-4.574283,-7.177129,-0.722232,0.691651,8
odom,-4.544846,-7.435677,-0.604353,0.796717,8
odom,-4.493981,-7.577248,-0.565642,0.824651,8
odom,-4.460491,-7.651020,-0.530996,0.847374,8
odom,-4.423576,-7.711056,-0.493188,0.869923,8
odom,-4.302092,-7.867206,-0.391947,0.919988,8
odom,-4.123232,-8.038146,-0.359508,0.933142,8
odom,-4.004155,-8.145964,-0.392460,0.919769,8
odom,-3.977620,-8.171541,-0.436991,0.899466,8
odom,-3.957684,-8.192366,-0.472469,0.881347,8

odom,-4.205214,-6.489609,-0.864782,0.502147,9
odom,-4.282965,-6.608166,-0.867401,0.497610,9
odom,-4.311483,-6.646438,-0.839794,0.542905,9
odom,-4.316369,-6.634933,-0.828287,0.560304,9
odom,-4.320020,-6.621400,-0.814828,0.579704,9
odom,-4.322997,-6.614211,-0.841228,0.540680,9
odom,-4.406233,-6.754046,-0.876844,0.480775,9
odom,-4.524382,-6.974859,-0.830605,0.556862,9
odom,-4.558802,-7.079487,-0.765652,0.643255,9
odom,-4.574283,-7.177129,-0.722232,0.691651,9
odom,-4.544846,-7.435677,-0.604353,0.796717,9
odom,-4.493981,-7.577248,-0.565642,0.824651,9
odom,-4.460491,-7.651020,-0.530996,0.847374,9
odom,-4.423576,-7.711056,-0.493188,0.869923,9
odom,-4.302092,-7.867206,-0.391947,0.919988,9
odom,-4.123232,-8.038146,-0.359508,0.933142,9
odom,-4.004155,-8.145964,-0.392460,0.919769,9
odom,-3.977620,-8.171541,-0.436991,0.899466,9
odom,-3.957684,-8.192366,-0.472469,0.881347,9

odom,-4.229242,-6.528005,-0.881170,0.472800,10
odom,-4.248783,-6.557724,-0.876529,0.481349,10
odom,-4.262707,-6.580630,-0.868300,0.496039,10
odom,-4.280275,-6.613817,-0.850332,0.526247,10
odom,-4.304607,-6.676176,-0.806067,0.591824,10
odom,-4.321365,-6.748154,-0.768057,0.640381,10
odom,-4.332496,-6.863863,-0.715709,0.698399,10
odom,-4.331876,-7.014208,-0.696848,0.717219,10
odom,-4.329254,-7.208374,-0.708248,0.705964,10
odom,-4.323774,-7.431085,-0.688175,0.725545,10
odom,-4.295809,-7.635432,-0.624633,0.780918,10
odom,-4.250417,-7.781793,-0.558232,0.829685,10
odom,-4.210467,-7.867131,-0.512579,0.858640,10
odom,-4.164804,-7.942224,-0.464975,0.885324,10
odom,-4.117060,-8.006471,-0.430523,0.902580,10
odom,-4.068609,-8.063908,-0.409373,0.912367,10
odom,-4.023289,-8.114628,-0.404618,0.914486,10
odom,-3.986427,-8.156704,-0.418158,0.908374,10
odom,-3.961091,-8.188564,-0.447134,0.894467,10
odom,-3.943864,-8.213198,-0.472132,0.881528,10

odom,-4.229242,-6.528005,-0.881170,0.472800,11
odom,-4.248783,-6.557724,-0.876529,0.481349,11
odom,-4.262707,-6.580630,-0.868300,0.496039,11
odom,-4.280275,-6.613817,-0.850332,0.526247,11
odom,-4.304607,-6.676176,-0.806067,0.591824,11
odom,-4.321365,-6.748154,-0.768057,0.640381,11
odom,-4.332496,-6.863863,-0.715709,0.698399,11
odom,-4.331876,-7.014208,-0.696848,0.717219,11
odom,-4.329254,-7.208374,-0.708248,0.705964,11
odom,-4.323774,-7.431085,-0.688175,0.725545,11
odom,-4.295809,-7.635432,-0.624633,0.780918,11
odom,-4.250417,-7.781793,-0.558232,0.829685,11
odom,-4.210467,-7.867131,-0.512579,0.858640,11
odom,-4.164804,-7.942224,-0.464975,0.885324,11
odom,-4.117060,-8.006471,-0.430523,0.902580,11
odom,-4.068609,-8.063908,-0.409373,0.912367,11
odom,-4.023289,-8.114628,-0.404618,0.914486,11
odom,-3.986427,-8.156704,-0.418158,0.908374,11
odom,-3.961091,-8.188564,-0.447134,0.894467,11
odom,-3.943864,-8.213198,-0.472132,0.881528,11

odom,-4.251335,-6.561296,-0.878435,0.477862,12
odom,-4.288978,-6.631035,-0.846084,0.533050,12
odom,-4.315075,-6.699257,-0.810691,0.585475,12
odom,-4.342223,-6.812087,-0.765251,0.643732,12
odom,-4.358541,-6.972688,-0.721143,0.692787,12
odom,-4.358618,-7.147500,-0.694927,0.719080,12
odom,-4.350238,-7.322365,-0.685778,0.727811,12
odom,-4.332206,-7.501707,-0.655372,0.755307,12
odom,-4.299790,-7.660100,-0.607276,0.794491,12
odom,-4.256070,-7.787374,-0.551140,0.834413,12
odom,-4.213894,-7.874602,-0.505704,0.862707,12
odom,-4.148711,-7.974545,-0.441578,0.897223,12
odom,-4.094455,-8.040925,-0.408635,0.912698,12
odom,-4.050041,-8.090067,-0.394652,0.918831,12
odom,-4.009258,-8.134148,-0.397147,0.917755,12
odom,-3.973674,-8.174551,-0.416039,0.909347,12
odom,-3.948702,-8.206756,-0.450702,0.892675,12
odom,-3.931475,-8.232270,-0.470981,0.882143,12

odom,-4.251335,-6.561296,-0.878435,0.477862,13
odom,-4.288978,-6.631035,-0.846084,0.533050,13
odom,-4.315075,-6.699257,-0.810691,0.585475,13
odom,-4.342223,-6.812087,-0.765251,0.643732,13
odom,-4.358541,-6.972688,-0.721143,0.692787,13
odom,-4.358618,-7.147500,-0.694927,0.719080,13
odom,-4.350238,-7.322365,-0.685778,0.727811,13
odom,-4.332206,-7.501707,-0.655372,0.755307,13
odom,-4.299790,-7.660100,-0.607276,0.794491,13
odom,-4.256070,-7.787374,-0.551140,0.834413,13
odom,-4.213894,-7.874602,-0.505704,0.862707,13
odom,-4.148711,-7.974545,-0.441578,0.897223,13
odom,-4.094455,-8.040925,-0.408635,0.912698,13
odom,-4.050041,-8.090067,-0.394652,0.918831,13
odom,-4.009258,-8.134148,-0.397147,0.917755,13
odom,-3.973674,-8.174551,-0.416039,0.909347,13
odom,-3.948702,-8.206756,-0.450702,0.892675,13
odom,-3.931475,-8.232270,-0.470981,0.882143,13

odom,-4.265666,-6.584101,-0.871570,0.490271,14
odom,-4.296079,-6.642238,-0.847168,0.531324,14
odom,-4.325645,-6.712710,-0.826171,0.563419,14
odom,-4.361139,-6.827744,-0.787391,0.616454,14
odom,-4.392021,-7.009617,-0.742435,0.669918,14
odom,-4.398338,-7.219420,-0.692851,0.721081,14
odom,-4.370789,-7.436764,-0.628279,0.777988,14
odom,-4.314898,-7.652864,-0.595055,0.803685,14
odom,-4.258099,-7.800609,-0.534248,0.845328,14
odom,-4.211697,-7.887448,-0.488481,0.872574,14
odom,-4.149346,-7.978202,-0.437585,0.899177,14
odom,-4.096041,-8.043108,-0.410740,0.911753,14
odom,-4.036075,-8.109881,-0.397959,0.917403,14
odom,-3.991714,-8.158768,-0.404460,0.914556,14
odom,-3.954340,-8.202788,-0.427211,0.904152,14
odom,-3.917591,-8.253059,-0.470556,0.882370,14

odom,-4.281273,-6.611163,-0.860018,0.510264,15
odom,-4.308247,-6.669955,-0.835090,0.550113,15
odom,-4.330854,-6.734905,-0.809515,0.587100,15
odom,-4.365007,-6.878860,-0.764793,0.644276,15
odom,-4.381793,-7.018756,-0.736603,0.676326,15
odom,-4.386896,-7.151270,-0.708651,0.705559,15
odom,-4.381471,-7.285320,-0.679023,0.734117,15
odom,-4.367636,-7.415200,-0.659289,0.751890,15
odom,-4.339136,-7.566375,-0.616483,0.787368,15
odom,-4.303728,-7.691397,-0.587774,0.809025,15
odom,-4.259050,-7.806723,-0.538755,0.842463,15
odom,-4.221526,-7.880558,-0.500413,0.865787,15
odom,-4.174079,-7.955068,-0.455375,0.890300,15
odom,-4.109905,-8.036455,-0.411887,0.911235,15
odom,-4.040977,-8.111858,-0.389315,0.921105,15
odom,-3.996996,-8.158197,-0.391550,0.920157,15
odom,-3.958205,-8.201025,-0.409799,0.912176,15
odom,-3.927149,-8.239902,-0.446343,0.894862,15
odom,-3.903698,-8.273844,-0.470122,0.882602,15

odom,-4.297623,-6.643065,-0.846382,0.532577,16
odom,-4.335999,-6.741236,-0.808748,0.588155,16
odom,-4.361678,-6.852704,-0.761458,0.648214,16
odom,-4.374961,-6.991320,-0.722271,0.691610,16
odom,-4.374667,-7.156281,-0.692701,0.721225,16
odom,-4.363424,-7.339394,-0.678461,0.734636,16
odom,-4.336112,-7.534211,-0.633376,0.773844,16
odom,-4.292539,-7.701766,-0.588519,0.808484,16
odom,-4.248366,-7.817034,-0.541676,0.840587,16
odom,-4.205378,-7.901324,-0.497991,0.867182,16
odom,-4.152468,-7.982240,-0.447789,0.894139,16
odom,-4.101695,-8.046431,-0.417123,0.908850,16
odom,-4.049311,-8.105780,-0.398817,0.917030,16
odom,-4.004312,-8.154510,-0.395495,0.918468,16
odom,-3.962442,-8.200613,-0.406035,0.913857,16
odom,-3.925161,-8.245391,-0.434190,0.900821,16
odom,-3.889749,-8.294591,-0.469781,0.882783,16

odom,-4.313622,-6.678814,-0.832211,0.554459,17
odom,-4.396389,-6.902517,-0.807844,0.589396,17
odom,-4.438998,-7.083503,-0.758687,0.651455,17
odom,-4.455423,-7.236512,-0.729211,0.684289,17
odom,-4.455587,-7.402716,-0.683566,0.729889,17
odom,-4.424238,-7.595284,-0.610214,0.792237,17
odom,-4.370590,-7.745736,-0.541876,0.840459,17
odom,-4.318872,-7.843279,-0.490896,0.871218,17
odom,-4.234713,-7.960122,-0.421725,0.906724,17
odom,-4.166069,-8.034471,-0.382266,0.924052,17
odom,-4.096379,-8.100231,-0.358311,0.933602,17
odom,-4.031499,-8.157466,-0.351208,0.936298,17
odom,-3.972577,-8.209751,-0.361231,0.932476,17
odom,-3.924291,-8.256150,-0.388543,0.921431,17
odom,-3.888448,-8.296558,-0.435190,0.900338,17
odom,-3.860989,-8.333681,-0.469417,0.882977,17

odom,-4.329205,-6.718957,-0.819255,0.573430,18
odom,-4.357937,-6.817072,-0.786062,0.618148,18
odom,-4.370600,-6.884066,-0.765292,0.643683,18
odom,-4.388398,-7.034611,-0.734157,0.678980,18
odom,-4.390497,-7.159532,-0.694808,0.719195,18
odom,-4.377311,-7.329653,-0.664044,0.747693,18
odom,-4.355800,-7.481290,-0.647307,0.762229,18
odom,-4.285402,-7.748800,-0.572128,0.820165,18
odom,-4.212862,-7.905470,-0.502151,0.864780,18
odom,-4.135345,-8.021399,-0.436512,0.899699,18
odom,-4.067056,-8.102139,-0.400665,0.916225,18
odom,-4.002705,-8.169770,-0.382831,0.923818,18
odom,-3.947310,-8.227579,-0.396993,0.917822,18
odom,-3.898850,-8.283751,-0.430364,0.902656,18
odom,-3.849927,-8.350684,-0.470372,0.882468,18

odom,-4.344921,-6.764565,-0.808426,0.588598,19
odom,-4.377323,-6.924771,-0.743411,0.668835,19
odom,-4.381468,-7.047398,-0.700525,0.713628,19
odom,-4.371643,-7.195110,-0.669684,0.742646,19
odom,-4.350077,-7.377733,-0.660933,0.750445,19
odom,-4.323766,-7.553794,-0.645351,0.763886,19
odom,-4.290305,-7.705160,-0.606643,0.794974,19
odom,-4.248280,-7.827882,-0.554440,0.832224,19
odom,-4.192749,-7.940359,-0.498418,0.866937,19
odom,-4.127561,-8.037985,-0.441642,0.897191,19
odom,-4.064196,-8.114697,-0.407449,0.913228,19
odom,-4.002047,-8.181898,-0.390576,0.920571,19
odom,-3.944653,-8.241860,-0.391510,0.920174,19
odom,-3.893134,-8.298312,-0.412209,0.911089,19
odom,-3.853715,-8.347233,-0.446710,0.894679,19
odom,-3.822052,-8.392194,-0.469859,0.882742,19

odom,-4.357940,-6.808649,-0.792699,0.609613,20
odom,-4.396513,-6.989820,-0.760004,0.649918,20
odom,-4.418996,-7.143152,-0.753040,0.657975,20
odom,-4.438255,-7.318048,-0.734649,0.678448,20
odom,-4.440697,-7.485216,-0.688102,0.725614,20
odom,-4.414833,-7.659213,-0.616571,0.787299,20
odom,-4.371417,-7.789644,-0.553480,0.832862,20
odom,-4.327900,-7.878075,-0.506031,0.862516,20
odom,-4.271921,-7.965507,-0.456265,0.889844,20
